# Cryptococcus neoformans H99 gene information
# Downloaded from FungiDB 59, 2022-09-05
GeneID	ProductDescription	GeneName	CuratedGOComponents	CuratedGOFunctions	CuratedGOProcesses
CNAG_00001	hypothetical protein	NA	NA	NA	NA
CNAG_00002	hypothetical protein	NA	NA	NA	NA
CNAG_00003	drug transporter	NA	NA	NA	NA
CNAG_00004	hypothetical protein	NA	NA	NA	NA
CNAG_00005	TPR repeat-containing protein	NA	NA	NA	NA
CNAG_00006	prohibitin-2	NA	NA	NA	NA
CNAG_00007	methionine-tRNA ligase	NA	NA	NA	NA
CNAG_00008	hypothetical protein	NA	NA	NA	NA
CNAG_00009	calcium-binding protein	NA	NA	NA	NA
CNAG_00010	cation transporter	NA	NA	NA	NA
CNAG_00011	hypothetical protein	NA	NA	NA	NA
CNAG_00012	hypothetical protein	NA	NA	NA	NA
CNAG_00013	hypothetical protein, variant 2	NA	NA	NA	NA
CNAG_00014	hypothetical protein	NA	NA	NA	NA
CNAG_00015	hypothetical protein	NA	NA	NA	NA
CNAG_00016	U6 snRNA-associated Sm-like protein LSm5	NA	NA	NA	NA
CNAG_00017	hypothetical protein	NA	NA	NA	NA
CNAG_00018	hypothetical protein	FZC6	NA	NA	cellular response to menadione;mating;melanin biosynthetic process;response to heat;response to hydroxyurea;response to methyl methanesulfonate;response to non-ionic osmotic stress;response to salt stress;response to sodium dodecyl sulfate;response to tert-butyl hydroperoxide;response to tunicamycin
CNAG_00019	mitochondrial import inner membrane translocase subunit tim9	NA	NA	NA	NA
CNAG_00020	hypothetical protein	NA	NA	NA	NA
CNAG_00021	S-adenosylmethionine decarboxylase proenzyme	NA	NA	NA	NA
CNAG_00022	cytochrome c heme-lyase	NA	NA	NA	NA
CNAG_00023	hypothetical protein	NA	NA	NA	NA
CNAG_00024	hypothetical protein	NA	NA	NA	NA
CNAG_00025	vacuolar calcium exchanger	VCX1	vacuolar membrane	calcium:proton antiporter activity	calcium ion import into vacuole;response to calcium ion
CNAG_00026	kynurenine aminotransferase	NA	NA	NA	NA
CNAG_00027	transcriptional activator	NA	NA	NA	NA
CNAG_00028	high-affinity nicotinic acid transporter, variant	NA	NA	NA	NA
CNAG_00029	D-3-phosphoglycerate dehydrogenase	NA	NA	NA	NA
CNAG_00030	D-3-phosphoglycerate dehydrogenase	NA	NA	NA	NA
CNAG_00031	hypothetical protein	MLR1	NA	NA	melanin biosynthetic process
