,Sample.No.,Organism,BioRep,Media,Timepoint..min.,Code,i7.Index,Strain,Condition,Time,Conc...ng.ul.
1,1,Cryptococcus,1,YPD,0,A_Y_0,7009,A,Y,0,0.1995
2,2,Cryptococcus,1,RPMI,30,A_R_30,7065,A,R,30,0.4429
3,3,Cryptococcus,1,RPMI,120,A_R_120,7025,A,R,120,1.9764
4,4,Cryptococcus,1,RPMI,240,A_R_240,7033,A,R,240,0.7468
5,5b,Cryptococcus,2,YPD,0,A_Y_0,7066,A,Y,0,0.927
6,6,Cryptococcus,2,RPMI,30,A_R_30,7049,A,R,30,0.054
7,7,Cryptococcus,2,RPMI,120,A_R_120,7057,A,R,120,0.2531
8,8,Cryptococcus,2,RPMI,240,A_R_240,7010,A,R,240,0.2946
9,9,Cryptococcus,1,RPMI+S,30,A_RS_30,7067,A,RS,30,2.8393
10,10,Cryptococcus,1,RPMI+S,120,A_RS_120,7026,A,RS,120,0.7738
11,11,Cryptococcus,1,RPMI+S,240,A_RS_240,7034,A,RS,240,1.3922
12,12,Cryptococcus,2,RPMI+S,30,A_RS_30,7011,A,RS,30,0.5204
13,13,Cryptococcus,2,RPMI+S,120,A_RS_120,7050,A,RS,120,0.3682
14,14,Cryptococcus,2,RPMI+S,240,A_RS_240,7058,A,RS,240,0.2543
15,15,Cryptococcus,1,YPD,0,a_Y_0,7042,a,Y,0,0.5987
16,16,Cryptococcus,1,RPMI,30,a_R_30,7063,a,R,30,0.0739
17,17,Cryptococcus,1,RPMI,120,a_R_120,7027,a,R,120,2.3191
18,18,Cryptococcus,1,RPMI,240,a_R_240,7035,a,R,240,2.4262
19,19,Cryptococcus,2,YPD,0,a_Y_0,7043,a,Y,0,0.8772
20,20,Cryptococcus,2,RPMI,30,a_R_30,7012,a,R,30,0.4362
21,21,Cryptococcus,2,RPMI,120,a_R_120,7028,a,R,120,1.0052
22,22,Cryptococcus,2,RPMI,240,a_R_240,7051,a,R,240,0.0477
23,23,Cryptococcus,1,RPMI+S,30,a_RS_30,7068,a,RS,30,1.1814
24,24,Cryptococcus,1,RPMI+S,120,a_RS_120,7074,a,RS,120,1.3031
25,25,Cryptococcus,1,RPMI+S,240,a_RS_240,7036,a,RS,240,1.1094
26,26,Cryptococcus,2,RPMI+S,30,a_RS_30,7013,a,RS,30,0.2213
27,27,Cryptococcus,2,RPMI+S,120,a_RS_120,7052,a,RS,120,0.047
28,28,Cryptococcus,2,RPMI+S,240,a_RS_240,7075,a,RS,240,0.1521
29,29b,Cryptococcus,1,YPD,0,B_Y_0,7044,B,Y,0,0.5228
30,30,Cryptococcus,1,RPMI,30,B_R_30,7069,B,R,30,0.4898
31,31,Cryptococcus,1,RPMI,120,B_R_120,7076,B,R,120,0.5446
32,32,Cryptococcus,1,RPMI,240,B_R_240,7037,B,R,240,1.6099
33,33,Cryptococcus,2,YPD,0,B_Y_0,7046,B,Y,0,0.8122
34,34,Cryptococcus,2,RPMI,30,B_R_30,7053,B,R,30,0.0744
35,35,Cryptococcus,2,RPMI,120,B_R_120,7077,B,R,120,1.2512
36,36,Cryptococcus,2,RPMI,240,B_R_240,7014,B,R,240,0.5693
37,37,Cryptococcus,1,RPMI+S,30,B_RS_30,7073,B,RS,30,3.1616
38,38,Cryptococcus,1,RPMI+S,120,B_RS_120,7029,B,RS,120,1.165
39,39,Cryptococcus,1,RPMI+S,240,B_RS_240,7038,B,RS,240,2.7977
40,40,Cryptococcus,2,RPMI+S,30,B_RS_30,7030,B,RS,30,2.8016
41,41,Cryptococcus,2,RPMI+S,120,B_RS_120,7054,B,RS,120,0.1914
42,42,Cryptococcus,2,RPMI+S,240,B_RS_240,7062,B,RS,240,0.1112
43,43,Cryptococcus,1,YPD,0,M_Y_0,7015,M,Y,0,0.1108
44,44,Cryptococcus,1,RPMI,30,M_R_30,7070,M,R,30,0.9811
45,45,Cryptococcus,1,RPMI,120,M_R_120,7031,M,R,120,4.0085
46,46,Cryptococcus,1,RPMI,240,M_R_240,7039,M,R,240,12.2983
47,47,Cryptococcus,2,YPD,0,M_Y_0,7047,M,Y,0,0.9958
48,48,Cryptococcus,2,RPMI,30,M_R_30,7055,M,R,30,1.0093
49,49,Cryptococcus,2,RPMI,120,M_R_120,7016,M,R,120,0.2939
50,50,Cryptococcus,2,RPMI,240,M_R_240,7071,M,R,240,2.5273
51,51,Cryptococcus,1,RPMI+S,30,M_RS_30,7072,M,RS,30,1.1248
52,52,Cryptococcus,1,RPMI+S,120,M_RS_120,7032,M,RS,120,6.7426
53,53,Cryptococcus,1,RPMI+S,240,M_RS_240,7040,M,RS,240,1.5692
54,54,Cryptococcus,2,RPMI+S,30,M_RS_30,7048,M,RS,30,1.3291
55,55,Cryptococcus,2,RPMI+S,120,M_RS_120,7056,M,RS,120,2.1477
56,56,Cryptococcus,2,RPMI+S,240,M_RS_240,7064,M,RS,240,0.1607
