Condition_Time	gene	baseMean	log2FC	stderror	padj
R_240	CNAG_07913	10.323	-4.9269	1.0978	6.536e-5
R_240	CNAG_04915	2.8351	-3.9505	1.2067	0.0050829
R_240	CNAG_01500	9.4186	-3.9325	0.85438	4.1035e-5
R_240	CNAG_02984	22.328	-3.7247	0.42216	7.0639e-17
R_240	CNAG_07912	780.31	-3.554	0.26777	6.6318e-38
R_240	CNAG_06677	1.4232	-3.4365	1.3425	0.032988
R_240	CNAG_05662	8853.7	-2.7682	0.377	7.9356e-12
R_240	CNAG_06347	14179	-2.7171	0.5737	2.3188e-5
R_240	CNAG_04098	217.7	-2.692	0.20107	1.4587e-38
R_240	CNAG_01562	804.51	-2.6641	0.56999	3.042e-5
R_240	CNAG_01275	175.35	-2.6592	0.25786	6.6611e-23
R_240	CNAG_00765	335.66	-2.6578	0.24706	6.493300000000001e-25
R_240	CNAG_05833	36.164	-2.6464	0.382	1.3355e-10
R_240	CNAG_01272	1002.2	-2.5472	0.36358	7.9256e-11
R_240	CNAG_02942	212.44	-2.4867	0.27796	2.5982e-17
R_240	CNAG_01056	141.86	-2.458	0.27522	2.9548e-17
R_240	CNAG_07826	32.03	-2.4546	0.35621	1.6851e-10
R_240	CNAG_03759	12.263	-2.4401	0.80829	0.010289
R_240	CNAG_04291	536.96	-2.4142	0.18351	3.0607e-37
R_240	CNAG_07874	116.79	-2.3567	0.42007	3.4798e-7
R_240	CNAG_00749	60.854	-2.3528	0.33487	7.0085e-11
R_240	CNAG_04903	1181.5	-2.3335	0.21502	2.3439e-25
R_240	CNAG_06541	2022.2	-2.2555	0.18526	6.5281e-32
R_240	CNAG_01995	69.251	-2.2302	0.24076	1.5637e-18
R_240	CNAG_00588	1596.6	-2.2158	0.3007	6.59e-12
R_240	CNAG_04076	675.7	-2.1697	0.28273	7.2561e-13
R_240	CNAG_04657	181.29	-2.1672	0.27108	6.6315e-14
R_240	CNAG_05836	107.1	-2.1584	0.19608	4.3847999999999997e-26
R_240	CNAG_01683	2085.5	-2.1502	0.15113	1.501e-43
R_240	CNAG_05458	429.47	-2.1097	0.17238	3.1012e-32
R_240	CNAG_07752	254.36	-2.0944	0.19881	6.8798e-24
R_240	CNAG_02864	15.488	-2.0577	0.56051	0.0014278
R_240	CNAG_07984	92.825	-2.0304	0.40938	8.5266e-6
R_240	CNAG_03782	910.65	-2.0299	0.32363	8.471e-9
R_240	CNAG_00827	64.246	-2.0046	0.41163	1.2642e-5
R_240	CNAG_00865	33.994	-1.9363	0.38911	7.9553e-6
R_240	CNAG_00400	668.1	-1.9354	0.16289	2.0359e-30
