Condition_Time	gene	baseMean	log2FC	stderror	padj
R_240	CNAG_01980	46.29	8.5237	0.62996	2.2559999999999998e-39
R_240	CNAG_06389	163.68	6.7628	0.33127	9.301299999999998e-90
R_240	CNAG_03894	121.82	6.5291	0.45575	4.2383e-44
R_240	CNAG_06312	0.59153	5.2496	2.1084	0.038823
R_240	CNAG_00463	14.91	4.3476	1.3534	0.0060795
R_240	CNAG_00456	977.37	4.2718	0.16352	6.534199999999999e-147
R_240	CNAG_04874	543.98	4.151	0.21248	3.3264999999999995e-82
R_240	CNAG_07869	64.824	4.1331	0.46835	7.0215e-17
R_240	CNAG_06242	504.36	4.0795	0.27056	8.0584e-49
R_240	CNAG_00735	79.512	4.0703	0.20596	4.2633e-84
R_240	CNAG_06785	494.15	4.0202	0.10797	1.1929999999999993e-299
R_240	CNAG_01551	1471.9	3.9103	0.43216	1.0472e-17
R_240	CNAG_05312	172	3.8754	0.27201	1.1717e-43
R_240	CNAG_03644	318.74	3.8105	0.15298	1.0238999999999998e-133
R_240	CNAG_01816	1.4929	3.757	1.3781	0.02213
R_240	CNAG_04869	41.135	3.6739	0.30494	2.9357e-31
R_240	CNAG_06346	549.68	3.6701	0.5315	1.538e-10
R_240	CNAG_05161	60.091	3.633	0.21876	2.6150999999999997e-59
R_240	CNAG_02225	160.59	3.5951	0.2759	1.5017e-36
R_240	CNAG_02060	12.488	3.4955	0.55381	6.6588e-9
R_240	CNAG_04018	54.709	3.4757	0.2553	7.473299999999999e-40
R_240	CNAG_00165	992.98	3.419	0.16657	1.0681999999999998e-90
R_240	CNAG_03516	720.65	3.3533	0.26206	3.0101e-35
R_240	CNAG_02872	46.664	3.2992	0.32767	7.159699999999999e-22
R_240	CNAG_05870	637.17	3.2941	0.15936	6.146699999999998e-92
R_240	CNAG_00302	49.056	3.0504	0.47886	4.6724e-9
R_240	CNAG_04735	1741.7	3.0452	0.17934	5.597499999999999e-62
R_240	CNAG_05147	279.47	3.0336	0.16893	2.1795999999999997e-69
R_240	CNAG_06917	3404.8	2.9596	0.42891	1.5857e-10
R_240	CNAG_02684	1302.3	2.8917	0.17173	5.6821999999999986e-61
R_240	CNAG_05159	569.89	2.8811	0.1124	1.4681999999999995e-141
R_240	CNAG_00597	121.06	2.8553	0.27746	8.0895e-23
R_240	CNAG_05264	36.242	2.7771	0.28005	3.1561999999999996e-21
R_240	CNAG_05916	227.12	2.7188	0.20839	1.2470999999999999e-36
R_240	CNAG_07809	2.9016	2.6969	0.90161	0.0111
R_240	CNAG_06200	250.64	2.655	0.11443	5.984799999999998e-116
R_240	CNAG_03848	348.5	2.6547	0.12808	2.2817999999999997e-92
R_240	CNAG_01389	56.042	2.6531	0.91147	0.013797
R_240	CNAG_02118	1433.4	2.6343	0.20272	2.3317e-36
R_240	CNAG_05229	2886.1	2.5868	0.16665	9.269399999999999e-52
R_240	CNAG_00637	396.12	2.5659	0.18467	1.6016e-41
R_240	CNAG_00674	110.56	2.5228	0.28291	3.2784e-17
R_240	CNAG_01681	320.73	2.5033	0.17547	9.215499999999999e-44
R_240	CNAG_06186	555.9	2.4519	0.13546	1.7690999999999998e-70
R_240	CNAG_05330	5.2925	2.39	0.89652	0.025535
R_240	CNAG_05313	327.69	2.3693	0.2298	6.711e-23
R_240	CNAG_04736	221.89	2.3621	0.17496	3.2698e-39
R_240	CNAG_01671	42.133	2.3605	0.37016	4.5192e-9
R_240	CNAG_05160	11.642	2.3415	0.40013	9.4884e-8
R_240	CNAG_06241	1555.4	2.3366	0.23021	3.2641e-22
R_240	CNAG_06517	801.72	2.3219	0.20427	8.1509e-28
R_240	CNAG_02323	112.63	2.3112	0.23132	1.5483999999999998e-21
R_240	CNAG_04357	8.5355	2.2565	0.64607	0.0025889
R_240	CNAG_06294	86.453	2.2421	0.25123	3.0965e-17
R_240	CNAG_01333	6.8269	2.24	0.73402	0.0094186
R_240	CNAG_01983	1273.1	2.2125	0.13807	3.4648e-55
R_240	CNAG_00883	511.7	2.1933	0.14892	1.3842999999999999e-46
R_240	CNAG_03326	141.21	2.1801	0.25279	3.9054e-16
R_240	CNAG_05972	7.9373	2.1385	0.69319	0.0086608
R_240	CNAG_04096	41.496	2.1202	0.30464	1.0793e-10
R_240	CNAG_04877	83.744	2.068	0.48778	1.7972e-4
R_240	CNAG_03199	23.856	2.0327	0.69359	0.013085
R_240	CNAG_05867	856.51	2.0209	0.23024	1.0384e-16
R_240	CNAG_02381	42.1	1.9998	0.43312	3.8557e-5
R_240	CNAG_05466	22.482	1.9908	0.83471	0.048673
R_240	CNAG_00498	33.861	1.9785	0.318	1.1547e-8
R_240	CNAG_03735	267.82	1.9593	0.13145	1.0375e-47
R_240	CNAG_04756	407.69	1.9511	0.26163	3.5205e-12
R_240	CNAG_00598	62.075	1.9347	0.23195	4.0934e-15
R_240	CNAG_05396	132.96	1.9346	0.13465	2.4137e-44
R_240	CNAG_03037	8.5845	1.9289	0.61083	0.0070916
R_240	CNAG_03007	168.98	1.8947	0.24405	3.7005e-13
R_240	CNAG_03658	16.064	1.8915	0.32356	9.787e-8
R_240	CNAG_01760	57.149	1.8759	0.22991	1.7625e-14
R_240	CNAG_00275	45.344	1.8753	0.21622	2.564e-16
R_240	CNAG_05066	169.73	1.8717	0.16746	6.8569e-27
R_240	CNAG_02297	608.66	1.8599	0.17802	1.6401e-23
R_240	CNAG_02344	38.19	1.8213	0.29467	1.461e-8
R_240	CNAG_03829	221.06	1.8136	0.12695	7.2079e-44
R_240	CNAG_05632	616.86	1.7825	0.1795	2.7803e-21
R_240	CNAG_00247	131.99	1.7817	0.24328	9.043e-12
R_240	CNAG_01506	72.504	1.7696	0.19132	1.7625e-18
R_240	CNAG_06784	9.993	1.7568	0.6976	0.03631
R_240	CNAG_05190	580.93	1.7524	0.25336	1.4338e-10
R_240	CNAG_03719	194.32	1.7445	0.17553	2.5952e-21
R_240	CNAG_05974	31.788	1.7443	0.65732	0.026325
R_240	CNAG_04969	464.66	1.7412	0.18316	1.6278e-19
R_240	CNAG_00110	10.501	1.7347	0.50991	0.0034396
R_240	CNAG_01283	243.44	1.7282	0.41479	2.3772e-4
R_240	CNAG_04416	148.44	1.7208	0.35135	1.1268e-5
R_240	CNAG_00688	219.17	1.7183	0.14369	8.3365e-31
R_240	CNAG_02675	50.778	1.7022	0.2878	6.6714e-8
R_240	CNAG_03438	2523.3	1.6982	0.2043	5.1446e-15
R_240	CNAG_06027	45.488	1.6923	0.43037	5.6884e-4
R_240	CNAG_00654	598.68	1.6866	0.18094	9.3784e-19
R_240	CNAG_01672	62.7	1.6525	0.5553	0.011585
R_240	CNAG_06554	128.07	1.652	0.23144	3.2308e-11
R_240	CNAG_05265	291.14	1.6509	0.13505	3.6494999999999996e-32
R_240	CNAG_06016	302.23	1.6504	0.13046	1.887e-34
R_240	CNAG_03113	717.13	1.6493	0.21215	3.4798e-13
R_240	CNAG_06162	45.297	1.6468	0.33158	8.2865e-6
R_240	CNAG_04625	1254.1	1.6371	0.13016	4.6692e-34
R_240	CNAG_06762	1689.9	1.635	0.22787	2.4978e-11
R_240	CNAG_07899	7.3226	1.6347	0.5127	0.0064748
R_240	CNAG_00540	35.876	1.6303	0.5583	0.013435
R_240	CNAG_07799	65.254	1.6266	0.22693	2.6131e-11
R_240	CNAG_03078	265.1	1.6263	0.11312	2.2338e-44
R_240	CNAG_06203	13.748	1.622	0.35785	5.4905e-5
R_240	CNAG_06835	158.48	1.5985	0.22744	6.9103e-11
R_240	CNAG_01796	2869	1.5968	0.16491	3.0286e-20
R_240	CNAG_00264	1228.9	1.5866	0.1321	4.5211e-31
R_240	CNAG_05835	679.47	1.5812	0.17927	7.1976e-17
R_240	CNAG_05154	245.71	1.5798	0.18847	2.971e-15
R_240	CNAG_03670	380.8	1.5732	0.35745	9.3709e-5
R_240	CNAG_06832	70.174	1.5696	0.29875	2.1112e-6
R_240	CNAG_05158	590.07	1.5688	0.17239	6.6383e-18
R_240	CNAG_06651	8.524	1.5606	0.44958	0.0027648
R_240	CNAG_05263	65.252	1.5534	0.22139	7.4352e-11
R_240	CNAG_00919	446.54	1.5455	0.14454	1.2806e-24
R_240	CNAG_07442	3577.5	1.5396	0.15236	5.0052999999999995e-22
R_240	CNAG_05724	32.447	1.5392	0.34537	7.4658e-5
R_240	CNAG_00936	683.63	1.5296	0.18274	3.2472e-15
R_240	CNAG_03320	154.72	1.5224	0.42024	0.0016825
R_240	CNAG_02170	142.3	1.5216	0.53381	0.016193
R_240	CNAG_02455	245.61	1.52	0.20596	6.1009e-12
R_240	CNAG_05803	306.55	1.5138	0.18972	7.466e-14
R_240	CNAG_04857	64.785	1.5133	0.27502	6.0792e-7
R_240	CNAG_03539	13.497	1.5115	0.42918	0.0023549
R_240	CNAG_06658	410.83	1.5077	0.35938	2.1322e-4
R_240	CNAG_00908	70.923	1.5076	0.27606	7.4657e-7
R_240	CNAG_00581	2677.5	1.5053	0.14676	1.1007e-22
R_240	CNAG_00172	55.163	1.4951	0.33798	8.534e-5
R_240	CNAG_06424	3538.3	1.4876	0.15641	1.582e-19
R_240	CNAG_05539	203.37	1.4827	0.18603	7.9534e-14
R_240	CNAG_04546	127.48	1.4792	0.2015	7.9908e-12
R_240	CNAG_05853	17.136	1.4704	0.35793	2.9871e-4
R_240	CNAG_01193	112.75	1.4664	0.45302	0.0056714
R_240	CNAG_05565	13.079	1.4626	0.43038	0.0034801
R_240	CNAG_05742	129.44	1.46	0.13861	6.8844e-24
R_240	CNAG_03179	21.099	1.4586	0.468	0.0079611
R_240	CNAG_07330	51.542	1.4562	0.18825	4.5454e-13
R_240	CNAG_00332	497.04	1.4538	0.1637	4.2794e-17
R_240	CNAG_03453	16.157	1.4304	0.38159	0.0010965
R_240	CNAG_01865	843.46	1.4183	0.24449	1.2333e-7
R_240	CNAG_00053	17.229	1.4178	0.27249	2.7179e-6
R_240	CNAG_00675	135.14	1.4121	0.17157	9.812e-15
R_240	CNAG_00907	136.83	1.412	0.19132	6.1009e-12
R_240	CNAG_04861	52.675	1.4096	0.31462	6.7578e-5
R_240	CNAG_04454	15.374	1.4072	0.38579	0.0015465
R_240	CNAG_03727	731.65	1.4042	0.16314	4.4905e-16
R_240	CNAG_04283	600.18	1.3963	0.15715	4.1609e-17
R_240	CNAG_07937	377.41	1.3956	0.14202	7.5051e-21
R_240	CNAG_06017	141.18	1.3885	0.16289	8.938e-16
R_240	CNAG_03172	60.373	1.3873	0.49938	0.01953
R_240	CNAG_05731	1307.8	1.3866	0.15088	2.9858e-18
R_240	CNAG_03461	218.11	1.3864	0.18238	1.2393e-12
R_240	CNAG_05277	2634.9	1.3846	0.11488	2.8518e-31
R_240	CNAG_01285	23.159	1.3822	0.25635	1.0599e-6
R_240	CNAG_01542	183.15	1.3814	0.23214	5.4952e-8
R_240	CNAG_06657	178.35	1.3808	0.40513	0.0033792
R_240	CNAG_05281	139.92	1.3722	0.13083	1.0882e-23
R_240	CNAG_01138	1211.6	1.3721	0.18192	1.8973e-12
R_240	CNAG_02797	446.93	1.3665	0.13506	4.483e-22
R_240	CNAG_05060	74.873	1.3643	0.36814	0.0012725
R_240	CNAG_00122	23.721	1.3609	0.44025	0.0084938
R_240	CNAG_00539	1734.1	1.3327	0.33371	4.5713e-4
R_240	CNAG_00126	361.84	1.327	0.29306	5.5678e-5
R_240	CNAG_06422	389.89	1.3265	0.14732	1.5464e-17
R_240	CNAG_05760	5.2218	1.3216	0.43893	0.010493
R_240	CNAG_05752	21.306	1.3209	0.33509	5.5081e-4
R_240	CNAG_02822	265.32	1.3174	0.23563	3.7828e-7
R_240	CNAG_02063	181.25	1.3087	0.2028	2.8071e-9
R_240	CNAG_05663	652.77	1.3071	0.16787	3.1937e-13
R_240	CNAG_07695	366.57	1.3045	0.17311000000000001	1.9898e-12
R_240	CNAG_00374	917.29	1.3025	0.19152	3.0707e-10
R_240	CNAG_00979	16655	1.2976	0.30615	1.8044e-4
R_240	CNAG_01742	176.31	1.2942	0.16667	3.6842e-13
R_240	CNAG_01567	28.364	1.2923	0.26698	1.4512e-5
R_240	CNAG_01919	3045.5	1.291	0.17413	4.8174e-12
R_240	CNAG_03500	31.015	1.2896	0.34485	0.0011329
R_240	CNAG_04227	156.42	1.2886	0.15029	5.9049e-16
R_240	CNAG_01982	579.6	1.2855	0.18838	2.6541e-10
R_240	CNAG_04154	53.426	1.2852	0.2352	7.3985e-7
R_240	CNAG_01165	131.27	1.2805	0.15263	2.8002e-15
R_240	CNAG_05193	296.46	1.2801	0.21956	1.0657e-7
R_240	CNAG_02658	265.9	1.2787	0.16284	1.9224e-13
R_240	CNAG_01803	2429.9	1.2759	0.24136	1.8013e-6
R_240	CNAG_06624	63.123	1.2721	0.33738	0.0010163
R_240	CNAG_06150	13340	1.2698	0.3819	0.0043555
R_240	CNAG_03223	5699.5	1.2696	0.21092	3.7063e-8
R_240	CNAG_03117	1329.6	1.2661	0.21741	1.0928e-7
R_240	CNAG_03413	545.41	1.2636	0.14795	7.7847e-16
R_240	CNAG_01081	99.182	1.2614	0.17307	1.1444e-11
R_240	CNAG_01335	54.757	1.2609	0.19377	2.0348e-9
R_240	CNAG_05238	41.115	1.2568	0.27889	6.0536e-5
R_240	CNAG_04373	1393	1.2555	0.12954	2.7982000000000003e-20
R_240	CNAG_05812	495	1.2544	0.17154	9.6658e-12
R_240	CNAG_06310	193.94	1.2524	0.19398	2.7533e-9
R_240	CNAG_01777	477.95	1.2463	0.17993	1.3402e-10
R_240	CNAG_07807	3488.6	1.2458	0.16816	4.9824e-12
R_240	CNAG_07415	40.761	1.2428	0.21026	6.8072e-8
