gene	geneName	baseMean	log2FC	stderror	padj
CNAG_06731	CNAG_06731	31.754	4.4605	0.93714	1.3693e-4
CNAG_03934	CNAG_03934	9.17	4.1856	0.91238	2.3762e-4
CNAG_06281	CNAG_06281	44.038	3.9617	0.87558	2.8683e-4
CNAG_00321	CNAG_00321	65.931	3.7717	0.82915	2.6501e-4
CNAG_02729	CNAG_02729	58.173	3.6408	0.90778	0.0015097
CNAG_00463	CNAG_00463	15.191	3.6382	1.2318	0.022449
CNAG_05466	CNAG_05466	25.878	3.3566	0.87955	0.0025958
CNAG_05040	CNAG_05040	4.8939	3.1394	1.1858	0.04258
CNAG_05065	CNAG_05065	4.2727	3.1108	1.1206	0.03212
CNAG_01389	CNAG_01389	56.198	2.9239	0.96123	0.018312
CNAG_06895	CNAG_06895	11.443	2.7342	0.67453	0.0013062
CNAG_08023	CNAG_08023	71.085	2.6928	0.73366	0.0038241
CNAG_04307	URO1	175.22	2.6676	0.7135	0.0032169
CNAG_08010	CNAG_08010	87.656	2.5272	0.78105	0.011542
CNAG_00932	CNAG_00932	116.35	2.4206	0.68915	0.0058028
CNAG_03199	CNAG_03199	21.502	2.1329	0.56887	0.0031235
CNAG_05346	CNAG_05346	96.157	2.1306	0.62377	0.007613
CNAG_01891	CNAG_01891	631.57	2.093	0.65002	0.012043
CNAG_00419	CNAG_00419	245.63	2.0755	0.59956	0.0066804
CNAG_05605	CNAG_05605	681.76	2.0753	0.50451	0.0010784
CNAG_03569	CNAG_03569	74.688	2.0672	0.68032	0.018469
CNAG_03997	CNAG_03997	11.792	2.0536	0.65692	0.015113
CNAG_03511	CNAG_03511	200.75	2.0529	0.69482	0.022395
CNAG_01672	CNAG_01672	65.954	2.0453	0.56666	0.004463
CNAG_03179	CNAG_03179	17.395	2.0441	0.56221	0.004156
CNAG_03609	CNAG_03609	226.05	2.0318	0.72561	0.030549
CNAG_05974	CNAG_05974	27.832	2.0223	0.68572	0.022628
CNAG_02531	CPK2	40.518	2.0072	0.63271	0.013598
CNAG_02170	CNAG_02170	61.404	1.9704	0.56861	0.0066422
CNAG_07949	CNAG_07949	60.358	1.9461	0.42222	2.2468e-4
CNAG_01965	CNAG_01965	21.157	1.9089	0.42005	2.6677e-4
CNAG_07843	CNAG_07843	11.26	1.8699	0.65873	0.028226
CNAG_06823	CNAG_06823	44.641	1.8618	0.50149	0.0034022
CNAG_00755	CNAG_00755	415.09	1.8415	0.70806	0.046687
CNAG_04523	CNAG_04523	246.06	1.8144	0.52987	0.0074395
CNAG_06440	CNAG_06440	290.35	1.773	0.5769	0.017093
CNAG_06795	CNAG_06795	81.177	1.7624	0.68001	0.047619
CNAG_01632	CNAG_01632	298.17	1.731	0.5791	0.020747
CNAG_04413	CNAG_04413	8.2942	1.7248000000000001	0.64122	0.03862
CNAG_04527	CNAG_04527	506.11	1.6664	0.49705	0.008899
CNAG_02355	CNAG_02355	62.903	1.6434	0.56222	0.023939
CNAG_01032	CNAG_01032	149.81	1.6408	0.54418	0.019532
CNAG_05168	CNAG_05168	11.961	1.5934	0.47124	0.0083329
CNAG_00540	CNAG_00540	38.236	1.5934	0.58862	0.037327
CNAG_07388	CNAG_07388	22.588	1.5542	0.34647	3.2633e-4
CNAG_07859	CNAG_07859	44.021	1.5161	0.53876	0.029654
CNAG_02448	CNAG_02448	83.723	1.4967	0.54348	0.033591
CNAG_04262	CNAG_04262	106.85	1.4903	0.55209	0.037757
CNAG_06321	CNAG_06321	344.21	1.4866	0.52768	0.029489
CNAG_06027	CNAG_06027	44.576	1.4686	0.41039	0.0048428
CNAG_02207	CNAG_02207	415.38	1.4102	0.47498	0.021596
CNAG_06595	CNAG_06595	25.568	1.4014	0.41481	0.008391
CNAG_03019	CNAG_03019	97.778	1.3939	0.48616	0.026545
CNAG_02805	CAN1	23.851	1.3903	0.4252	0.010734
CNAG_04626	CNAG_04626	40.382	1.3891	0.42913	0.011534
CNAG_02353	CNAG_02353	179.03	1.3845	0.38465	0.0045931
CNAG_00378	CNAG_00378	349.91	1.3631	0.34543	0.0017636
CNAG_06149	CNAG_06149	345.45	1.3628	0.52864	0.049057
CNAG_00848	CNAG_00848	6148.3	1.3628	0.21198	5.1251e-8
CNAG_00146	PBY101	559.56	1.3591	0.39552	0.0072212
CNAG_06276	CEP3	213.2	1.3374	0.48386	0.032849
CNAG_04231	CNAG_04231	48.247	1.3259	0.40163	0.0099386
CNAG_01464	FHB1	4480.9	1.3111	0.25558	3.121e-5
CNAG_06470	CNAG_06470	143.95	1.311	0.47164	0.031874
CNAG_03845	FNX1	812.84	1.3059	0.42911	0.018271
CNAG_06374	CNAG_06374	451.69	1.3018	0.28568	2.6232e-4
CNAG_01193	CNAG_01193	109.68	1.2436	0.47701	0.046377
CNAG_03835	CNAG_03835	971.43	1.2353	0.34228	0.004463
CNAG_02942	CNAG_02942	237.92	1.2345	0.29076	6.909e-4
CNAG_02542	IRK2	1362.3	1.2344	0.26267	1.7164e-4
CNAG_07308	CNAG_07308	36.217	1.2254	0.36753	0.0092276
CNAG_06163	CNAG_06163	69.403	1.212	0.44822	0.037405
CNAG_07462	CNAG_07462	190.68	1.2103	0.27818	4.9719e-4
CNAG_01811	CNAG_01811	1054.1	1.2017	0.36442	0.010037
CNAG_05299	CNAG_05299	59.799	1.2014	0.35224	0.0076989
CNAG_00564	CNAG_00564	429.67	1.1978	0.24573	8.7765e-5
CNAG_02470	PPP2	331.03	1.191	0.30237000000000003	0.0017917
CNAG_00039	ZFC6	216.25	1.185	0.302	0.0018707
CNAG_00107	CNAG_00107	122.42	1.1754	0.26867	4.6841e-4
CNAG_02508	CNAG_02508	103.87	1.1646	0.28437	0.0011442
CNAG_05155	PTP2	817.73	1.1609	0.20648	3.4525e-6
CNAG_07324	CNAG_07324	458.28	1.1389	0.26595	6.2073e-4
CNAG_01667	COQ2	394.8	1.1229	0.29693	0.0028871
CNAG_06217	CNAG_06217	199.82	1.1176	0.27006	9.756e-4
CNAG_02815	CNAG_02815	569.31	1.1114	0.25848	5.9477e-4
CNAG_06577	CNAG_06577	188.77	1.1051	0.20748	1.4177e-5
CNAG_04175	CNAG_04175	780.89	1.0952	0.28968	0.0028912
CNAG_03402	CNAG_03402	378.04	1.094	0.31214	0.0059264
CNAG_06401	RIC8	238.41	1.0837	0.21076	2.9798e-5
CNAG_06396	CNAG_06396	327.8	1.083	0.2489	4.9719e-4
CNAG_00728	CNAG_00728	426.05	1.0815	0.22395	1.032e-4
CNAG_04727	CNAG_04727	236.15	1.0795	0.28729	0.003086
CNAG_03076	CNAG_03076	50.693	1.0661	0.32837	0.011318
