gene	baseMean	log2FC	stderror	padj
CNAG_05972	5.9538	-4.0278	1.1369	0.0055923
CNAG_03539	9.7753	-3.8164	0.81599	1.249e-4
CNAG_03453	12.295	-3.6249	0.6849	9.6221e-6
CNAG_02005	49.244	-2.698	0.36172	5.9287e-11
CNAG_05565	8.663	-2.6285	0.63455	8.765e-4
CNAG_03125	8.8706	-2.4856	0.59814	8.3367e-4
CNAG_03007	96.936	-2.4521	0.25835	5.136e-18
CNAG_00172	17.464	-2.4441	0.50559	6.6291e-5
CNAG_00537	83.492	-2.4002	0.39703	2.5131e-7
CNAG_02225	72.58	-2.1419	0.24876	9.8813e-15
CNAG_05576	23.915	-2.1381	0.426	3.1165e-5
CNAG_04869	37.851	-2.0937	0.27719	3.5945e-11
CNAG_00110	6.5448	-2.0099	0.63267	0.014833
CNAG_00735	50.452	-1.8893	0.18297	3.6403999999999994e-21
CNAG_04877	95.513	-1.8172	0.51367	0.0056599
CNAG_01334	41.623	-1.8043	0.34896	1.6168e-5
CNAG_00247	100.27	-1.7891	0.26094	2.5248e-9
CNAG_02489	28.912	-1.7869	0.60077	0.024369
CNAG_04696	5.4962	-1.7636	0.53231	0.010518
CNAG_05752	12.944	-1.7457	0.38123	1.7595e-4
CNAG_02049	7.241	-1.7445	0.57672	0.021436
CNAG_01671	12.474	-1.7388	0.41494	7.321e-4
CNAG_00979	20403	-1.7141	0.29847	1.214e-6
CNAG_04861	32.724	-1.6681	0.37716	3.0461e-4
CNAG_03666	107.44	-1.6238	0.39829	0.0010713
CNAG_04735	1692.1	-1.6044	0.18381	4.3765e-15
CNAG_02118	225.22	-1.5893	0.21474	8.3344e-11
CNAG_06651	6.2785	-1.5375	0.52346	0.026522
CNAG_02799	37.938	-1.5307	0.30053	2.1702e-5
CNAG_03046	262.7	-1.5028	0.23228	2.6638e-8
CNAG_00895	3286.5	-1.4976	0.22657	1.184e-8
CNAG_02684	1498.4	-1.4871	0.15333	1.033e-18
CNAG_07728	25.061	-1.478	0.38479	0.0022827
CNAG_05653	64.809	-1.4325	0.32369	3.0188e-4
CNAG_06511	107.33	-1.4241	0.26108	4.556e-6
CNAG_00651	37.476	-1.4103	0.36618	0.002229
CNAG_07869	76.862	-1.401	0.38294	0.0039649
CNAG_04346	49.25	-1.3929	0.25047	2.7988e-6
CNAG_05264	36.073	-1.3883	0.2651	1.2209e-5
CNAG_05853	15.041	-1.3882	0.38684	0.0048487
CNAG_04857	45.067	-1.369	0.29376	1.2991e-4
CNAG_05310	35.807	-1.362	0.29651	1.6713e-4
CNAG_07862	149.07	-1.3521	0.27014	3.2891e-5
CNAG_05699	19.863	-1.344	0.37531	0.0049767
CNAG_00498	13.253	-1.326	0.33768	0.0017478
CNAG_06335	13.306	-1.3231	0.41392	0.014099
CNAG_02344	17.795	-1.3178	0.32687	0.0012366
CNAG_03894	141.74	-1.2854	0.44113	0.027915
CNAG_00490	101.12	-1.2803	0.32936	0.0020177
CNAG_06294	76.599	-1.2782	0.25796	4.0408e-5
CNAG_04943	23.648	-1.2748	0.34513	0.0035602
CNAG_02590	28.007	-1.2548	0.35116000000000003	0.0050758
CNAG_05721	125.59	-1.2045	0.28054	4.9106e-4
CNAG_04025	43.502	-1.2041	0.36722	0.011502
CNAG_02764	47.008	-1.2015	0.312	0.002229
CNAG_03398	358.22	-1.1997	0.297	0.001207
CNAG_05867	968.95	-1.1992	0.23455	2.0132e-5
CNAG_02295	35.763	-1.1986	0.34409	0.0066066
CNAG_04467	14.488	-1.1854	0.3418	0.0068935
CNAG_04459	37.282	-1.1823	0.38849	0.020669
CNAG_01540	20.784	-1.1816	0.30803	0.0023177
CNAG_05300	96.794	-1.1784	0.19882	4.7476e-7
CNAG_02524	63.631	-1.1727	0.21917	7.6323e-6
CNAG_02775	29986	-1.1398	0.23014	4.0408e-5
CNAG_04096	13.216	-1.135	0.33297	0.0080785
CNAG_03618	43.66	-1.1332	0.23724	8.2344e-5
CNAG_06672	23.032	-1.1251	0.32762	0.0075344
CNAG_01909	17.118	-1.1251	0.40207	0.03656
CNAG_03500	28.175	-1.119	0.34138	0.011502
CNAG_03658	13.125	-1.1169	0.34022	0.011375
CNAG_02008	556.76	-1.1168	0.24427	1.8006e-4
CNAG_05644	26.782	-1.1101	0.33721	0.011076
CNAG_04469	8.2401	-1.0915	0.39868	0.041918
CNAG_07415	35.533	-1.0884	0.22327	5.6356e-5
CNAG_07799	73.495	-1.0711	0.23454	1.8343e-4
CNAG_01252	31.836	-1.0641	0.2584	9.4283e-4
CNAG_05265	351.3	-1.0638	0.13052	4.1032e-13
CNAG_07334	5875.3	-1.0539	0.2228	1.0016e-4
CNAG_07798	22.827	-1.0357	0.3401	0.02063
CNAG_05802	24.834	-1.0294	0.35452	0.02873
CNAG_05534	52.873	-1.0255	0.19608	1.2485e-5
CNAG_04218	26.859	-1.0217	0.25605	0.0014111
CNAG_06431	38.557	-1.0152	0.34286	0.025142
CNAG_03010	40.553	-1.0128	0.29704	0.0080642
CNAG_03243	41.428	-1.011	0.32274	0.016528
CNAG_06666	378.91	-1.0108	0.16425	1.4917e-7
CNAG_04416	110.39	-1.0092	0.37102	0.043753
