gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	CNAG_00002	955.09	0.029067	0.12944	0.97485
CNAG_00003	CNAG_00003	111.51	0.15958	0.16236	0.86056
CNAG_00004	CNAG_00004	227.54	0.06704	0.12371	0.93717
CNAG_00005	CNAG_00005	548.97	0.29803	0.1318	0.44482
CNAG_00006	CNAG_00006	1102.1	0.11673	0.091292	0.77698
CNAG_00007	CNAG_00007	561.89	0.13987	0.11193	0.7847
CNAG_00008	CNAG_00008	375.98	-0.094481	0.12581	0.90267
CNAG_00009	CNAG_00009	131.47	-0.02879	0.14615	0.97766
CNAG_00010	CNAG_00010	799.25	-0.034443	0.11049	0.96878
CNAG_00011	CNAG_00011	72.432	0.083383	0.22936	0.96409
CNAG_00012	CNAG_00012	228.16	-0.2853	0.27769	0.84447
CNAG_00013	CNAG_00013	186.41	0.14019	0.18056	0.89689
CNAG_00014	CNAG_00014	109.39	-0.096838	0.19435	0.94349
CNAG_00015	CNAG_00015	468.98	0.01269	0.17791	0.99377
CNAG_00016	CNAG_00016	367.07	-0.085475	0.18905	0.95256
CNAG_00017	CNAG_00017	69.798	-0.061701	0.20905	0.97142
CNAG_00018	FZC6	290.09	-0.085889	0.2007	0.95344
CNAG_00019	CNAG_00019	1634.9	0.22094	0.13028	0.63722
CNAG_00020	CNAG_00020	723.67	0.014682	0.17725	0.99376
CNAG_00021	CNAG_00021	222.01	0.33663	0.27818	0.79454
CNAG_00022	CNAG_00022	409	-0.10319	0.10808	0.86956
CNAG_00023	CNAG_00023	84.649	0.096764	0.25248	0.96228
CNAG_00024	CNAG_00024	3505.6	-0.050157	0.24193	0.97748
CNAG_00025	VCX1	275.5	-0.37166	0.19507	0.56174
CNAG_00026	CNAG_00026	309.05	0.26432	0.16964	0.67968
CNAG_00027	CNAG_00027	172.45	-0.10944	0.15481	0.90909
CNAG_00028	CNAG_00028	250.42	0.1777	0.16068	0.82174
CNAG_00029	CNAG_00029	110.13	0.087826	0.17832	0.94483
CNAG_00030	CNAG_00030	109.26	0.10952	0.20886	0.93717
CNAG_00031	MLR1	130.79	0.082179	0.17788	0.95205
CNAG_00032	CNAG_00032	48.816	-0.19791	0.30421	0.91974
CNAG_00034	RPL9B	10366	0.18422	0.10852	0.63722
CNAG_00035	CNAG_00035	44.367	-0.036837	0.2348	0.98458
CNAG_00036	SEC14-2	373.16	-0.21335	0.2236	0.86956
CNAG_00038	CNAG_00038	325.11	-0.11653	0.18636	0.92295
CNAG_00039	ZFC6	216.25	-0.18957	0.29733	0.91999
CNAG_00040	ERG11	471.26	0.12554	0.1183	0.83648
CNAG_00043	CNAG_00043	177.98	-0.6894	0.32242	0.49562
CNAG_00044	CNAG_00044	169.01	-0.11144	0.22901	0.94581
CNAG_00045	CNAG_00045	286.57	-0.080876	0.15806	0.94032
CNAG_00046	CNAG_00046	540.83	-0.033781	0.12772	0.97432
CNAG_00047	PKP1	429.04	0.2203	0.19379	0.81146
CNAG_00048	CNAG_00048	67.187	-0.18892	0.2084	0.88074
CNAG_00049	CNAG_00049	47.371	0.12972	0.24807	0.93717
CNAG_00050	CNAG_00050	122.61	0.23783	0.19392	0.79114
CNAG_00051	SNT1	714.8	-0.063817	0.14039	0.95211
CNAG_00052	CNAG_00052	613.96	0.14298	0.28202	0.94032
CNAG_00053	CNAG_00053	15.674	0.19167	0.40881	0.95126
CNAG_00054	CNAG_00054	246.7	0.025621	0.18223	0.98831
CNAG_00055	CNAG_00055	263.82	-0.097903	0.16587	0.92656
CNAG_00056	CNAG_00056	103.07	-0.37921	0.37301	0.85106
CNAG_00057	FPP1	1033.3	0.092734	0.16686	0.93493
CNAG_00058	CNAG_00058	601.34	-0.43073	0.18444	0.41005
CNAG_00059	CNAG_00059	112.11	-0.022118	0.18391	0.99184
CNAG_00060	CNAG_00060	459.19	-0.11247	0.1354	0.89169
CNAG_00061	CIT1	2342.1	-0.059637	0.21883	0.97302
CNAG_00062	CNAG_00062	326.92	-0.051527	0.19061	0.97414
CNAG_00063	CSE4	30.123	-0.1964	0.5359	0.96369
CNAG_00064	CNAG_00064	374.21	0.17268	0.19091	0.88074
CNAG_00065	CNAG_00065	1113.7	0.040437	0.10596	0.96248
CNAG_00066	CNAG_00066	398.34	-0.014044	0.12817	0.99184
CNAG_00067	SSS1	837.11	0.053368	0.12394	0.95258
CNAG_00068	CNAG_00068	149.94	-0.19724	0.2059	0.86889
CNAG_00069	CNAG_00069	12.265	0.084963	0.42071	0.97766
CNAG_00070	CNAG_00070	1474.2	-0.0041973	0.11619	0.99655
CNAG_00072	CNAG_00072	520.88	-0.99081	0.28611	0.042367
CNAG_00073	CNAG_00073	247.11	-0.26294	0.23092	0.81049
CNAG_00074	CNAG_00074	751.17	0.01552	0.18682000000000001	0.99376
CNAG_00075	CNAG_00075	162.93	0.17557	0.28247	0.92295
CNAG_00076	NDX6	150.61	-0.056546	0.2679	0.97654
CNAG_00077	CNAG_00077	1485.3	0.034871	0.18029	0.97841
CNAG_00078	CNAG_00078	130.92	-0.056909	0.16771	0.96774
CNAG_00079	CNAG_00079	650.28	0.55673	0.2959	0.57144
CNAG_00080	CNAG_00080	85.881	-0.028246	0.15886	0.98125
CNAG_00081	CNAG_00081	981.91	-0.027501	0.13963	0.97766
CNAG_00082	CNAG_00082	200.82	-0.0069555	0.19222	0.99655
CNAG_00083	CCC1	289.06	-0.21222	0.1955	0.82927
CNAG_00084	CNAG_00084	652.13	0.11494	0.14503	0.89593
CNAG_00085	CNAG_00085	156.58	0.0010833	0.12841	0.99812
CNAG_00086	CNAG_00086	372.82	0.13198	0.1617	0.89593
CNAG_00087	CNAG_00087	165.37	-0.05798	0.22124	0.97432
CNAG_00088	CNAG_00088	320.78	0.11153	0.15235	0.90749
CNAG_00089	CNAG_00089	377.17	0.13648	0.1082	0.7823
CNAG_00090	CNAG_00090	338.32	-0.11172	0.12718	0.88591
CNAG_00091	CNAG_00091	361.17	-0.065117	0.24375	0.97432
CNAG_00092	CNAG_00092	636.87	-0.15879	0.12382	0.7761
CNAG_00093	CNAG_00093	513.98	0.16688	0.23841	0.91129
CNAG_00094	CNAG_00094	13.038	0.48572	0.45232	0.8338
CNAG_00095	CNAG_00095	528.88	0.08398	0.12972	0.91974
CNAG_00096	CNAG_00096	50.092	-0.19079	0.30934	0.92295
CNAG_00097	ITR1	111.43	0.027015	0.20636	0.99051
CNAG_00098	CNAG_00098	45.965	0.30702	0.37894	0.89593
CNAG_00099	CNAG_00099	231.13	0.28804	0.13136	0.47778
CNAG_00100	CNAG_00100	3304.1	-0.51848	0.17381	0.14419
CNAG_00101	KEI1	190.57	0.029548	0.13169	0.97485
CNAG_00104	CNAG_00104	6521.3	0.035738	0.14441	0.97485
CNAG_00106	TCO5	582.07	-0.06448	0.21896	0.97165
CNAG_00107	CNAG_00107	122.42	-0.86042	0.36579	0.40119
CNAG_00108	CNAG_00108	551.32	0.2979	0.23982	0.78685
CNAG_00109	CNAG_00109	714.98	0.044345	0.15576	0.97244
CNAG_00110	HPI3	6.5448	-3.4635	0.7054	2.8081e-4
CNAG_00111	CNAG_00111	611.07	0.040439	0.1002	0.95821
CNAG_00115	CNAG_00115	288.78	-0.20744	0.21483	0.8673
CNAG_00116	CNAG_00116	5363.3	0.18656	0.13634	0.74533
CNAG_00117	ERG24	443.22	-0.041607	0.1327	0.96878
CNAG_00118	CNAG_00118	125.47	0.046631	0.21466	0.97624
CNAG_00119	CNAG_00119	172	0.10799	0.20315	0.93717
CNAG_00120	CNAG_00120	482.32	0.21736	0.18806	0.80471
CNAG_00121	CNAG_00121	394.05	0.045596	0.20211	0.97485
CNAG_00122	CNAG_00122	11.815	-0.94874	0.38757	0.35435
CNAG_00123	CNAG_00123	93.912	0.1693	0.19134	0.88308
CNAG_00124	CAS32	417.95	-0.1554	0.13174	0.79957
CNAG_00125	CRG1	57.8	0.056001	0.2095	0.97432
CNAG_00126	CNAG_00126	435.21	-0.019281	0.30429	0.99573
CNAG_00127	CNAG_00127	63.06	-1.3965	0.32153	0.002573
CNAG_00128	CNAG_00128	13.035	-2.0822	0.70905	0.15522
CNAG_00129	CNAG_00129	94.231	-0.032265	0.27215	0.99184
CNAG_00130	RCK2	763.65	0.055054	0.18706	0.97165
CNAG_00131	CNAG_00131	110.53	-0.43885	0.43122	0.85044
CNAG_00132	CNAG_00132	173.86	-0.73415	0.232	0.09342
CNAG_00133	CNAG_00133	125.19	-0.43191	0.40408	0.83534
CNAG_00134	CNAG_00134	181.85	-0.21971	0.1996	0.8219
CNAG_00135	CNAG_00135	123.57	-0.2686	0.27331	0.86056
CNAG_00136	CNAG_00136	1000.8	-0.42133	0.10835	0.013157
CNAG_00137	CNAG_00137	390.64	0.20603	0.16025	0.77556
CNAG_00138	CNAG_00138	239.4	0.2066	0.1673	0.78816
CNAG_00139	CNAG_00139	397.61	0.19038	0.20729	0.87913
CNAG_00140	CNAG_00140	1708.5	-0.088039	0.1182	0.90287
CNAG_00141	CNAG_00141	32.877	-0.22255	0.27394	0.89593
CNAG_00142	CNAG_00142	1837.3	-0.066929	0.14866	0.95256
CNAG_00143	CNAG_00143	753.91	0.15114	0.12087	0.7847
CNAG_00144	CNAG_00144	43.34	0.28797	0.3421	0.88778
CNAG_00145	CNAG_00145	85.423	0.20572	0.27826	0.90538
CNAG_00146	PBY101	559.56	-0.25793	0.3963	0.91974
CNAG_00147	CNAG_00147	3811.3	0.03847	0.11847	0.96878
CNAG_00148	CNAG_00148	220.49	0.035983	0.20619	0.98163
CNAG_00149	CNAG_00149	5707.1	0.0033996	0.14627	0.99655
CNAG_00150	PQP1	80.356	-0.043736	0.20481	0.97654
CNAG_00151	CNAG_00151	1045.4	-0.25912	0.14944	0.6317
CNAG_00152	CNAG_00152	441.61	0.22955	0.17439	0.76629
CNAG_00153	CNAG_00153	150.35	0.13214	0.12637	0.84138
CNAG_00154	CNAG_00154	125.26	0.05112	0.28719	0.98125
CNAG_00155	CNAG_00155	0.18917	0.47562	3.9595	0.99184
CNAG_00156	SP1	1488.3	-0.020519	0.11259	0.98119
CNAG_00157	CNAG_00157	809.43	0.014513	0.14488	0.9927
CNAG_00158	HOC3	184.66	0.11875	0.14606	0.89593
CNAG_00159	CNAG_00159	172.59	0.012563	0.16841	0.99377
CNAG_00160	CNAG_00160	79.212	0.16971	0.20911	0.89593
CNAG_00161	CNAG_00161	279.19	0.38895	0.17546	0.4708
CNAG_00162	AOX1	15702	0.72812	0.17714	0.0062295
CNAG_00163	CNAG_00163	1712.3	-0.011406	0.13123	0.99376
CNAG_00164	CNAG_00164	228.86	0.13073	0.37959	0.96731
CNAG_00165	CNAG_00165	1215.9	0.13121	0.17056	0.89856
CNAG_00166	CNAG_00166	848.18	-0.028401	0.16873	0.98208
CNAG_00167	CNAG_00167	109.06	-0.19759	0.25348	0.89618
CNAG_00171	CNAG_00171	34.897	-0.075827	0.33663	0.97485
CNAG_00172	CNAG_00172	17.464	-1.0148	0.32144	0.093952
CNAG_00173	CNAG_00173	266.09	0.44405	0.25666	0.6317
CNAG_00174	CNAG_00174	184.84	-0.38772	0.26944	0.71824
CNAG_00175	CNAG_00175	184.75	-0.54856	0.27649	0.52848
CNAG_00176	CNAG_00176	396.99	-0.32565	0.20524	0.672
CNAG_00177	CNAG_00177	2.5186	0.10917	0.78758	0.98874
CNAG_00178	CNAG_00178	512.18	0.12525	0.18511	0.91471
CNAG_00179	GPA2	36.284	-0.24538	0.2421	0.85339
CNAG_00180	CNAG_00180	184.68	0.75302	0.45033	0.64713
CNAG_00181	FYV10	143.26	-0.087258	0.23367	0.96369
CNAG_00182	VPS29	194.3	-0.080307	0.26057	0.96878
CNAG_00183	CNAG_00183	996.65	0.30324	0.21782	0.738
CNAG_00184	CNAG_00184	515.24	-0.052272	0.093867	0.93464
CNAG_00185	CNAG_00185	269.55	-0.098616	0.14012	0.91075
CNAG_00186	CNAG_00186	214.06	0.12761	0.18847	0.9147
CNAG_00187	UBP16	273.9	-0.014517	0.20062	0.99377
CNAG_00188	CNAG_00188	313.18	0.11092	0.13889	0.89593
CNAG_00189	CNAG_00189	130.67	0.24503	0.20708	0.79957
CNAG_00190	CNAG_00190	735.51	-0.32594	0.23806	0.74514
CNAG_00191	CNAG_00191	232.18	0.32926	0.1315	0.33193
CNAG_00192	CNAG_00192	362.28	0.1547	0.19593	0.89593
CNAG_00193	GAT1	1052.2	-0.02164	0.22131	0.99328
CNAG_00194	CNAG_00194	1418.7	0.23432	0.14964	0.67797
CNAG_00195	CNAG_00195	569.21	0.095522	0.13835	0.91183
CNAG_00229	CNAG_00229	51.143	-0.24071	0.36125	0.91598
CNAG_00231	CNAG_00231	305.44	0.25328	0.14105	0.60986
CNAG_00232	RPL30	6180.7	0.029679	0.1441	0.97748
CNAG_00233	CNAG_00233	1815.9	0.090995	0.097886	0.8746
CNAG_00234	CNAG_00234	182.67	0.32951	0.13423	0.3534
CNAG_00235	AMT1	1086.3	0.20386	0.23218	0.88591
CNAG_00236	CNAG_00236	320.75	0.091264	0.17241	0.93717
CNAG_00237	CNAG_00237	5308.5	0.048447	0.14547	0.96774
CNAG_00238	CNAG_00238	2029	0.14694	0.1462	0.8552
CNAG_00239	YAP1	414.36	-0.20149	0.14711	0.74514
CNAG_00240	CNAG_00240	368.22	0.16153	0.13055	0.78758
CNAG_00241	CNAG_00241	230.34	0.090997	0.14562	0.92295
CNAG_00242	CNAG_00242	16.363	0.16779	0.38013	0.95258
CNAG_00243	CNAG_00243	245.01	0.041076	0.13782	0.97043
CNAG_00246	CNAG_00246	236.16	-0.1554	0.20596	0.90267
CNAG_00247	LYS9	100.27	-0.74209	0.31672	0.40534
CNAG_00248	CNAG_00248	108.54	0.033493	0.17998	0.98043
CNAG_00249	CNAG_00249	203.55	0.33589	0.16802	0.52848
CNAG_00250	CNAG_00250	171.95	-0.065908	0.22838	0.97198
CNAG_00251	CNAG_00251	54.049	0.41233	0.2526	0.65776
CNAG_00252	CNAG_00252	241.85	0.13272	0.14176	0.87338
CNAG_00253	CNAG_00253	85.547	0.38108	0.42317	0.88074
CNAG_00254	CNAG_00254	428.6	-0.14543	0.20338	0.90909
CNAG_00255	CNAG_00255	387.54	0.20125	0.12334	0.65776
CNAG_00256	CNAG_00256	702.82	0.068168	0.1372	0.94356
CNAG_00257	CNAG_00257	205.58	0.076784	0.18852	0.95736
CNAG_00258	CNAG_00258	122.12	9.8803e-7	0.21792	1
