gene	baseMean	log2FC	stderror	padj
CNAG_05010	1.8046	-5.0908	1.4868	0.011103
CNAG_03609	226.05	-4.9229	0.75137	3.5011e-8
CNAG_00755	415.09	-4.9131	0.71417	4.5283e-9
CNAG_03007	96.936	-4.648	0.43727	1.4712e-22
CNAG_01389	56.198	-4.5896	0.9806	2.2314e-4
CNAG_04413	8.2942	-4.5446	1.0164	4.3574e-4
CNAG_02339	35.232	-4.5063	1.0903	0.0014362
CNAG_01606	1.6708	-4.3853	1.2863	0.011362
CNAG_08023	71.085	-4.3774	0.7543	1.4745e-6
CNAG_06795	81.177	-4.3213	0.70745	3.6469e-7
CNAG_00463	15.191	-4.197	1.2496	0.012827
CNAG_02531	40.518	-4.0705	0.66663	3.6469e-7
CNAG_00932	116.35	-3.9413	0.69859	3.2614e-6
CNAG_00110	6.5448	-3.876	0.97129	0.0022921
CNAG_05863	2.6622	-3.8244	1.3236	0.04042
CNAG_01891	631.57	-3.7924	0.65112	1.4392e-6
CNAG_08010	87.656	-3.691	0.79046	2.3013e-4
CNAG_03511	200.75	-3.661	0.6993	2.1077e-5
CNAG_05974	27.832	-3.5982	0.7164	5.2393e-5
CNAG_01632	298.17	-3.4261	0.58463	1.3061e-6
CNAG_01996	181.92	-3.4247	0.54051	1.2302e-7
CNAG_01333	5.021	-3.4225	1.0621	0.018449
CNAG_06281	44.038	-3.3751	0.85275	0.002478
CNAG_05565	8.663	-3.3486	0.76737	6.4246e-4
CNAG_02729	58.173	-3.3329	0.90293	0.0055853
CNAG_05065	4.2727	-3.3302	1.1092	0.030864
CNAG_02072	271.77	-3.3043	0.52913	1.945e-7
CNAG_03179	17.395	-3.1124	0.79522	0.0027869
CNAG_05998	306.95	-3.0422	0.44061	4.274e-9
CNAG_06731	31.754	-2.974	0.87669	0.01181
CNAG_00321	65.931	-2.9574	0.81347	0.0064209
CNAG_00384	14.223	-2.9547	0.94357	0.022952
CNAG_05824	82.511	-2.9222	0.50278	1.4745e-6
CNAG_06149	345.45	-2.8952	0.53152	7.8123e-6
CNAG_07566	134.29	-2.8636	0.49349	1.4745e-6
CNAG_04262	106.85	-2.8417	0.55674	3.6925e-5
CNAG_01032	149.81	-2.769	0.54713	4.352e-5
CNAG_00128	13.035	-2.7581	0.70502	0.0027948
CNAG_03934	9.17	-2.7491	0.76439	0.0070116
CNAG_00419	245.63	-2.7357	0.60182	3.287e-4
CNAG_06440	290.35	-2.7302	0.57893	1.9659e-4
CNAG_05060	76.825	-2.6853	0.4712	2.5546e-6
CNAG_02448	83.723	-2.6691	0.55344	1.2471e-4
CNAG_02884	215.2	-2.6672	0.54502	9.0644e-5
CNAG_06657	162.96	-2.5918	0.44098	1.3061e-6
CNAG_04307	175.22	-2.5872	0.71277	0.0065449
CNAG_03453	12.295	-2.5754	0.49332	2.2417e-5
