gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	CNAG_00002	955.09	-0.060245	0.13367	0.88165
CNAG_00003	CNAG_00003	111.51	0.2264	0.15056	NA
CNAG_00004	CNAG_00004	227.54	-0.017354	0.12489	0.9694
CNAG_00005	CNAG_00005	548.97	0.56014	0.12563	0.0020246
CNAG_00006	CNAG_00006	1102.1	0.15505	0.083207	0.41649
CNAG_00007	CNAG_00007	561.89	0.22879	0.11097	0.34165
CNAG_00008	CNAG_00008	375.98	-0.19307	0.12605	0.51972
CNAG_00009	CNAG_00009	131.47	-0.18349	0.1195	NA
CNAG_00010	CNAG_00010	799.25	0.12265	0.11395	0.69245
CNAG_00011	CNAG_00011	72.432	-0.0062155	0.17795	NA
CNAG_00012	CNAG_00012	228.16	-0.30154	0.16039	0.41236
CNAG_00013	CNAG_00013	186.41	0.27363	0.15627	0.44978
CNAG_00014	CNAG_00014	109.39	0.057107	0.18175	NA
CNAG_00015	CNAG_00015	468.98	0.14089	0.17602	0.78356
CNAG_00016	CNAG_00016	367.07	-0.42813	0.18315	0.26959
CNAG_00017	CNAG_00017	69.798	-0.20963	0.17044	NA
CNAG_00018	FZC6	290.09	-0.018566	0.18734	0.97983
CNAG_00019	CNAG_00019	1634.9	0.12589	0.13024	0.73441
CNAG_00020	CNAG_00020	723.67	-0.29733	0.17544	0.46865
CNAG_00021	CNAG_00021	222.01	-0.32105	0.28229	0.67327
CNAG_00022	CNAG_00022	409	-0.021734	0.1006	0.94975
CNAG_00023	CNAG_00023	84.649	-0.11729	0.22852	NA
CNAG_00024	CNAG_00024	3505.6	0.21288	0.2424	0.75913
CNAG_00025	VCX1	275.5	-0.21056	0.19528	0.69241
CNAG_00026	CNAG_00026	309.05	0.11862	0.16782	0.80741
CNAG_00027	CNAG_00027	172.45	-0.19224	0.1243	0.51386
CNAG_00028	CNAG_00028	250.42	-0.069952	0.13033	0.85599
CNAG_00029	CNAG_00029	110.13	-0.08455	0.1478	NA
CNAG_00030	CNAG_00030	109.26	-0.26971	0.20923	NA
CNAG_00031	MLR1	130.79	0.10397	0.1698	NA
CNAG_00032	CNAG_00032	48.816	-0.010081	0.18415	NA
CNAG_00034	RPL9B	10366	-0.073282	0.10808	0.81361000000000006
CNAG_00035	CNAG_00035	44.367	0.13454	0.19502	NA
CNAG_00036	SEC14-2	373.16	0.07864	0.2062	0.90406
CNAG_00038	CNAG_00038	325.11	-7.9291e-5	0.17422	0.99964
CNAG_00039	ZFC6	216.25	0.2366	0.30001	0.7869
CNAG_00040	ERG11	471.26	0.0081491	0.11611	0.98696
CNAG_00043	CNAG_00043	177.98	-0.21172	0.28324	0.79801
CNAG_00044	CNAG_00044	169.01	0.089135	0.16344	0.85256
CNAG_00045	CNAG_00045	286.57	-0.067975	0.15012	0.88127
CNAG_00046	CNAG_00046	540.83	-0.061073	0.095045	0.82337
CNAG_00047	PKP1	429.04	0.31687	0.20072	0.50484
CNAG_00048	CNAG_00048	67.187	-0.29852	0.20029	NA
CNAG_00049	CNAG_00049	47.371	-0.27497	0.21511	NA
CNAG_00050	CNAG_00050	122.61	0.20984	0.16612	NA
CNAG_00051	SNT1	714.8	0.065246	0.1418	0.88016
CNAG_00052	CNAG_00052	613.96	0.45753	0.28023	0.49688
CNAG_00053	CNAG_00053	15.674	-0.31335	0.30591	NA
CNAG_00054	CNAG_00054	246.7	0.54285	0.16074	0.045782
CNAG_00055	CNAG_00055	263.82	-0.15132	0.14408	0.70915
CNAG_00056	CNAG_00056	103.07	-0.3947	0.19937	NA
CNAG_00057	FPP1	1033.3	0.51125	0.15503	0.053069
CNAG_00058	CNAG_00058	601.34	0.10565	0.17707	0.83422
CNAG_00059	CNAG_00059	112.11	-0.078833	0.16332	NA
CNAG_00060	CNAG_00060	459.19	0.21776	0.1343	0.49802
CNAG_00061	CIT1	2342.1	-0.35201	0.21821	0.49802
CNAG_00062	CNAG_00062	326.92	-0.093125	0.14205	0.81912
CNAG_00063	CSE4	30.123	-0.51688	0.26931	NA
CNAG_00064	CNAG_00064	374.21	-0.10704	0.15661	0.81361000000000006
CNAG_00065	CNAG_00065	1113.7	-0.072105	0.095406	0.79592
CNAG_00066	CNAG_00066	398.34	-0.075064	0.1176	0.82542
CNAG_00067	SSS1	837.11	-0.098267	0.12037	0.77897
CNAG_00068	CNAG_00068	149.94	-0.53179	0.20912	NA
CNAG_00069	CNAG_00069	12.265	0.55072	0.37686	NA
CNAG_00070	CNAG_00070	1474.2	0.2297	0.11694	0.38859
CNAG_00072	CNAG_00072	520.88	-0.19265	0.26702	0.80446
CNAG_00073	CNAG_00073	247.11	-0.27082	0.14562	0.41707
CNAG_00074	CNAG_00074	751.17	0.41571	0.17242	0.25173
CNAG_00075	CNAG_00075	162.93	-0.14203	0.23457	NA
CNAG_00076	NDX6	150.61	-0.11027	0.16183	NA
CNAG_00077	CNAG_00077	1485.3	0.34069	0.18012	0.40914
CNAG_00078	CNAG_00078	130.92	-0.23175	0.14879	NA
CNAG_00079	CNAG_00079	650.28	0.33017	0.29463	0.67845
CNAG_00080	CNAG_00080	85.881	-0.015034	0.20443	NA
CNAG_00081	CNAG_00081	981.91	0.21968	0.14066	0.50995
CNAG_00082	CNAG_00082	200.82	0.13418	0.18513	0.80338
CNAG_00083	CCC1	289.06	-0.13435	0.19542	0.81205
CNAG_00084	CNAG_00084	652.13	0.23999	0.14601	0.49197
CNAG_00085	CNAG_00085	156.58	-0.050619	0.11816	NA
CNAG_00086	CNAG_00086	372.82	0.13989	0.16378	0.76524
CNAG_00087	CNAG_00087	165.37	-0.12966	0.15165	NA
CNAG_00088	CNAG_00088	320.78	-0.048384	0.13539	0.91083
CNAG_00089	CNAG_00089	377.17	0.16225	0.10696	0.52411
CNAG_00090	CNAG_00090	338.32	0.045686	0.13057	0.91319
CNAG_00091	CNAG_00091	361.17	0.19235	0.22104	0.76223
CNAG_00092	CNAG_00092	636.87	-0.058632	0.10523	0.84693
CNAG_00093	CNAG_00093	513.98	0.57953	0.21458	0.15348
CNAG_00094	CNAG_00094	13.038	-0.19575	0.32203	NA
CNAG_00095	CNAG_00095	528.88	0.06246	0.13236	0.87776
CNAG_00096	CNAG_00096	50.092	-0.12114	0.22414	NA
CNAG_00097	ITR1	111.43	-0.19927	0.17694	NA
CNAG_00098	CNAG_00098	45.965	-0.48833	0.38807	NA
CNAG_00099	CNAG_00099	231.13	0.23949	0.12369	0.38877
CNAG_00100	CNAG_00100	3304.1	0.34662	0.17208	0.36355
CNAG_00101	KEI1	190.57	-0.086192	0.10024	0.76434
CNAG_00104	CNAG_00104	6521.3	0.23318	0.14508	0.50119
CNAG_00106	TCO5	582.07	0.0089066	0.22163	0.98992
CNAG_00107	CNAG_00107	122.42	-0.11806	0.27787	NA
CNAG_00108	CNAG_00108	551.32	0.27233	0.23525	0.66661
CNAG_00109	CNAG_00109	714.98	0.027959	0.15224	0.95962
CNAG_00110	HPI3	6.5448	-3.8231	1.0469	NA
CNAG_00111	CNAG_00111	611.07	-0.012311	0.097455	0.97428
CNAG_00115	CNAG_00115	288.78	-0.043385	0.20781	0.95167
CNAG_00116	CNAG_00116	5363.3	0.0065439	0.13561	0.98927
CNAG_00117	ERG24	443.22	-0.11164	0.12521	0.75473
CNAG_00118	CNAG_00118	125.47	-0.11689	0.14657	NA
CNAG_00119	CNAG_00119	172	0.13522	0.15992	0.76985
CNAG_00120	CNAG_00120	482.32	0.44379	0.18265	0.24168
CNAG_00121	CNAG_00121	394.05	-0.15984	0.1942	0.77641
CNAG_00122	CNAG_00122	11.815	-1.3865	0.49403	NA
CNAG_00123	CNAG_00123	93.912	0.16321	0.20685	NA
CNAG_00124	CAS32	417.95	-0.084678	0.12944	0.81912
CNAG_00125	CRG1	57.8	0.087267	0.18338	NA
CNAG_00126	CNAG_00126	435.21	-0.064928	0.30375	0.94994
CNAG_00127	CNAG_00127	63.06	-0.05174	0.24501	NA
CNAG_00128	CNAG_00128	13.035	-0.034572	0.49945	NA
CNAG_00129	CNAG_00129	94.231	0.037145	0.15962	NA
CNAG_00130	RCK2	763.65	0.45676	0.17297	0.17236
CNAG_00131	CNAG_00131	110.53	-0.31462	0.42692	NA
CNAG_00132	CNAG_00132	173.86	0.040882	0.21354	0.95677
CNAG_00133	CNAG_00133	125.19	0.044092	0.40381	NA
CNAG_00134	CNAG_00134	181.85	0.011478	0.14986	0.98631
CNAG_00135	CNAG_00135	123.57	-0.14645	0.18108	NA
CNAG_00136	CNAG_00136	1000.8	0.14503	0.092153	0.50641
CNAG_00137	CNAG_00137	390.64	-0.08609	0.15578	0.84865
CNAG_00138	CNAG_00138	239.4	-0.12359	0.13572	0.75112
CNAG_00139	CNAG_00139	397.61	-0.22128	0.20372	0.68924
CNAG_00140	CNAG_00140	1708.5	0.050414	0.1172	0.88846
CNAG_00141	CNAG_00141	32.877	-0.25481	0.19815	NA
CNAG_00142	CNAG_00142	1837.3	0.28838	0.15079	0.3968
CNAG_00143	CNAG_00143	753.91	-0.098914	0.1215	0.7791
CNAG_00144	CNAG_00144	43.34	0.04755	0.19312000000000001	NA
CNAG_00145	CNAG_00145	85.423	-0.19624	0.16361	NA
CNAG_00146	PBY101	559.56	0.20829	0.39496	0.86083
CNAG_00147	CNAG_00147	3811.3	0.19086	0.11871	0.50119
CNAG_00148	CNAG_00148	220.49	-0.44272	0.19198	0.27565
CNAG_00149	CNAG_00149	5707.1	-0.095686	0.14664	0.81966
CNAG_00150	PQP1	80.356	-0.26596	0.19035	NA
CNAG_00151	CNAG_00151	1045.4	0.059388	0.14892	0.90093
CNAG_00152	CNAG_00152	441.61	0.24578	0.17463	0.55828
CNAG_00153	CNAG_00153	150.35	-0.19091	0.12677	NA
CNAG_00154	CNAG_00154	125.26	0.15059	0.17135	NA
CNAG_00155	CNAG_00155	0.18917	-1.2954	3.9182	NA
CNAG_00156	SP1	1488.3	0.28241	0.11377	0.22311
CNAG_00157	CNAG_00157	809.43	-0.1924	0.14895	0.59897
CNAG_00158	HOC3	184.66	-0.11317	0.10567	0.69564
CNAG_00159	CNAG_00159	172.59	-0.19982	0.14978	0.58535
CNAG_00160	CNAG_00160	79.212	0.066015	0.19385	NA
CNAG_00161	CNAG_00161	279.19	0.51634	0.14913	0.038137
CNAG_00162	AOX1	15702	0.33466	0.17687	0.40914
CNAG_00163	CNAG_00163	1712.3	0.065436	0.13327	0.87103
CNAG_00164	CNAG_00164	228.86	-0.45664	0.28946	0.50484
CNAG_00165	CNAG_00165	1215.9	0.1686	0.17046	0.72781
CNAG_00166	CNAG_00166	848.18	0.39313	0.17237	0.28221
CNAG_00167	CNAG_00167	109.06	-0.21617	0.11915	NA
CNAG_00171	CNAG_00171	34.897	-0.26905	0.1959	NA
CNAG_00172	CNAG_00172	17.464	-0.38382	0.38792	NA
CNAG_00173	CNAG_00173	266.09	0.15456	0.24858	0.83119
CNAG_00174	CNAG_00174	184.84	-0.10419	0.23272	0.88216
CNAG_00175	CNAG_00175	184.75	-0.15348	0.14671	0.70983
CNAG_00176	CNAG_00176	396.99	-0.37555	0.17932	0.33053
CNAG_00177	CNAG_00177	2.5186	-0.99776	0.93607	NA
CNAG_00178	CNAG_00178	512.18	0.16524	0.1821	0.75117
CNAG_00179	GPA2	36.284	0.048201	0.21277	NA
CNAG_00180	CNAG_00180	184.68	0.10206	0.14707	0.81205
CNAG_00181	FYV10	143.26	-0.16446	0.16888	NA
CNAG_00182	VPS29	194.3	-0.1052	0.19354	0.85256
CNAG_00183	CNAG_00183	996.65	0.46062	0.2166	0.32107
CNAG_00184	CNAG_00184	515.24	-0.023203	0.094626	0.94125
CNAG_00185	CNAG_00185	269.55	-0.22413	0.1112	0.36355
CNAG_00186	CNAG_00186	214.06	-0.17206	0.17125	0.72403
CNAG_00187	UBP16	273.9	0.27366	0.19023	0.54776
CNAG_00188	CNAG_00188	313.18	-0.131	0.12152	0.69241
CNAG_00189	CNAG_00189	130.67	-0.2165	0.16326	NA
CNAG_00190	CNAG_00190	735.51	0.28305	0.22856	0.62902
CNAG_00191	CNAG_00191	232.18	-0.096815	0.13974	0.81205
CNAG_00192	CNAG_00192	362.28	-0.19991	0.19781	0.72008
CNAG_00193	GAT1	1052.2	-0.30028	0.22123	0.57381
CNAG_00194	CNAG_00194	1418.7	0.11457	0.15058	0.79436
CNAG_00195	CNAG_00195	569.21	0.0853	0.14053	0.83284
CNAG_00229	CNAG_00229	51.143	-0.087249	0.18618	NA
CNAG_00231	CNAG_00231	305.44	0.37728	0.14573	0.18498
CNAG_00232	RPL30	6180.7	-0.13105	0.14392	0.75112
CNAG_00233	CNAG_00233	1815.9	0.13735	0.097889	0.55828
CNAG_00234	CNAG_00234	182.67	-0.076562	0.12456	0.83141
CNAG_00235	AMT1	1086.3	0.05048	0.24061	0.95125
CNAG_00236	CNAG_00236	320.75	-0.11665	0.18045	0.82149
CNAG_00237	CNAG_00237	5308.5	0.13675	0.1483	0.74764
CNAG_00238	CNAG_00238	2029	-0.1094	0.14657	0.79824
CNAG_00239	YAP1	414.36	-0.016014	0.15049	0.97937
CNAG_00240	CNAG_00240	368.22	-0.21591	0.12197	0.4471
CNAG_00241	CNAG_00241	230.34	-0.11188	0.15045	0.79833
CNAG_00242	CNAG_00242	16.363	-0.34438	0.28873	NA
CNAG_00243	CNAG_00243	245.01	0.05352	0.12209	0.88477
CNAG_00246	CNAG_00246	236.16	0.021066	0.16774	0.9745
CNAG_00247	LYS9	100.27	-0.73651	0.26671	NA
CNAG_00248	CNAG_00248	108.54	-0.16813	0.15674	NA
CNAG_00249	CNAG_00249	203.55	-0.067358	0.14861	0.88127
CNAG_00250	CNAG_00250	171.95	-0.4178	0.22441	0.41649
CNAG_00251	CNAG_00251	54.049	-0.2149	0.21032	NA
CNAG_00252	CNAG_00252	241.85	-0.30128	0.13149	0.27923
CNAG_00253	CNAG_00253	85.547	-0.23902	0.34575	NA
CNAG_00254	CNAG_00254	428.6	0.2445	0.19567	0.62284
CNAG_00255	CNAG_00255	387.54	0.06311	0.11345	0.8471
CNAG_00256	CNAG_00256	702.82	0.032483	0.13676	0.94422
CNAG_00257	CNAG_00257	205.58	-0.16971	0.18124	0.74321
CNAG_00258	CNAG_00258	122.12	-0.13845	0.15561	NA
CNAG_00259	CNAG_00259	818	0.26372	0.11855	0.295
CNAG_00260	CNAG_00260	623.62	0.03107	0.13283	0.94504
CNAG_00261	CNAG_00261	2267.1	0.057983	0.095155	0.83284
CNAG_00262	CNAG_00262	264.16	0.21563	0.1774	0.63776
CNAG_00263	PTP4	290.03	0.2433	0.13409	0.43649
CNAG_00264	CNAG_00264	1240.4	0.31957	0.11918	0.1586
CNAG_00265	IDI1	1337.5	0.21501	0.14163	0.52411
CNAG_00266	YFH7	144.83	-0.12073	0.15403	NA
CNAG_00267	CNAG_00267	82.122	-0.17197	0.16664	NA
CNAG_00268	ILV2	1925.1	-0.12009	0.16719	0.80446
CNAG_00269	CNAG_00269	18.704	-0.25725	0.32855	NA
CNAG_00270	CNAG_00270	1727.1	-0.077904	0.097745	0.78439
CNAG_00271	CNAG_00271	215.6	-0.088639	0.1151	0.79158
CNAG_00272	CNAG_00272	280.12	-0.16546	0.13105	0.61674
CNAG_00273	CNAG_00273	72.101	-0.19808	0.18947	NA
CNAG_00274	CNAG_00274	116.32	0.051671	0.14267	NA
CNAG_00275	CNAG_00275	48.932	-0.25821	0.23386	NA
CNAG_00276	CNAG_00276	158.2	-0.32999	0.19849	NA
CNAG_00277	CNAG_00277	191.66	-0.052377	0.12408	0.89175
CNAG_00278	CNAG_00278	324.27	-0.082887	0.15398	0.85599
CNAG_00279	CNAG_00279	235.87	-0.35637	0.19241	0.42081
CNAG_00280	CNAG_00280	796.94	-0.041507	0.12682	0.91945
CNAG_00283	CNAG_00283	113.25	-0.43112	0.14573	NA
CNAG_00284	CNAG_00284	179.18	-0.23633	0.12218999999999999	0.38877
CNAG_00285	CNAG_00285	158.64	-0.098677	0.26296	NA
CNAG_00286	NAB2	576.44	0.15287	0.1204	0.61118
CNAG_00287	CNAG_00287	1773.9	0.14807	0.18337	0.77959
CNAG_00288	CNAG_00288	183.93	-0.16654	0.14704	0.67345
CNAG_00289	CNAG_00289	224.34	-0.098873	0.19483	0.86682
CNAG_00290	CNAG_00290	344.86	-0.27588	0.16461	0.47955
CNAG_00291	CNAG_00291	34.502	-0.11867	0.32414	NA
CNAG_00292	CNAG_00292	2679.1	0.40927	0.094968	0.0036102
CNAG_00293	RAS1	657.52	-0.17667	0.11804	0.53144
CNAG_00294	CNAG_00294	355.24	0.0042255	0.10847	0.99023
CNAG_00295	CNAG_00295	4.7563	-0.3018	0.45146	NA
CNAG_00299	CNAG_00299	253.53	-0.083077	0.15361	0.85429
CNAG_00300	CNAG_00300	318.61	-0.11547	0.14107	0.77817
CNAG_00301	CNAG_00301	433.38	-0.058145	0.18723	0.9232
CNAG_00302	CNAG_00302	58.752	0.14231	0.49751	NA
CNAG_00303	CNAG_00303	21.686	-0.83654	0.32694	NA
CNAG_00304	CNAG_00304	230.27	0.0085569	0.14091	0.98887
CNAG_00305	CNAG_00305	2879.4	0.17113	0.14289	0.64565
CNAG_00306	MTN2	37.33	0.061303	0.44444	NA
CNAG_00307	CNAG_00307	1417.1	-0.0013044	0.1316	0.99703
CNAG_00308	CNAG_00308	85.377	-0.14093	0.17687	NA
CNAG_00309	CNAG_00309	202.53	-0.18094	0.12449	0.54255
CNAG_00310	CNAG_00310	174.85	-0.073438	0.15745	0.87943
CNAG_00311	CNAG_00311	587	0.02036	0.11898	0.96297
CNAG_00312	CNAG_00312	146.99	-0.1419	0.14897	NA
CNAG_00313	CNAG_00313	135.8	-0.097858	0.12135	NA
CNAG_00314	CNAG_00314	85.586	-0.31725	0.15372	NA
CNAG_00315	CNAG_00315	152.39	-0.0098877	0.28978	NA
CNAG_00316	HAM1	258.79	-0.16598	0.10682	0.50995
CNAG_00317	CNAG_00317	515.15	-0.0064166	0.16295	0.99012
CNAG_00318	CNAG_00318	535.43	-0.046807	0.15864	0.92668
CNAG_00319	CNAG_00319	491.33	-0.26767	0.12345	0.30807
CNAG_00320	CNAG_00320	166.1	-0.056331	0.12262	0.88016
CNAG_00321	CNAG_00321	65.931	1.725	0.81772	NA
CNAG_00322	CNAG_00322	235.74	0.034274	0.20713	0.96423
CNAG_00323	CNAG_00323	2.489	-1.3145	0.7717	NA
CNAG_00326	CNAG_00326	1008.8	0.15085	0.12395	0.63692
CNAG_00327	CNAG_00327	57.023	0.067765	0.22099	NA
CNAG_00328	CNAG_00328	240.87	-0.079813	0.2174	0.9081
CNAG_00329	CNAG_00329	664.36	-0.0074214	0.2039	0.99109
CNAG_00330	CNAG_00330	762.33	0.11066	0.15718	0.80876
CNAG_00331	CNAG_00331	143.71	-0.09717	0.20135	NA
CNAG_00332	SIP4	573.81	-0.10107	0.17022	0.83447
CNAG_00333	CNAG_00333	29.174	-0.27918	0.32493	NA
CNAG_00334	CNAG_00334	21724	0.20368	0.14768	0.56564
CNAG_00335	CNAG_00335	362.18	-0.095719	0.13965	0.81259
CNAG_00337	CNAG_00337	1094.4	0.29921	0.12918	0.27285
CNAG_00342	CNAG_00342	504.42	-0.012531	0.11905	0.97963
CNAG_00343	CNAG_00343	64.652	5.047e-4	0.1841	NA
CNAG_00344	CNAG_00344	93.114	-0.095054	0.14109	NA
CNAG_00345	CNAG_00345	442.59	-0.11213	0.17177	0.81966
CNAG_00346	CNAG_00346	92.035	0.11449	0.19682	NA
CNAG_00347	CNAG_00347	270.31	-0.099432	0.2167	0.88016
CNAG_00348	CNAG_00348	534.03	0.35905	0.1607	0.29054
CNAG_00349	CNAG_00349	549.92	0.42135	0.22916	0.42892
CNAG_00351	CNAG_00351	252.69	0.041617	0.13319	0.92253
CNAG_00352	CNAG_00352	422.64	0.098125	0.15937	0.83131
CNAG_00353	LPI16	159.02	-0.12931	0.16121	NA
CNAG_00354	CNAG_00354	887.7	-0.13338	0.093156	0.55133
CNAG_00355	CNAG_00355	1075.1	-0.15555	0.14323	0.68924
CNAG_00356	CNAG_00356	308.41	-0.23812	0.17868	0.58556
CNAG_00357	CNAG_00357	279.15	0.29777	0.12062	0.22589
CNAG_00358	CNAG_00358	352.6	0.1803	0.12312	0.53855
CNAG_00359	CNAG_00359	442.97	0.075334	0.15136	0.86895
CNAG_00360	CNAG_00360	563.7	0.39192	0.18272	0.31423
CNAG_00361	RVS167	648.68	-0.17063999999999999	0.16666	0.71684
CNAG_00362	CNAG_00362	249	0.015017	0.12152	0.97479
CNAG_00363	TCO6	689.33	0.23907	0.13747	0.45096
CNAG_00364	CNAG_00364	219.36	0.044418	0.14606	0.92408
CNAG_00365	CNAG_00365	299.62	-0.1154	0.10874	0.70103
CNAG_00366	CNAG_00366	15.857	0.45722	0.42256	NA
CNAG_00367	DYN5	119.04	-0.3202	0.17527	NA
CNAG_00368	CNAG_00368	124.3	-0.24618	0.15056	NA
CNAG_00369	CNAG_00369	269.73	0.086882	0.14597	0.83422
CNAG_00370	UBI1	5820.3	-0.17005	0.14655	0.66561
CNAG_00371	CNAG_00371	39.591	-0.34728	0.17747	NA
CNAG_00372	CNAG_00372	356.42	-0.12803	0.18124	0.80741
CNAG_00373	CNAG_00373	95.581	-0.26557	0.24417	NA
CNAG_00374	CNAG_00374	524.31	0.38773	0.1997	0.38859
CNAG_00375	GCN5	344.71	-0.10164	0.11408	0.75473
CNAG_00377	CNAG_00377	457.64	-0.1115	0.16837	0.81833
CNAG_00378	CNAG_00378	349.91	0.55953	0.34371	0.49802
CNAG_00383	APT3	299.97	-0.25795	0.12368	0.33343
CNAG_00384	CNAG_00384	14.223	-0.59164	0.34575	NA
CNAG_00385	CNAG_00385	674.46	-0.14673	0.15054	0.73383
CNAG_00386	CNAG_00386	890.04	0.021495	0.19782	0.97937
CNAG_00387	LPI13	300.23	-0.08093	0.11171	0.80338
CNAG_00388	CNAG_00388	594.25	-0.16617	0.10111	0.49197
CNAG_00389	CNAG_00389	255.71	-0.16814	0.13611	0.63058
CNAG_00390	YMR1	87.393	-0.07594	0.15484	NA
CNAG_00391	CNAG_00391	264.61	-0.17165	0.22092	0.78994
CNAG_00392	CNAG_00392	67.067	-0.18246	0.18607	NA
CNAG_00393	CNAG_00393	632.92	-0.34376	0.51096	0.81445
CNAG_00394	CNAG_00394	1648.2	0.4389	0.18925	0.2727
CNAG_00395	CNAG_00395	248.8	-0.13988	0.13446	0.71278
CNAG_00396	PKA1	272.44	-0.10191	0.13415	0.79524
