gene	geneName	baseMean	log2FC	stderror	padj
CNAG_02005	CNAG_02005	49.244	-2.4377	0.33702	6.2672e-10
CNAG_00979	CTR4	20403	-2.3186	0.29877	2.8122e-11
CNAG_00895	ZIP1	3286.5	-1.9491	0.22601	4.2925e-14
CNAG_04877	CNAG_04877	95.513	-1.8306	0.53973	0.01916
CNAG_03398	ZIP2	358.22	-1.7821	0.29648	1.1653e-6
CNAG_07334	FRE4	5875.3	-1.6216	0.22091	4.7262e-10
CNAG_02775	BIM1	29986	-1.5715	0.22966	7.3851e-9
CNAG_05392	ZAP104	283.67	-1.4142	0.19438	5.7521e-10
CNAG_03007	CNAG_03007	96.936	-1.3829	0.27138	6.7872e-5
CNAG_02225	EXG104	72.58	-1.2537	0.31652	0.0041719
CNAG_05867	CNAG_05867	968.95	-1.2126	0.24415	1.0527e-4
CNAG_00537	CNAG_00537	83.492	-1.118	0.32638	0.017441
CNAG_04857	CNAG_04857	45.067	-1.0913	0.33221	0.024095
CNAG_02008	OVA1	556.76	-1.0498	0.24245	0.0012856
