ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
PWY0-1561__PK__MetaCyc	glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	2	2	CNAG_02814,CNAG_02815,	100.0	31.71	inf	0.000977040534352	0.300102073744	0.99462726397
PWY0-1581__PK__MetaCyc	nitrate reduction IX (dissimilatory)	2	2	CNAG_02814,CNAG_02815,	100.0	31.71	inf	0.000977040534352	0.300102073744	0.99462726397
PWY-6952__PK__MetaCyc	glycerophosphodiester degradation	2	2	CNAG_02814,CNAG_02815,	100.0	31.71	inf	0.000977040534352	0.300102073744	0.99462726397
CALVIN-PWY__PK__MetaCyc	Calvin-Benson-Bassham cycle	28	5	CNAG_00827,CNAG_00866,CNAG_02035,CNAG_03040,CNAG_06770,	17.9	5.66	7.24	0.00146637871308	0.300102073744	1.0
PHOTOALL-PWY__PK__MetaCyc	oxygenic photosynthesis	30	5	CNAG_00827,CNAG_00866,CNAG_02035,CNAG_03040,CNAG_06770,	16.7	5.28	6.66	0.00202620357163	0.300102073744	1.0
PWY-4261__PK__MetaCyc	glycerol degradation I	9	3	CNAG_02814,CNAG_02815,CNAG_04631,	33.3	10.57	16.18	0.00218045116552	0.300102073744	1.0
PWY0-381__PK__MetaCyc	glycerol and glycerophosphodiester degradation	9	3	CNAG_02814,CNAG_02815,CNAG_04631,	33.3	10.57	16.18	0.00218045116552	0.300102073744	1.0
P185-PWY__PK__MetaCyc	formaldehyde assimilation III (dihydroxyacetone cycle)	31	5	CNAG_00827,CNAG_00866,CNAG_02035,CNAG_03040,CNAG_06770,	16.1	5.11	6.4	0.00235836600191	0.300102073744	1.0
PWY0-1582__PK__MetaCyc	glycerol-3-phosphate to fumarate electron transfer	3	2	CNAG_02814,CNAG_02815,	66.7	21.14	63.7	0.00287166907916	0.324817680287	1.0
PWY-1861__PK__MetaCyc	formaldehyde assimilation II (assimilatory RuMP Cycle)	22	4	CNAG_00827,CNAG_00866,CNAG_03040,CNAG_06770,	18.2	5.77	7.28	0.00424592133613	0.335701744932	1.0
PWY-6118__PK__MetaCyc	glycerol-3-phosphate shuttle	4	2	CNAG_02814,CNAG_02815,	50.0	15.85	31.83	0.00562709669285	0.335701744932	1.0
PWY3O-355__PK__MetaCyc	stearate biosynthesis III (fungi)	54	6	CNAG_00865,CNAG_01102,CNAG_02553,CNAG_02925,CNAG_03564,CNAG_06379,	11.1	3.52	4.19	0.00598406313868	0.335701744932	1.0
PWY-5994__PK__MetaCyc	palmitate biosynthesis I (animals and fungi)	54	6	CNAG_00865,CNAG_01102,CNAG_02553,CNAG_02925,CNAG_03564,CNAG_06379,	11.1	3.52	4.19	0.00598406313868	0.335701744932	1.0
PWY-6039__PK__MetaCyc	chlorogenic acid biosynthesis I	25	4	CNAG_00865,CNAG_03564,CNAG_04195,CNAG_06379,	16.0	5.07	6.23	0.00684360441684	0.335701744932	1.0
ec00710__PK__KEGG	Carbon fixation in photosynthetic organisms	40	5	CNAG_00827,CNAG_00866,CNAG_02035,CNAG_03040,CNAG_06770,	12.5	3.96	4.73	0.00735612959818	0.335701744932	1.0
ec00040__PK__KEGG	Pentose and glucuronate interconversions	75	7	CNAG_01846,CNAG_02553,CNAG_02925,CNAG_03983,CNAG_04631,CNAG_06169,CNAG_06628,	9.3	2.96	3.48	0.00789900126147	0.335701744932	1.0
PWY-7124__PK__MetaCyc	ethylene biosynthesis V (engineered)	41	5	CNAG_00827,CNAG_00866,CNAG_02035,CNAG_03040,CNAG_06770,	12.2	3.87	4.59	0.0081791752633	0.335701744932	1.0
PWY-7218__PK__MetaCyc	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	42	5	CNAG_00827,CNAG_00866,CNAG_02035,CNAG_03040,CNAG_06770,	11.9	3.77	4.46	0.00906442186883	0.335701744932	1.0
PWY0-1584__PK__MetaCyc	nitrate reduction X (dissimilatory, periplasmic)	5	2	CNAG_02814,CNAG_02815,	40.0	12.68	21.21	0.00918909392221	0.335701744932	1.0
PWY-5183__PK__MetaCyc	superpathway of aerobic toluene degradation	5	2	CNAG_05031,CNAG_06628,	40.0	12.68	21.21	0.00918909392221	0.335701744932	1.0
PWY-6307__PK__MetaCyc	L-tryptophan degradation X (mammalian, via tryptamine)	28	4	CNAG_00834,CNAG_03983,CNAG_06169,CNAG_06628,	14.3	4.53	5.44	0.0103256724845	0.335701744932	1.0
PWY-6614__PK__MetaCyc	tetrahydrofolate biosynthesis	6	2	CNAG_01527,CNAG_01528,	33.3	10.57	15.9	0.0135058904495	0.335701744932	1.0
