ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
PWY-4821__PK__MetaCyc	UDP-&alpha;-D-xylose biosynthesis	2	2	CNAG_03322,CNAG_04969,	100.0	23.89	inf	0.00172906567291	0.449621451037	1.0
4-HYDROXYMANDELATE-DEGRADATION-PWY__PK__MetaCyc	4-hydroxymandelate degradation	2	2	CNAG_04096,CNAG_04344,	100.0	23.89	inf	0.00172906567291	0.449621451037	1.0
PWY-7703__PK__MetaCyc	2,4-xylenol degradation to protocatechuate	33	6	CNAG_00141,CNAG_00735,CNAG_01777,CNAG_05534,CNAG_06785,CNAG_06836,	18.2	4.34	5.45	0.00197044898323	0.449621451037	1.0
LYSINE-DEG1-PWY__PK__MetaCyc	L-lysine degradation XI (mammalian)	8	3	CNAG_00247,CNAG_00735,CNAG_05820,	37.5	8.96	14.28	0.00338799005354	0.449621451037	1.0
PWY-7626__PK__MetaCyc	bacilysin biosynthesis	16	4	CNAG_00141,CNAG_01865,CNAG_05657,CNAG_06785,	25.0	5.97	8.01	0.00350959241731	0.449621451037	1.0
PWY-5022__PK__MetaCyc	4-aminobutanoate degradation V	16	4	CNAG_00879,CNAG_02455,CNAG_03829,CNAG_04469,	25.0	5.97	8.01	0.00350959241731	0.449621451037	1.0
PWY-5469__PK__MetaCyc	sesamin biosynthesis	9	3	CNAG_05060,CNAG_06241,CNAG_06917,	33.3	7.96	11.89	0.00493000543703	0.449621451037	1.0
PWY-6714__PK__MetaCyc	L-rhamnose degradation III	3	2	CNAG_04096,CNAG_04344,	66.7	15.93	47.04	0.00504625136688	0.449621451037	1.0
PWY-7733__PK__MetaCyc	3-hydroxyquinaldate biosynthesis	18	4	CNAG_00141,CNAG_00688,CNAG_01865,CNAG_06785,	22.2	5.31	6.86	0.00553665516682	0.449621451037	1.0
PWY-6954__PK__MetaCyc	superpathway of aromatic compound degradation via 2-hydroxypentadienoate	19	4	CNAG_00141,CNAG_04096,CNAG_04344,CNAG_06785,	21.1	5.03	6.4	0.00679364217611	0.449621451037	1.0
PWY-5466__PK__MetaCyc	matairesinol biosynthesis	10	3	CNAG_05060,CNAG_06241,CNAG_06917,	30.0	7.17	10.19	0.00683260737374	0.449621451037	1.0
PWY-6713__PK__MetaCyc	L-rhamnose degradation II	20	4	CNAG_00735,CNAG_01777,CNAG_04096,CNAG_04344,	20.0	4.78	6.0	0.00822660736672	0.449621451037	1.0
PWY18C3-2__PK__MetaCyc	solasodine and soladulcidine biosynthesis	11	3	CNAG_00141,CNAG_01865,CNAG_06785,	27.3	6.52	8.91	0.00911485191144	0.449621451037	1.0
PWY-7701__PK__MetaCyc	4-hydroxy-4-methyl-L-glutamate biosynthesis	4	2	CNAG_00251,CNAG_01865,	50.0	11.95	23.51	0.00981911188575	0.449621451037	1.0
PWY-6666__PK__MetaCyc	pyocyanin biosynthesis	4	2	CNAG_00141,CNAG_06785,	50.0	11.95	23.51	0.00981911188575	0.449621451037	1.0
PWY-6660__PK__MetaCyc	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis	4	2	CNAG_00141,CNAG_06785,	50.0	11.95	23.51	0.00981911188575	0.449621451037	1.0
PWY18C3-6__PK__MetaCyc	superpathway of glycoalkaloid metabolism (Solanaceae)	46	6	CNAG_00141,CNAG_01283,CNAG_01865,CNAG_03113,CNAG_06016,CNAG_06785,	13.0	3.12	3.65	0.010816703974	0.449621451037	1.0
PWY66-241__PK__MetaCyc	bupropion degradation	22	4	CNAG_00141,CNAG_05534,CNAG_06785,CNAG_06836,	18.2	4.34	5.32	0.0116574611968	0.449621451037	1.0
PWY66-201__PK__MetaCyc	nicotine degradation IV	34	5	CNAG_00141,CNAG_03556,CNAG_05534,CNAG_06785,CNAG_06836,	14.7	3.51	4.16	0.0120534204612	0.449621451037	1.0
PWY-2421__PK__MetaCyc	indole-3-acetate degradation	23	4	CNAG_00141,CNAG_05534,CNAG_06785,CNAG_06836,	17.4	4.15	5.04	0.013672035339	0.449621451037	1.0
PWY66-394__PK__MetaCyc	aspirin triggered resolvin E biosynthesis	13	3	CNAG_00936,CNAG_03829,CNAG_06917,	23.1	5.51	7.12	0.0148738591189	0.449621451037	1.0
PWY-7523__PK__MetaCyc	L-arginine degradation XII	13	3	CNAG_00735,CNAG_01777,CNAG_01865,	23.1	5.51	7.12	0.0148738591189	0.449621451037	1.0
PWY-5327__PK__MetaCyc	superpathway of L-lysine degradation	111	10	CNAG_00141,CNAG_00247,CNAG_00735,CNAG_01777,CNAG_01865,CNAG_04866,CNAG_05657,CNAG_05820,CNAG_06785,CNAG_07937,	9.0	2.15	2.47	0.0149557743301	0.449621451037	1.0
ec01055__PK__KEGG	Biosynthesis of vancomycin group antibiotics	5	2	CNAG_01865,CNAG_03322,	40.0	9.56	15.66	0.0159232530398	0.449621451037	1.0
PWY-6184__PK__MetaCyc	methylsalicylate degradation	5	2	CNAG_00141,CNAG_06785,	40.0	9.56	15.66	0.0159232530398	0.449621451037	1.0
PWY-1501__PK__MetaCyc	mandelate degradation I	5	2	CNAG_04096,CNAG_04344,	40.0	9.56	15.66	0.0159232530398	0.449621451037	1.0
PWY-6107__PK__MetaCyc	chlorosalicylate degradation	5	2	CNAG_00141,CNAG_06785,	40.0	9.56	15.66	0.0159232530398	0.449621451037	1.0
PWY-6183__PK__MetaCyc	salicylate degradation I	5	2	CNAG_00141,CNAG_06785,	40.0	9.56	15.66	0.0159232530398	0.449621451037	1.0
PWY66-221__PK__MetaCyc	nicotine degradation V	25	4	CNAG_00141,CNAG_05534,CNAG_06785,CNAG_06836,	16.0	3.82	4.55	0.0183355222585	0.449621451037	1.0
PWY-7212__PK__MetaCyc	baicalein metabolism	38	5	CNAG_00141,CNAG_01283,CNAG_03113,CNAG_06016,CNAG_06785,	13.2	3.14	3.65	0.019092084968	0.449621451037	1.0
LIPASYN-PWY__PK__MetaCyc	phospholipases	26	4	CNAG_00936,CNAG_04869,CNAG_06917,CNAG_07799,	15.4	3.68	4.35	0.0209965306067	0.449621451037	1.0
ec00522__PK__KEGG	Biosynthesis of 12-, 14- and 16-membered macrolides	39	5	CNAG_00141,CNAG_01283,CNAG_03113,CNAG_06016,CNAG_06785,	12.8	3.06	3.54	0.0212007214706	0.449621451037	1.0
GLUDEG-I-PWY__PK__MetaCyc	GABA shunt	15	3	CNAG_00879,CNAG_02455,CNAG_04469,	20.0	4.78	5.92	0.0222821661904	0.449621451037	1.0
PWY-7033__PK__MetaCyc	alkane biosynthesis II	16	3	CNAG_00735,CNAG_01777,CNAG_03019,	18.8	4.48	5.47	0.0266142985996	0.449621451037	1.0
ec00440__PK__KEGG	Phosphonate and phosphinate metabolism	16	3	CNAG_00735,CNAG_01777,CNAG_01865,	18.8	4.48	5.47	0.0266142985996	0.449621451037	1.0
PWY3DJ-11470__PK__MetaCyc	sphingosine and sphingosine-1-phosphate metabolism	16	3	CNAG_00735,CNAG_01165,CNAG_03019,	18.8	4.48	5.47	0.0266142985996	0.449621451037	1.0
PWY-6328__PK__MetaCyc	L-lysine degradation X	16	3	CNAG_00735,CNAG_01777,CNAG_01865,	18.8	4.48	5.47	0.0266142985996	0.449621451037	1.0
PWY-5885__PK__MetaCyc	wax esters biosynthesis II	16	3	CNAG_00735,CNAG_01777,CNAG_03019,	18.8	4.48	5.47	0.0266142985996	0.449621451037	1.0
PWY0-461__PK__MetaCyc	L-lysine degradation I	16	3	CNAG_00735,CNAG_01777,CNAG_01865,	18.8	4.48	5.47	0.0266142985996	0.449621451037	1.0
PWY-6279__PK__MetaCyc	myxol-2' fucoside biosynthesis	43	5	CNAG_00141,CNAG_01283,CNAG_03113,CNAG_06016,CNAG_06785,	11.6	2.78	3.16	0.0311400817699	0.449621451037	1.0
PWY-6662__PK__MetaCyc	superpathway of quinolone and alkylquinolone biosynthesis	7	2	CNAG_00141,CNAG_06785,	28.6	6.83	9.39	0.0316655115929	0.449621451037	1.0
PWY-1121__PK__MetaCyc	suberin monomers biosynthesis	59	6	CNAG_00141,CNAG_00735,CNAG_01777,CNAG_03019,CNAG_05657,CNAG_06785,	10.2	2.43	2.73	0.0338681748835	0.449621451037	1.0
PWY-7820__PK__MetaCyc	teichuronic acid biosynthesis (<i>B. subtilis</i> 168)	30	4	CNAG_01283,CNAG_03113,CNAG_04969,CNAG_06016,	13.3	3.19	3.67	0.0339405246305	0.449621451037	1.0
PWY-2724__PK__MetaCyc	alkane oxidation	30	4	CNAG_00141,CNAG_00735,CNAG_01777,CNAG_06785,	13.3	3.19	3.67	0.0339405246305	0.449621451037	1.0
