Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
RS_240	CNAG_00002	CNAG_00002	851.59	-0.35867	0.14184	0.06493
RS_240	CNAG_00003	CNAG_00003	135.32	0.18862	0.17211	0.49946
RS_240	CNAG_00004	CNAG_00004	230.61	0.068662	0.13641	0.78701
RS_240	CNAG_00005	CNAG_00005	514.95	-0.46509	0.14677	0.015091
RS_240	CNAG_00006	CNAG_00006	1072.9	-0.33541	0.099224	0.0082696
RS_240	CNAG_00007	CNAG_00007	475.22	-0.2842	0.11197	0.063467
RS_240	CNAG_00008	CNAG_00008	366.17	0.52261	0.13668	0.0021182
RS_240	CNAG_00009	CNAG_00009	200.61	0.3355	0.12697	0.052677
RS_240	CNAG_00010	CNAG_00010	722.42	0.28162	0.13333	0.13858
RS_240	CNAG_00011	CNAG_00011	94.712	0.81466	0.17065	4.6799e-5
RS_240	CNAG_00012	CNAG_00012	215.01	-0.54878	0.16594	0.010197
RS_240	CNAG_00013	CNAG_00013	175.11	-0.25135	0.16975	0.32883
RS_240	CNAG_00014	CNAG_00014	101.27	0.1364	0.19122	0.683
RS_240	CNAG_00015	CNAG_00015	452.51	-0.86956	0.19207	1.3685e-4
RS_240	CNAG_00016	CNAG_00016	483.48	0.10807	0.18627	0.74863
RS_240	CNAG_00017	CNAG_00017	76.877	-0.074614	0.20884	0.8596
RS_240	CNAG_00018	FZC6	309.32	-0.39874	0.19368	0.1504
RS_240	CNAG_00019	CNAG_00019	1425.1	-0.21084	0.14347	0.33363
RS_240	CNAG_00020	CNAG_00020	782.89	0.36439	0.19063	0.18881
RS_240	CNAG_00021	CNAG_00021	183.4	0.38083	0.28927	0.39812
RS_240	CNAG_00022	CNAG_00022	364.7	-0.20702	0.10017	0.14859
RS_240	CNAG_00023	CNAG_00023	75.879	-0.48961	0.2092	0.094078
RS_240	CNAG_00024	CNAG_00024	3174.8	0.97822	0.27074	0.0041117
RS_240	CNAG_00025	VCX1	278.69	0.67922	0.2307	0.026402
RS_240	CNAG_00026	CNAG_00026	256.03	-0.16857	0.17564	0.56181
RS_240	CNAG_00027	CNAG_00027	175.94	-0.0079269	0.14028	0.97707
RS_240	CNAG_00028	CNAG_00028	274.68	-0.087867	0.14381	0.73323
RS_240	CNAG_00029	CNAG_00029	98.491	-0.25183	0.17662	0.35128
RS_240	CNAG_00030	CNAG_00030	104.13	0.016936	0.23048	0.97328
RS_240	CNAG_00031	MLR1	127.64	0.45765	0.17644	0.057618
RS_240	CNAG_00032	CNAG_00032	50.283	-0.13656	0.19646	0.69163
RS_240	CNAG_00034	RPL9B	8561.1	-0.23638	0.10503	0.10914
RS_240	CNAG_00035	CNAG_00035	42.528	0.24976	0.22882	0.5014
RS_240	CNAG_00036	SEC14-2	430.39	-0.31297	0.20597	0.31461
RS_240	CNAG_00038	CNAG_00038	289.96	-0.47654	0.17383	0.042418
RS_240	CNAG_00039	ZFC6	186.22	0.32643	0.30661	0.51295
RS_240	CNAG_00040	ERG11	400.6	-0.038441	0.12177	0.87656
RS_240	CNAG_00043	CNAG_00043	249.94	-0.22461	0.26126	0.61469
RS_240	CNAG_00044	CNAG_00044	191.23	-0.50119	0.16408	0.020303
RS_240	CNAG_00045	CNAG_00045	360.19	-0.11108	0.15366	0.67849
RS_240	CNAG_00046	CNAG_00046	497.54	-0.13436	0.10834	0.4324
RS_240	CNAG_00047	PKP1	520.21	0.17826	0.21649	0.63173
RS_240	CNAG_00048	CNAG_00048	59.287	0.62403	0.22823	0.043084
RS_240	CNAG_00049	CNAG_00049	42.497	0.57923	0.23528	0.074987
RS_240	CNAG_00050	CNAG_00050	109.49	-0.020668	0.16775	0.95545
RS_240	CNAG_00051	SNT1	688.78	0.22486	0.14174	0.29001
RS_240	CNAG_00052	CNAG_00052	2725.4	-0.41505	0.28631	0.34183
RS_240	CNAG_00053	CNAG_00053	17.229	0.70642	0.30408	0.097103
RS_240	CNAG_00054	CNAG_00054	344.16	-0.21214	0.15766	0.38567
RS_240	CNAG_00055	CNAG_00055	440.16	-0.59849	0.14009	4.0392e-4
RS_240	CNAG_00056	CNAG_00056	102.65	0.041551	0.21251	0.92934
RS_240	CNAG_00057	FPP1	946.28	-0.81717	0.15506	4.5334e-6
RS_240	CNAG_00058	CNAG_00058	511.48	0.22562	0.18979	0.4554
RS_240	CNAG_00059	CNAG_00059	96.078	-0.54219	0.17509	0.017971
RS_240	CNAG_00060	CNAG_00060	468.94	-0.17502	0.13552	0.41007
RS_240	CNAG_00061	CIT1	2089.9	-0.28082	0.2119	0.39443
RS_240	CNAG_00062	CNAG_00062	296.31	-0.38886	0.14982	0.057491
RS_240	CNAG_00063	CSE4	28.172	0.43527	0.23555	0.20568
RS_240	CNAG_00064	CNAG_00064	334.48	-0.22705	0.18533	0.43803
RS_240	CNAG_00065	CNAG_00065	965.76	-0.12638	0.10357	0.43983
RS_240	CNAG_00066	CNAG_00066	350.53	0.58822	0.12376	5.1535e-5
RS_240	CNAG_00067	SSS1	755.58	0.15318	0.13337	0.4735
RS_240	CNAG_00068	CNAG_00068	132.51	0.52859	0.22372	0.090148
RS_240	CNAG_00069	CNAG_00069	10.608	-0.06625	0.42215	0.94399
RS_240	CNAG_00070	CNAG_00070	1280.9	-0.3661	0.15511	0.09055
RS_240	CNAG_00072	CNAG_00072	503.04	0.11638	0.25321	0.80933
RS_240	CNAG_00073	CNAG_00073	242.5	0.19315	0.16167	0.45257
RS_240	CNAG_00074	CNAG_00074	737.95	0.16049	0.16396	0.55192
RS_240	CNAG_00075	CNAG_00075	222.2	-0.53823	0.22556	0.086505
RS_240	CNAG_00076	NDX6	130.41	-0.58582	0.15701	0.0028875
RS_240	CNAG_00077	CNAG_00077	1224.3	-0.2371	0.1762	0.38567
RS_240	CNAG_00078	CNAG_00078	126.77	0.22889	0.15913	0.34622000000000003
RS_240	CNAG_00079	CNAG_00079	546.98	-0.10605	0.29148	0.85699
RS_240	CNAG_00080	CNAG_00080	144.12	0.23212	0.21859	0.51405
RS_240	CNAG_00081	CNAG_00081	961.26	-0.023809	0.13494	0.937
RS_240	CNAG_00082	CNAG_00082	235.1	0.072	0.18206	0.84164
