Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
R_30	CNAG_00002	CNAG_00002	851.59	0.027853	0.12999	0.93494
R_30	CNAG_00003	CNAG_00003	135.32	0.3935	0.17497	0.15912
R_30	CNAG_00004	CNAG_00004	230.61	0.22984	0.12852	0.29301
R_30	CNAG_00005	CNAG_00005	514.95	0.0072739	0.14564	0.99036
R_30	CNAG_00006	CNAG_00006	1072.9	-0.12555	0.10689	0.54001
R_30	CNAG_00007	CNAG_00007	475.22	-0.12941	0.11008	0.53958
R_30	CNAG_00008	CNAG_00008	366.17	-0.03489	0.13506	0.92117
R_30	CNAG_00009	CNAG_00009	200.61	0.37925	0.16241	0.13902
R_30	CNAG_00010	CNAG_00010	722.42	-0.16617	0.12766	0.48327
R_30	CNAG_00011	CNAG_00011	94.712	0.010997	0.2326	0.99095
R_30	CNAG_00012	CNAG_00012	215.01	-0.66903	0.25974	0.093312
R_30	CNAG_00013	CNAG_00013	175.11	-0.35975	0.18916	0.25489
R_30	CNAG_00014	CNAG_00014	101.27	0.50956	0.20154	0.10268
R_30	CNAG_00015	CNAG_00015	452.51	-0.62129	0.18851	0.021543
R_30	CNAG_00016	CNAG_00016	483.48	-0.057021	0.19212	0.90661
R_30	CNAG_00017	CNAG_00017	76.877	0.13774	0.23163	0.78884
R_30	CNAG_00018	FZC6	309.32	-0.49052	0.20096	0.11795
R_30	CNAG_00019	CNAG_00019	1425.1	0.12461	0.14365	0.67338
R_30	CNAG_00020	CNAG_00020	782.89	-0.037717	0.19175	0.94185
R_30	CNAG_00021	CNAG_00021	183.4	0.15113	0.27587	0.81052
R_30	CNAG_00022	CNAG_00022	364.7	-0.092232	0.10675	0.67435
R_30	CNAG_00023	CNAG_00023	75.879	-0.20188	0.25098	0.70126
R_30	CNAG_00024	CNAG_00024	3174.8	0.051159	0.26991	0.9445
R_30	CNAG_00025	VCX1	278.69	0.32276	0.22851	0.43783
R_30	CNAG_00026	CNAG_00026	256.03	-0.57742	0.17055	0.016898
R_30	CNAG_00027	CNAG_00027	175.94	-0.60447	0.1581	0.0056256
R_30	CNAG_00028	CNAG_00028	274.68	-0.48192	0.16393	0.047088
R_30	CNAG_00029	CNAG_00029	98.491	0.10068	0.19256	0.82
R_30	CNAG_00030	CNAG_00030	104.13	-0.40997	0.21009	0.2386
R_30	CNAG_00031	MLR1	127.64	0.71694	0.19223	0.0073105
R_30	CNAG_00032	CNAG_00032	50.283	-0.65838	0.28083	0.13657
R_30	CNAG_00034	RPL9B	8561.1	0.028267	0.10552	0.91817
R_30	CNAG_00035	CNAG_00035	42.528	0.054245	0.23912	0.93044
R_30	CNAG_00036	SEC14-2	430.39	-0.098371	0.22193	0.85218
R_30	CNAG_00038	CNAG_00038	289.96	-0.17416	0.18458	0.64046
R_30	CNAG_00039	ZFC6	186.22	-0.20555	0.30105	0.75021
R_30	CNAG_00040	ERG11	400.6	-0.061548	0.1203	0.82687
R_30	CNAG_00043	CNAG_00043	249.94	0.18564	0.30113	0.77966
R_30	CNAG_00044	CNAG_00044	191.23	0.05632	0.23659	0.92704
R_30	CNAG_00045	CNAG_00045	360.19	0.028612	0.15935	0.95013
R_30	CNAG_00046	CNAG_00046	497.54	-0.36312	0.13786	0.08518
R_30	CNAG_00047	PKP1	520.21	0.10437	0.19794	0.81828
R_30	CNAG_00048	CNAG_00048	59.287	0.42737000000000003	0.21878	0.23795
R_30	CNAG_00049	CNAG_00049	42.497	0.21634	0.2633	0.6931
R_30	CNAG_00050	CNAG_00050	109.49	-0.37425	0.19732	0.25657
R_30	CNAG_00051	SNT1	688.78	0.041695	0.13814	0.90516
R_30	CNAG_00052	CNAG_00052	2725.4	-0.069865	0.28965	0.92685
R_30	CNAG_00053	CNAG_00053	17.229	0.79526	0.48866	0.35167
R_30	CNAG_00054	CNAG_00054	344.16	0.56562	0.19392	0.048473
R_30	CNAG_00055	CNAG_00055	440.16	-0.36603	0.15701	0.13913
R_30	CNAG_00056	CNAG_00056	102.65	0.1148	0.38123	0.90516
R_30	CNAG_00057	FPP1	946.28	-0.10161	0.16791	0.78461
R_30	CNAG_00058	CNAG_00058	511.48	-0.021691	0.19548	0.97323
R_30	CNAG_00059	CNAG_00059	96.078	-0.14908	0.18315	0.69753
R_30	CNAG_00060	CNAG_00060	468.94	0.27364	0.13501	0.21702
R_30	CNAG_00061	CIT1	2089.9	0.36709	0.21242	0.31376
R_30	CNAG_00062	CNAG_00062	296.31	0.0702	0.20186	0.88698
R_30	CNAG_00063	CSE4	28.172	-0.31782	0.51268	0.77786
R_30	CNAG_00064	CNAG_00064	334.48	-0.14589	0.21972	0.76001
R_30	CNAG_00065	CNAG_00065	965.76	0.13151	0.11538	0.55579
R_30	CNAG_00066	CNAG_00066	350.53	-0.0095545	0.13608	0.98355
R_30	CNAG_00067	SSS1	755.58	0.0991	0.13736	0.73513
R_30	CNAG_00068	CNAG_00068	132.51	0.51022	0.21943	0.14
R_30	CNAG_00069	CNAG_00069	10.608	-0.48526	0.42235	0.55201
R_30	CNAG_00070	CNAG_00070	1280.9	-0.46577	0.15148	0.035015
R_30	CNAG_00072	CNAG_00072	503.04	-0.39721	0.26629	0.40341
R_30	CNAG_00073	CNAG_00073	242.5	0.028227	0.24306	0.97217
R_30	CNAG_00074	CNAG_00074	737.95	0.52811	0.18942	0.061179
R_30	CNAG_00075	CNAG_00075	222.2	0.50448	0.31413	0.35779
R_30	CNAG_00076	NDX6	130.41	0.76518	0.30415	0.10516
R_30	CNAG_00077	CNAG_00077	1224.3	0.21445	0.17821	0.52704
R_30	CNAG_00078	CNAG_00078	126.77	0.081508	0.17302	0.8406
R_30	CNAG_00079	CNAG_00079	546.98	0.06048	0.29093	0.93736
R_30	CNAG_00080	CNAG_00080	144.12	0.14077	0.14477	0.62758
R_30	CNAG_00081	CNAG_00081	961.26	-0.050241	0.13334	0.87509
R_30	CNAG_00082	CNAG_00082	235.1	-0.19455	0.18863	0.60465
R_30	CNAG_00083	CCC1	252.23	-0.0882	0.20503	0.85489
R_30	CNAG_00084	CNAG_00084	572.72	0.070501	0.15263	0.84351
R_30	CNAG_00085	CNAG_00085	204.53	0.17683	0.14638	0.52565
R_30	CNAG_00086	CNAG_00086	307.37	-0.013004	0.16246	0.98114
R_30	CNAG_00087	CNAG_00087	166.45	0.76418	0.2473	0.034316
R_30	CNAG_00088	CNAG_00088	354.1	0.061398	0.15611	0.86802
R_30	CNAG_00089	CNAG_00089	323.51	0.34269	0.11156	0.035258
R_30	CNAG_00090	CNAG_00090	466.43	0.16846	0.12254	0.45224
R_30	CNAG_00091	CNAG_00091	1370.4	-0.038537	0.23445	0.957
R_30	CNAG_00092	CNAG_00092	557.86	-0.099398	0.13462	0.72943
R_30	CNAG_00093	CNAG_00093	821.48	-0.059505	0.23577	0.92246
R_30	CNAG_00094	CNAG_00094	14.863	-0.76736	0.44501	0.31449
R_30	CNAG_00095	CNAG_00095	458.26	-0.077665	0.1283	0.78461
R_30	CNAG_00096	CNAG_00096	69.954	0.16759	0.30981	0.81223
R_30	CNAG_00097	ITR1	105.7	-0.14329	0.21384	0.75824
R_30	CNAG_00098	CNAG_00098	107.07	-0.041961	0.38693	0.97456
R_30	CNAG_00099	CNAG_00099	192.53	0.64423	0.14096	4.5196e-4
R_30	CNAG_00100	CNAG_00100	2743.1	-0.048674	0.17413	0.9139
R_30	CNAG_00101	KEI1	173.19	0.18878	0.14579	0.48668
R_30	CNAG_00104	CNAG_00104	5418.9	0.084914	0.16619	0.82687
R_30	CNAG_00106	TCO5	514.93	0.21208	0.23899	0.66357
R_30	CNAG_00107	CNAG_00107	185.39	0.41351	0.35637	0.54759
R_30	CNAG_00108	CNAG_00108	460.61	-0.32227	0.2485	0.48547
R_30	CNAG_00109	CNAG_00109	637.4	-0.15512	0.16447	0.64046
R_30	CNAG_00110	HPI3	10.501	1.4015	0.48862	0.052713
R_30	CNAG_00111	CNAG_00111	540.43	0.11428	0.1003	0.55581
