gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	303.754	0.087	0.164	0.6394
CNAG_00003	NA	157.584	-1.532	0.199	5.005e-14
CNAG_00004	NA	208.047	-0.84	0.164	6.015e-7
CNAG_00005	NA	389.398	0.023	0.194	0.9227
CNAG_00006	NA	877.401	-0.268	0.165	0.1291
CNAG_00007	NA	240.412	1.772	0.173	7.109e-24
CNAG_00008	NA	302.712	-0.399	0.166	0.02267
CNAG_00009	NA	311.786	-2.462	0.174	1.446e-44
CNAG_00010	NA	410.862	-0.046	0.193	0.8403
CNAG_00011	NA	117.776	-2.066	0.199	1.421e-24
CNAG_00012	NA	135.827	-0.534	0.184	0.005387
CNAG_00013	NA	138.818	0.135	0.202	0.5505
CNAG_00014	NA	84.851	0.852	0.193	1.837e-5
CNAG_00015	NA	328.697	-0.831	0.171	2.35e-6
CNAG_00016	NA	668.971	-1.82	0.183	1.5419999999999998e-22
CNAG_00017	NA	97.077	-1.016	0.249	7.828e-5
CNAG_00018	FZC6	299.232	-1.309	0.21	1.233e-9
CNAG_00019	NA	755.853	1.286	0.197	1.884e-10
CNAG_00020	NA	761.959	-0.868	0.147	8.174e-9
CNAG_00021	NA	63.517	2.978	0.337	3.448e-18
CNAG_00022	NA	212.96	0.617	0.158	1.683e-4
CNAG_00023	NA	33.656	0.024	0.296	0.9459
CNAG_00024	NA	2102.036	0.045	0.285	0.8953
CNAG_00025	VCX1	263.127	-0.443	0.233	0.07323
CNAG_00026	NA	87.253	2.321	0.222	8.488e-25
CNAG_00027	NA	170.921	-0.639	0.207	0.003074
CNAG_00028	NA	284.062	-0.616	0.188	0.001701
CNAG_00029	NA	70.427	1.413	0.264	1.788e-7
CNAG_00030	NA	66.193	-0.091	0.235	0.7373
CNAG_00031	MLR1	101.292	-0.424	0.204	0.04935
CNAG_00032	NA	40.356	-0.607	0.262	0.02779
CNAG_00034	RPL9B	4123.819	3.082	0.142	3.851e-102
CNAG_00035	NA	42.126	0.306	0.293	0.3413
CNAG_00036	SEC14-2	528.011	-1.63	0.158	3.074e-24
CNAG_00038	NA	179.357	0.899	0.186	2.809e-6
CNAG_00039	ZFC6	123.454	1.466	0.252	1.481e-8
CNAG_00040	ERG11	184.88	1.342	0.173	2.917e-14
CNAG_00043	NA	387.794	-2.102	0.196	5.426e-26
CNAG_00044	NA	197.171	-1.447	0.167	1.593e-17
CNAG_00045	NA	427.708	-1.877	0.145	2.068e-37
CNAG_00046	NA	338.521	0.227	0.175	0.2308
CNAG_00047	PKP1	618.564	-2.575	0.222	2.1219999999999997e-30
CNAG_00048	NA	42.076	1.056	0.299	6.79e-4
CNAG_00049	NA	27.709	1.029	0.383	0.01049
