gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	CNAG_00002	955.09	0.058116	0.1364	0.80903
CNAG_00003	CNAG_00003	111.51	0.12489	0.16231	0.62139
CNAG_00004	CNAG_00004	227.54	0.16347	0.12997	0.39214
CNAG_00005	CNAG_00005	548.97	0.27008	0.1302	0.12391
CNAG_00006	CNAG_00006	1102.1	0.080771	0.085111	0.53912
CNAG_00007	CNAG_00007	561.89	0.236	0.11373	0.12377
CNAG_00008	CNAG_00008	375.98	0.2657	0.12792	0.12336
CNAG_00009	CNAG_00009	131.47	-0.17662	0.12615	0.33133
CNAG_00010	CNAG_00010	799.25	0.33285	0.11553	0.025782
CNAG_00011	CNAG_00011	72.432	-0.33475	0.1903	0.20535
CNAG_00012	CNAG_00012	228.16	-0.67818	0.17115	0.0016763
CNAG_00013	CNAG_00013	186.41	0.026299	0.16176	0.93391
CNAG_00014	CNAG_00014	109.39	0.25832	0.18458	0.33133
CNAG_00015	CNAG_00015	468.98	0.060266	0.18	0.85676
CNAG_00016	CNAG_00016	367.07	0.15759	0.18469	0.5837
CNAG_00017	CNAG_00017	69.798	0.0099696	0.18152	0.97783
CNAG_00018	FZC6	290.09	-0.33641	0.19244	0.20862
CNAG_00019	CNAG_00019	1634.9	0.16865	0.13081	0.3785
CNAG_00020	CNAG_00020	723.67	-0.04926	0.17624	0.88356
CNAG_00021	CNAG_00021	222.01	0.1011	0.28525	0.84588
CNAG_00022	CNAG_00022	409	-0.083515	0.10511	0.60934
CNAG_00023	CNAG_00023	84.649	0.22873	0.25041	0.55535
CNAG_00024	CNAG_00024	3505.6	0.72693	0.24249	0.020407
CNAG_00025	VCX1	275.5	0.3184	0.19625	0.24979
CNAG_00026	CNAG_00026	309.05	-0.064282	0.17463	0.83839
CNAG_00027	CNAG_00027	172.45	-0.073841	0.13088	0.73467
CNAG_00028	CNAG_00028	250.42	-0.1534	0.13534	0.45208
CNAG_00029	CNAG_00029	110.13	-0.0546	0.15576	0.84752
CNAG_00030	CNAG_00030	109.26	0.05025	0.21691	0.90374
CNAG_00031	MLR1	130.79	-0.29931	0.1763	0.22415
CNAG_00032	CNAG_00032	48.816	-0.37672	0.21074	0.19668
CNAG_00034	RPL9B	10366	-0.034372	0.10825	0.865
CNAG_00035	CNAG_00035	44.367	0.31167	0.20707	0.29116
CNAG_00036	SEC14-2	373.16	-0.28605	0.20912	0.3433
CNAG_00038	CNAG_00038	325.11	-0.062756	0.17749	0.84632
CNAG_00039	ZFC6	216.25	1.185	0.302	0.0018707
CNAG_00040	ERG11	471.26	-0.22595	0.12004	0.16949
