Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
Y_0	CNAG_00002	CNAG_00002	851.59	-0.7725	0.13874	4.0633e-6
Y_0	CNAG_00003	CNAG_00003	135.32	-0.11123	0.14806	0.71294
Y_0	CNAG_00004	CNAG_00004	230.61	0.22258	0.12725	0.28649
Y_0	CNAG_00005	CNAG_00005	514.95	0.058937	0.14502	0.85345
Y_0	CNAG_00006	CNAG_00006	1072.9	-0.036113	0.10148	0.87507
Y_0	CNAG_00007	CNAG_00007	475.22	0.18913	0.14303	0.45498
Y_0	CNAG_00008	CNAG_00008	366.17	0.12502	0.137	0.64061
Y_0	CNAG_00009	CNAG_00009	200.61	0.09615	0.11009	0.65977
Y_0	CNAG_00010	CNAG_00010	722.42	0.19169	0.13463	0.40914
Y_0	CNAG_00011	CNAG_00011	94.712	-0.07331	0.15443	0.82824
Y_0	CNAG_00012	CNAG_00012	215.01	-0.075486	0.17592	0.84472
Y_0	CNAG_00013	CNAG_00013	175.11	0.045034	0.17913	0.91729
Y_0	CNAG_00014	CNAG_00014	101.27	-0.30406	0.20517	0.38873
Y_0	CNAG_00015	CNAG_00015	452.51	0.23585	0.18992	0.48901
Y_0	CNAG_00016	CNAG_00016	483.48	0.098233	0.18287	0.80307
Y_0	CNAG_00017	CNAG_00017	76.877	0.52054	0.1945	0.063998
Y_0	CNAG_00018	FZC6	309.32	0.16847	0.19096	0.6558
Y_0	CNAG_00019	CNAG_00019	1425.1	-0.47872	0.14868	0.019956
Y_0	CNAG_00020	CNAG_00020	782.89	-0.20872	0.18953	0.55405
Y_0	CNAG_00021	CNAG_00021	183.4	-0.063176	0.3794	0.94921
Y_0	CNAG_00022	CNAG_00022	364.7	-0.16893	0.11743	0.40377
Y_0	CNAG_00023	CNAG_00023	75.879	-0.39822	0.25364	0.35336
Y_0	CNAG_00024	CNAG_00024	3174.8	0.55946	0.27074	0.18517
Y_0	CNAG_00025	VCX1	278.69	0.055938	0.22871	0.91994
Y_0	CNAG_00026	CNAG_00026	256.03	0.29525	0.2544	0.52336
Y_0	CNAG_00027	CNAG_00027	175.94	0.16393	0.14019	0.51805
Y_0	CNAG_00028	CNAG_00028	274.68	-0.33854	0.13828	0.098588
Y_0	CNAG_00029	CNAG_00029	98.491	-0.65736000000000006	0.20332	0.01936
Y_0	CNAG_00030	CNAG_00030	104.13	-0.52431	0.22187	0.11408
Y_0	CNAG_00031	MLR1	127.64	-0.009862	0.18201	0.98596
Y_0	CNAG_00032	CNAG_00032	50.283	-0.46854	0.19881	0.11547
Y_0	CNAG_00034	RPL9B	8561.1	0.13135	0.11079	0.50974
Y_0	CNAG_00035	CNAG_00035	42.528	0.13542	0.23011	0.78385
Y_0	CNAG_00036	SEC14-2	430.39	0.42398	0.20483	0.18437
Y_0	CNAG_00038	CNAG_00038	289.96	-0.3691	0.18846	0.21568
Y_0	CNAG_00039	ZFC6	186.22	0.55792	0.3273	0.30269
Y_0	CNAG_00040	ERG11	400.6	0.24189	0.15092	0.34082
Y_0	CNAG_00043	CNAG_00043	249.94	0.27563	0.25887	0.56881
Y_0	CNAG_00044	CNAG_00044	191.23	-0.06249	0.1647	0.86512
Y_0	CNAG_00045	CNAG_00045	360.19	-0.089	0.14681	0.7785
Y_0	CNAG_00046	CNAG_00046	497.54	-0.069287	0.11848	0.78527
Y_0	CNAG_00047	PKP1	520.21	0.41522	0.19665	0.17166
Y_0	CNAG_00048	CNAG_00048	59.287	0.20842	0.26298	0.69361
