"","Gene","Product"
"1","CNAG_00776","immunoreactive mannoprotein MP88"
"2","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 2"
"3","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 3"
"4","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 1"
"5","CNAG_00979","solute carrier family 31 (copper transporter), member 1"
"6","CNAG_03223","hypothetical protein"
"7","CNAG_04752","hypothetical protein"
"8","CNAG_05312","hypothetical protein"
"9","CNAG_06517","cytoplasmic protein"
"10","CNAG_07770","ferric-chelate reductase"
