"","Gene","Product"
"1","CNAG_04807","hypothetical protein"
"2","CNAG_00399","transformer-2-beta isoform 3"
"3","CNAG_00765","hypothetical protein"
"4","CNAG_01119","POT family proton-dependent oligopeptide transporter"
"5","CNAG_01275","hypothetical protein"
"6","CNAG_01562","hypothetical protein, variant"
"7","CNAG_01562","hypothetical protein"
"8","CNAG_01965","hypothetical protein"
"9","CNAG_03346","hypothetical protein"
"10","CNAG_04025","transaldolase"
"11","CNAG_04837","hypothetical protein"
"12","CNAG_05662","sugar transporter"
"13","CNAG_05833","allantoate transporter"
"14","CNAG_06347","hypothetical protein"
"15","CNAG_06541","hypothetical protein, variant"
"16","CNAG_06541","hypothetical protein"
"17","CNAG_06698","phosphatase"
"18","CNAG_07491","glutaredoxin"
"19","CNAG_07984","hypothetical protein"
