"","Gene","Product"
"1","CNAG_00598","nicotinamide mononucleotide permease"
"2","CNAG_00674","hypothetical protein"
"3","CNAG_00883","transcription factor"
"4","CNAG_01551","hypothetical protein"
"5","CNAG_01983","cAMP-independent regulatory protein"
"6","CNAG_02225","glucan 1,3-beta-glucosidase"
"7","CNAG_02226","hypothetical protein"
"8","CNAG_02323","hypothetical protein"
"9","CNAG_03143","hypothetical protein"
"10","CNAG_03438","hexose transporter"
"11","CNAG_03705","hypothetical protein"
"12","CNAG_03727","hypothetical protein"
"13","CNAG_04756","hypothetical protein"
"14","CNAG_05229","stomatin family protein"
"15","CNAG_05312","hypothetical protein"
"16","CNAG_05313","hypothetical protein, variant 4"
"17","CNAG_05313","hypothetical protein, variant 3"
"18","CNAG_05313","hypothetical protein, variant 1"
"19","CNAG_05313","hypothetical protein, variant 2"
"20","CNAG_05313","hypothetical protein"
"21","CNAG_05835","hypothetical protein, variant"
"22","CNAG_05835","hypothetical protein"
"23","CNAG_06200","hypothetical protein"
"24","CNAG_06200","hypothetical protein, variant"
"25","CNAG_06241","acidic laccase"
"26","CNAG_06242","high-affinity iron permease CaFTR1"
"27","CNAG_06336","glucan 1,3-beta-glucosidase"
"28","CNAG_06346","hypothetical protein"
"29","CNAG_06762","hypothetical protein"
"30","CNAG_07626","NAD-binding Rossmann fold oxidoreductase"
"31","CNAG_07869","hypothetical protein"
