"","Gene","Product"
"1","CNAG_00442","cyclin"
"2","CNAG_00765","hypothetical protein"
"3","CNAG_01119","POT family proton-dependent oligopeptide transporter"
"4","CNAG_01275","hypothetical protein"
"5","CNAG_01552","blocked early in transport 1"
"6","CNAG_01562","hypothetical protein, variant"
"7","CNAG_01562","hypothetical protein"
"8","CNAG_01621","hypothetical protein"
"9","CNAG_02225","glucan 1,3-beta-glucosidase"
"10","CNAG_03346","hypothetical protein"
"11","CNAG_04025","transaldolase"
"12","CNAG_04103","hypothetical protein"
"13","CNAG_04104","mucin-desulfating sulfatase"
"14","CNAG_06190","N-acetylglucosamine-6-phosphate deacetylase"
"15","CNAG_06191","hypothetical protein"
"16","CNAG_06347","hypothetical protein"
