"","Gene","Product"
"1","CNAG_00849","hypothetical protein"
"2","CNAG_00393","1,4-alpha-glucan-branching enzyme"
"3","CNAG_00399","transformer-2-beta isoform 3"
"4","CNAG_00400","secondary thiamine-phosphate synthase enzyme"
"5","CNAG_00400","secondary thiamine-phosphate synthase enzyme, variant"
"6","CNAG_01552","blocked early in transport 1"
"7","CNAG_01562","hypothetical protein, variant"
"8","CNAG_01562","hypothetical protein"
"9","CNAG_01683","monosaccharide transporter"
"10","CNAG_01965","hypothetical protein"
"11","CNAG_02553","short-chain dehydrogenase"
"12","CNAG_04077","hypothetical protein"
"13","CNAG_04141","vacuolar protein"
"14","CNAG_04631","ribitol kinase"
"15","CNAG_04837","hypothetical protein"
"16","CNAG_05077","glycosyl hydrolase"
"17","CNAG_05458","endo-1,3(4)-beta-glucanase"
"18","CNAG_05662","sugar transporter"
"19","CNAG_05836","alpha 1,6-mannosyltransferase"
"20","CNAG_06347","hypothetical protein"
"21","CNAG_06963","sugar transporter"
"22","CNAG_07491","glutaredoxin"
"23","CNAG_07690","hypothetical protein"
"24","CNAG_07984","hypothetical protein"
