MGat201,2HrUp,2HrDown
CNAG_00182,CNAG_07912,CNAG_01980
CNAG_00183,CNAG_07984,CNAG_01551
CNAG_00696,CNAG_01936,CNAG_06389
CNAG_00697,CNAG_00588,CNAG_06242
CNAG_00849,CNAG_01965,CNAG_04874
CNAG_00850,CNAG_02489,CNAG_05916
CNAG_00941,CNAG_03077,CNAG_00456
CNAG_00987,CNAG_01560,CNAG_06785
CNAG_00988,CNAG_06347,CNAG_06917
CNAG_01502,CNAG_03087,CNAG_06802
CNAG_01504,CNAG_00269,CNAG_05835
CNAG_01814,CNAG_01539,CNAG_00302
CNAG_01815,CNAG_00765,CNAG_00674
CNAG_02330,CNAG_00651,CNAG_03516
CNAG_02662,CNAG_01056,CNAG_03113
CNAG_02663,CNAG_04025,CNAG_03894
CNAG_02712,CNAG_07913,CNAG_04877
CNAG_02713,CNAG_07862,CNAG_05312
CNAG_03012,CNAG_02984,CNAG_06241
CNAG_03013,CNAG_01562,CNAG_00735
CNAG_03222,CNAG_01538,CNAG_04126
CNAG_03223,CNAG_05658,CNAG_05870
CNAG_03595,CNAG_04142,CNAG_07869
CNAG_04104,CNAG_02925,CNAG_06200
CNAG_04105,CNAG_06890,CNAG_05313
CNAG_05222,CNAG_04622,CNAG_05229
CNAG_05223,CNAG_01541,CNAG_02872
CNAG_05262,CNAG_04657,CNAG_05632
CNAG_05263,CNAG_05662,CNAG_02323
CNAG_05424,CNAG_01524,CNAG_00883
CNAG_05425,CNAG_05914,CNAG_04018
CNAG_06242,CNAG_06541,CNAG_02544
CNAG_06243,CNAG_00499,CNAG_05263
CNAG_06443,CNAG_04291,CNAG_05915
CNAG_06761,CNAG_05002,CNAG_00936
CNAG_06762,CNAG_06698,CNAG_06762
CNAG_06766,CNAG_03346,CNAG_00654
CNAG_06846,CNAG_06253,CNAG_00597
CNAG_06868,CNAG_07589,CNAG_01983
CNAG_06869,CNAG_04758,CNAG_06186
CNAG_07401,CNAG_05310,CNAG_02381
CNAG_07447,CNAG_04807,CNAG_03848
CNAG_07466,CNAG_06431,CNAG_02060
CNAG_07940,CNAG_04837,CNAG_06163
CNAG_07962,CNAG_00399,CNAG_00637
CNAG_07988,CNAG_05075,CNAG_07401
CNAG_00005,CNAG_02562,CNAG_02226
CNAG_00008,CNAG_01675,CNAG_00374
CNAG_00009,CNAG_03010,CNAG_00126
CNAG_00010,CNAG_05906,CNAG_03143
CNAG_00011,CNAG_05833,CNAG_02543
CNAG_00023,CNAG_07491,CNAG_03727
CNAG_00024,CNAG_05913,CNAG_04625
CNAG_00038,CNAG_06540,CNAG_03644
CNAG_00039,CNAG_02775,CNAG_00581
CNAG_00066,CNAG_04471,CNAG_05813
CNAG_00067,CNAG_03666,CNAG_04416
CNAG_00068,CNAG_07826,CNAG_06432
CNAG_00070,CNAG_00933,CNAG_07736
CNAG_00073,CNAG_05653,CNAG_04413
CNAG_00074,CNAG_02147,CNAG_06657
CNAG_00079,CNAG_02473,CNAG_06346
CNAG_00106,CNAG_01533,CNAG_01742
CNAG_00107,CNAG_04582,CNAG_00107
CNAG_00122,CNAG_01119,CNAG_07442
CNAG_00123,CNAG_04345,CNAG_05962
CNAG_00124,CNAG_01275,CNAG_05345
CNAG_00126,CNAG_01794,CNAG_01052
CNAG_00130,CNAG_01569,CNAG_00407
CNAG_00162,,CNAG_01777
CNAG_00164,,CNAG_05994
CNAG_00165,,CNAG_00264
CNAG_00178,,CNAG_03461
CNAG_00179,,CNAG_04756
CNAG_00184,,CNAG_05731
CNAG_00188,,CNAG_04735
CNAG_00189,,CNAG_03438
CNAG_00192,,CNAG_00074
CNAG_00193,,CNAG_04476
CNAG_00194,,CNAG_01690
CNAG_00235,,CNAG_02297
CNAG_00236,,CNAG_03058
CNAG_00264,,CNAG_06554
CNAG_00265,,CNAG_03705
CNAG_00268,,CNAG_02225
CNAG_00269,,CNAG_03654
CNAG_00275,,CNAG_04857
CNAG_00276,,CNAG_02063
CNAG_00302,,CNAG_06336
CNAG_00303,,CNAG_07339
CNAG_00306,,CNAG_00598
CNAG_00314,,CNAG_03268
CNAG_00315,,CNAG_03326
CNAG_00331,,CNAG_05161
CNAG_00332,,CNAG_05742
CNAG_00333,,CNAG_01722
CNAG_00336,,CNAG_06658
CNAG_00337,,CNAG_04154
CNAG_00347,,CNAG_07626
CNAG_00348,,CNAG_00251
CNAG_00359,,CNAG_02118
CNAG_00362,,CNAG_02561
CNAG_00363,,CNAG_04096
CNAG_00374,,CNAG_05396
CNAG_00393,,CNAG_07807
CNAG_00394,,
CNAG_00398,,
CNAG_00399,,
CNAG_00400,,
CNAG_00407,,
CNAG_00413,,
CNAG_00414,,
CNAG_00441,,
CNAG_00442,,
CNAG_00445,,
CNAG_00455,,
CNAG_00456,,
CNAG_00457,,
CNAG_00531,,
CNAG_00539,,
CNAG_00540,,
CNAG_00546,,
CNAG_00547,,
CNAG_00549,,
CNAG_00559,,
CNAG_00580,,
CNAG_00581,,
CNAG_00594,,
CNAG_00597,,
CNAG_00598,,
CNAG_00652,,
CNAG_00653,,
CNAG_00654,,
CNAG_00668,,
CNAG_00674,,
CNAG_00679,,
CNAG_00688,,
CNAG_00689,,
CNAG_00699,,
