"","x"
"1","CNAG_00598"
"2","CNAG_00674"
"3","CNAG_00883"
"4","CNAG_01551"
"5","CNAG_01983"
"6","CNAG_02225"
"7","CNAG_02323"
"8","CNAG_02658"
"9","CNAG_02684"
"10","CNAG_02797"
"11","CNAG_03438"
"12","CNAG_03727"
"13","CNAG_03841"
"14","CNAG_04213"
"15","CNAG_04623"
"16","CNAG_04756"
"17","CNAG_04969"
"18","CNAG_05159"
"19","CNAG_05229"
"20","CNAG_05312"
"21","CNAG_05313"
"22","CNAG_05835"
"23","CNAG_05867"
"24","CNAG_06200"
"25","CNAG_06241"
"26","CNAG_06242"
"27","CNAG_06346"
"28","CNAG_06493"
"29","CNAG_06762"
"30","CNAG_06835"
"31","CNAG_07869"
