"","x"
"1","CNAG_00849"
"2","CNAG_00393"
"3","CNAG_00399"
"4","CNAG_00400"
"5","CNAG_00701"
"6","CNAG_00765"
"7","CNAG_01119"
"8","CNAG_01275"
"9","CNAG_01552"
"10","CNAG_01562"
"11","CNAG_01683"
"12","CNAG_01965"
"13","CNAG_01995"
"14","CNAG_02011"
"15","CNAG_02553"
"16","CNAG_03136"
"17","CNAG_03295"
"18","CNAG_03572"
"19","CNAG_04077"
"20","CNAG_04101"
"21","CNAG_04141"
"22","CNAG_04837"
"23","CNAG_05077"
"24","CNAG_05449"
"25","CNAG_05662"
"26","CNAG_05833"
"27","CNAG_05836"
"28","CNAG_06347"
"29","CNAG_06541"
"30","CNAG_06698"
"31","CNAG_06963"
"32","CNAG_07491"
"33","CNAG_07690"
"34","CNAG_07874"
"35","CNAG_07984"
