MLiv3,2HrUp,2HrDown
CNAG_00182,CNAG_07912,CNAG_01980
CNAG_00183,CNAG_07984,CNAG_01551
CNAG_00849,CNAG_01936,CNAG_06389
CNAG_00850,CNAG_00588,CNAG_06242
CNAG_01162,CNAG_01965,CNAG_04874
CNAG_01163,CNAG_02489,CNAG_05916
CNAG_02712,CNAG_03077,CNAG_00456
CNAG_02713,CNAG_01560,CNAG_06785
CNAG_04806,CNAG_06347,CNAG_06917
CNAG_04807,CNAG_03087,CNAG_06802
CNAG_04983,CNAG_00269,CNAG_05835
CNAG_04984,CNAG_01539,CNAG_00302
CNAG_05965,CNAG_00765,CNAG_00674
CNAG_05966,CNAG_00651,CNAG_03516
CNAG_00068,CNAG_01056,CNAG_03113
CNAG_00122,CNAG_04025,CNAG_03894
CNAG_00156,CNAG_07913,CNAG_04877
CNAG_00157,CNAG_07862,CNAG_05312
CNAG_00164,CNAG_02984,CNAG_06241
CNAG_00184,CNAG_01562,CNAG_00735
CNAG_00192,CNAG_01538,CNAG_04126
CNAG_00193,CNAG_05658,CNAG_05870
CNAG_00194,CNAG_04142,CNAG_07869
CNAG_00336,CNAG_02925,CNAG_06200
CNAG_00337,CNAG_06890,CNAG_05313
CNAG_00359,CNAG_04622,CNAG_05229
CNAG_00362,CNAG_01541,CNAG_02872
CNAG_00363,CNAG_04657,CNAG_05632
CNAG_00393,CNAG_05662,CNAG_02323
CNAG_00394,CNAG_01524,CNAG_00883
CNAG_00399,CNAG_05914,CNAG_04018
CNAG_00400,CNAG_06541,CNAG_02544
CNAG_00441,CNAG_00499,CNAG_05263
CNAG_00442,CNAG_04291,CNAG_05915
CNAG_00445,CNAG_05002,CNAG_00936
CNAG_00531,CNAG_06698,CNAG_06762
CNAG_00546,CNAG_03346,CNAG_00654
CNAG_00547,CNAG_06253,CNAG_00597
CNAG_00549,CNAG_07589,CNAG_01983
CNAG_00559,CNAG_04758,CNAG_06186
CNAG_00594,CNAG_05310,CNAG_02381
CNAG_00598,CNAG_04807,CNAG_03848
CNAG_00674,CNAG_06431,CNAG_02060
CNAG_00701,CNAG_04837,CNAG_06163
CNAG_00732,CNAG_00399,CNAG_00637
CNAG_00733,CNAG_05075,CNAG_07401
CNAG_00737,CNAG_02562,CNAG_02226
CNAG_00765,CNAG_01675,CNAG_00374
CNAG_00776,CNAG_03010,CNAG_00126
CNAG_00788,CNAG_05906,CNAG_03143
CNAG_00791,CNAG_05833,CNAG_02543
CNAG_00796,CNAG_07491,CNAG_03727
CNAG_00798,CNAG_05913,CNAG_04625
CNAG_00799,CNAG_06540,CNAG_03644
CNAG_00883,CNAG_02775,CNAG_00581
CNAG_00884,CNAG_04471,CNAG_05813
CNAG_00897,CNAG_03666,CNAG_04416
CNAG_00904,CNAG_07826,CNAG_06432
CNAG_01019,CNAG_00933,CNAG_07736
CNAG_01061,CNAG_05653,CNAG_04413
CNAG_01075,CNAG_02147,CNAG_06657
CNAG_01076,CNAG_02473,CNAG_06346
CNAG_01082,CNAG_01533,CNAG_01742
CNAG_01105,CNAG_04582,CNAG_00107
CNAG_01119,CNAG_01119,CNAG_07442
CNAG_01230,CNAG_04345,CNAG_05962
CNAG_01232,CNAG_01275,CNAG_05345
CNAG_01233,CNAG_01794,CNAG_01052
CNAG_01237,CNAG_01569,CNAG_00407
CNAG_01242,,CNAG_01777
CNAG_01274,,CNAG_05994
CNAG_01275,,CNAG_00264
CNAG_01276,,CNAG_03461
CNAG_01277,,CNAG_04756
CNAG_01353,,CNAG_05731
CNAG_01354,,CNAG_04735
CNAG_01375,,CNAG_03438
CNAG_01446,,CNAG_00074
CNAG_01448,,CNAG_04476
CNAG_01551,,CNAG_01690
CNAG_01552,,CNAG_02297
CNAG_01562,,CNAG_03058
CNAG_01620,,CNAG_06554
CNAG_01621,,CNAG_03705
CNAG_01683,,CNAG_02225
CNAG_01701,,CNAG_03654
CNAG_01744,,CNAG_04857
CNAG_01745,,CNAG_02063
CNAG_01802,,CNAG_06336
CNAG_01803,,CNAG_07339
CNAG_01845,,CNAG_00598
CNAG_01846,,CNAG_03268
CNAG_01847,,CNAG_03326
CNAG_01901,,CNAG_05161
CNAG_01902,,CNAG_05742
CNAG_01925,,CNAG_01722
CNAG_01939,,CNAG_06658
CNAG_01965,,CNAG_04154
CNAG_01983,,CNAG_07626
CNAG_01994,,CNAG_00251
CNAG_01995,,CNAG_02118
CNAG_02010,,CNAG_02561
CNAG_02011,,CNAG_04096
CNAG_02028,,CNAG_05396
CNAG_02090,,CNAG_07807
CNAG_02093,,
CNAG_02094,,
CNAG_02141,,
CNAG_02143,,
CNAG_02152,,
CNAG_02182,,
CNAG_02183,,
CNAG_02188,,
CNAG_02189,,
CNAG_02219,,
CNAG_02220,,
CNAG_02225,,
CNAG_02226,,
CNAG_02322,,
CNAG_02323,,
CNAG_02334,,
CNAG_02335,,
CNAG_02371,,
CNAG_02414,,
CNAG_02415,,
CNAG_02435,,
CNAG_02475,,
CNAG_02553,,
CNAG_02554,,
CNAG_02657,,
CNAG_02658,,
CNAG_02682,,
CNAG_02683,,
CNAG_02684,,
CNAG_02685,,
CNAG_02697,,
CNAG_02777,,
CNAG_02796,,
CNAG_02797,,
