"","x"
"1","CNAG_00074"
"2","CNAG_00085"
"3","CNAG_00090"
"4","CNAG_00107"
"5","CNAG_00123"
"6","CNAG_00126"
"7","CNAG_00128"
"8","CNAG_00130"
"9","CNAG_00137"
"10","CNAG_00156"
"11","CNAG_00165"
"12","CNAG_00192"
"13","CNAG_00251"
"14","CNAG_00261"
"15","CNAG_00262"
"16","CNAG_00264"
"17","CNAG_00275"
"18","CNAG_00291"
"19","CNAG_00299"
"20","CNAG_00302"
"21","CNAG_00331"
"22","CNAG_00332"
"23","CNAG_00359"
"24","CNAG_00374"
"25","CNAG_00398"
"26","CNAG_00407"
"27","CNAG_00408"
"28","CNAG_00456"
"29","CNAG_00465"
"30","CNAG_00466"
"31","CNAG_00475"
"32","CNAG_00521"
"33","CNAG_00539"
"34","CNAG_00565"
"35","CNAG_00581"
"36","CNAG_00597"
"37","CNAG_00598"
"38","CNAG_00600"
"39","CNAG_00604"
"40","CNAG_00637"
"41","CNAG_00647"
"42","CNAG_00648"
"43","CNAG_00654"
"44","CNAG_00663"
"45","CNAG_00674"
"46","CNAG_00675"
"47","CNAG_00683"
"48","CNAG_00688"
"49","CNAG_00691"
"50","CNAG_00692"
"51","CNAG_00697"
"52","CNAG_00702"
"53","CNAG_00735"
"54","CNAG_00746"
"55","CNAG_00769"
"56","CNAG_00780"
"57","CNAG_00794"
"58","CNAG_00799"
"59","CNAG_00858"
"60","CNAG_00873"
"61","CNAG_00879"
"62","CNAG_00883"
"63","CNAG_00898"
"64","CNAG_00919"
"65","CNAG_00921"
"66","CNAG_00936"
"67","CNAG_00960"
"68","CNAG_00989"
"69","CNAG_01004"
"70","CNAG_01043"
"71","CNAG_01052"
"72","CNAG_01080"
"73","CNAG_01081"
"74","CNAG_01084"
"75","CNAG_01090"
"76","CNAG_01093"
"77","CNAG_01097"
"78","CNAG_01137"
"79","CNAG_01165"
"80","CNAG_01169"
"81","CNAG_01178"
"82","CNAG_01183"
"83","CNAG_01210"
"84","CNAG_01212"
"85","CNAG_01215"
"86","CNAG_01234"
"87","CNAG_01242"
"88","CNAG_01255"
"89","CNAG_01261"
"90","CNAG_01263"
"91","CNAG_01266"
"92","CNAG_01270"
"93","CNAG_01278"
"94","CNAG_01283"
"95","CNAG_01284"
"96","CNAG_01285"
"97","CNAG_01318"
"98","CNAG_01335"
"99","CNAG_01347"
"100","CNAG_01357"
"101","CNAG_01369"
"102","CNAG_01385"
"103","CNAG_01386"
"104","CNAG_01412"
"105","CNAG_01419"
"106","CNAG_01422"
"107","CNAG_01441"
"108","CNAG_01446"
"109","CNAG_01475"
"110","CNAG_01506"
"111","CNAG_01508"
"112","CNAG_01526"
"113","CNAG_01551"
"114","CNAG_01561"
"115","CNAG_01573"
"116","CNAG_01574"
"117","CNAG_01612"
"118","CNAG_01616"
"119","CNAG_01635"
"120","CNAG_01681"
"121","CNAG_01686"
"122","CNAG_01689"
"123","CNAG_01690"
"124","CNAG_01704"
"125","CNAG_01709"
"126","CNAG_01722"
"127","CNAG_01734"
"128","CNAG_01742"
"129","CNAG_01752"
"130","CNAG_01772"
"131","CNAG_01777"
"132","CNAG_01778"
"133","CNAG_01793"
"134","CNAG_01796"
"135","CNAG_01803"
"136","CNAG_01813"
"137","CNAG_01847"
"138","CNAG_01865"
"139","CNAG_01874"
"140","CNAG_01919"
"141","CNAG_01920"
"142","CNAG_01938"
"143","CNAG_01960"
"144","CNAG_01975"
"145","CNAG_01980"
"146","CNAG_01981"
"147","CNAG_01982"
"148","CNAG_01983"
"149","CNAG_01984"
"150","CNAG_02000"
"151","CNAG_02009"
"152","CNAG_02026"
"153","CNAG_02040"
"154","CNAG_02044"
"155","CNAG_02048"
"156","CNAG_02053"
"157","CNAG_02060"
"158","CNAG_02063"
"159","CNAG_02071"
"160","CNAG_02078"
"161","CNAG_02107"
"162","CNAG_02118"
"163","CNAG_02121"
"164","CNAG_02123"
"165","CNAG_02125"
"166","CNAG_02137"
"167","CNAG_02168"
"168","CNAG_02179"
"169","CNAG_02182"
"170","CNAG_02189"
"171","CNAG_02210"
"172","CNAG_02213"
"173","CNAG_02214"
"174","CNAG_02221"
"175","CNAG_02225"
"176","CNAG_02226"
"177","CNAG_02236"
"178","CNAG_02254"
"179","CNAG_02264"
"180","CNAG_02292"
"181","CNAG_02297"
"182","CNAG_02307"
