"","x"
"1","CNAG_00012"
"2","CNAG_00013"
"3","CNAG_00015"
"4","CNAG_00018"
"5","CNAG_00026"
"6","CNAG_00027"
"7","CNAG_00028"
"8","CNAG_00030"
"9","CNAG_00032"
"10","CNAG_00038"
"11","CNAG_00055"
"12","CNAG_00070"
"13","CNAG_00100"
"14","CNAG_00120"
"15","CNAG_00123"
"16","CNAG_00136"
"17","CNAG_00143"
"18","CNAG_00158"
"19","CNAG_00161"
"20","CNAG_00167"
"21","CNAG_00243"
"22","CNAG_00255"
"23","CNAG_00305"
"24","CNAG_00315"
"25","CNAG_00321"
"26","CNAG_00337"
"27","CNAG_00348"
"28","CNAG_00358"
"29","CNAG_00361"
"30","CNAG_00365"
"31","CNAG_00385"
"32","CNAG_00399"
"33","CNAG_00400"
"34","CNAG_00414"
"35","CNAG_00427"
"36","CNAG_00433"
"37","CNAG_00436"
"38","CNAG_00437"
"39","CNAG_00440"
"40","CNAG_00442"
"41","CNAG_00443"
"42","CNAG_00450"
"43","CNAG_00451"
"44","CNAG_00454"
"45","CNAG_00460"
"46","CNAG_00462"
"47","CNAG_00469"
"48","CNAG_00487"
"49","CNAG_00510"
"50","CNAG_00514"
"51","CNAG_00515"
"52","CNAG_00528"
"53","CNAG_00532"
"54","CNAG_00533"
"55","CNAG_00538"
"56","CNAG_00540"
"57","CNAG_00555"
"58","CNAG_00559"
"59","CNAG_00582"
"60","CNAG_00583"
"61","CNAG_00584"
"62","CNAG_00588"
"63","CNAG_00594"
"64","CNAG_00609"
"65","CNAG_00622"
"66","CNAG_00649"
"67","CNAG_00665"
"68","CNAG_00679"
"69","CNAG_00733"
"70","CNAG_00738"
"71","CNAG_00744"
"72","CNAG_00747"
"73","CNAG_00752"
"74","CNAG_00758"
"75","CNAG_00760"
"76","CNAG_00765"
"77","CNAG_00768"
"78","CNAG_00773"
"79","CNAG_00777"
"80","CNAG_00804"
"81","CNAG_00811"
"82","CNAG_00865"
"83","CNAG_00872"
"84","CNAG_00883"
"85","CNAG_00896"
"86","CNAG_00905"
"87","CNAG_00909"
"88","CNAG_00929"
"89","CNAG_00931"
"90","CNAG_00938"
"91","CNAG_00991"
"92","CNAG_00992"
"93","CNAG_00998"
"94","CNAG_01003"
"95","CNAG_01010"
"96","CNAG_01014"
"97","CNAG_01019"
"98","CNAG_01021"
"99","CNAG_01044"
"100","CNAG_01056"
"101","CNAG_01065"
"102","CNAG_01069"
"103","CNAG_01071"
"104","CNAG_01076"
"105","CNAG_01107"
"106","CNAG_01108"
"107","CNAG_01119"
"108","CNAG_01155"
"109","CNAG_01164"
"110","CNAG_01216"
"111","CNAG_01223"
"112","CNAG_01232"
"113","CNAG_01235"
"114","CNAG_01237"
"115","CNAG_01257"
"116","CNAG_01263"
"117","CNAG_01267"
"118","CNAG_01275"
"119","CNAG_01305"
"120","CNAG_01313"
"121","CNAG_01317"
"122","CNAG_01323"
"123","CNAG_01351"
"124","CNAG_01362"
"125","CNAG_01365"
"126","CNAG_01370"
"127","CNAG_01382"
"128","CNAG_01384"
"129","CNAG_01414"
"130","CNAG_01426"
"131","CNAG_01445"
"132","CNAG_01446"
"133","CNAG_01464"
"134","CNAG_01471"
"135","CNAG_01481"
"136","CNAG_01485"
"137","CNAG_01518"
"138","CNAG_01520"
"139","CNAG_01523"
"140","CNAG_01524"
"141","CNAG_01525"
"142","CNAG_01530"
"143","CNAG_01533"
"144","CNAG_01541"
"145","CNAG_01544"
"146","CNAG_01545"
"147","CNAG_01547"
"148","CNAG_01552"
"149","CNAG_01553"
"150","CNAG_01554"
"151","CNAG_01560"
"152","CNAG_01562"
"153","CNAG_01565"
"154","CNAG_01568"
"155","CNAG_01571"
"156","CNAG_01574"
"157","CNAG_01576"
"158","CNAG_01580"
"159","CNAG_01599"
"160","CNAG_01601"
"161","CNAG_01603"
"162","CNAG_01607"
"163","CNAG_01609"
"164","CNAG_01611"
"165","CNAG_01619"
"166","CNAG_01621"
"167","CNAG_01648"
"168","CNAG_01697"
"169","CNAG_01731"
"170","CNAG_01736"
"171","CNAG_01744"
"172","CNAG_01751"
"173","CNAG_01835"
"174","CNAG_01839"
"175","CNAG_01860"
"176","CNAG_01862"
"177","CNAG_01870"
"178","CNAG_01871"
"179","CNAG_01880"
"180","CNAG_01889"
"181","CNAG_01902"
"182","CNAG_01918"
"183","CNAG_01925"
"184","CNAG_01927"
"185","CNAG_01936"
"186","CNAG_01953"
"187","CNAG_01972"
"188","CNAG_01995"
"189","CNAG_01997"
"190","CNAG_02032"
"191","CNAG_02039"
"192","CNAG_02043"
"193","CNAG_02062"
"194","CNAG_02070"
"195","CNAG_02082"
"196","CNAG_02088"
"197","CNAG_02090"
"198","CNAG_02109"
"199","CNAG_02126"
"200","CNAG_02134"
"201","CNAG_02143"
"202","CNAG_02145"
"203","CNAG_02176"
"204","CNAG_02184"
"205","CNAG_02189"
"206","CNAG_02225"
"207","CNAG_02306"
"208","CNAG_02313"
"209","CNAG_02315"
"210","CNAG_02319"
"211","CNAG_02332"
"212","CNAG_02347"
"213","CNAG_02385"
"214","CNAG_02386"
"215","CNAG_02387"
"216","CNAG_02388"
"217","CNAG_02413"
"218","CNAG_02416"
"219","CNAG_02418"
"220","CNAG_02421"
"221","CNAG_02473"
"222","CNAG_02479"
"223","CNAG_02494"
"224","CNAG_02501"
"225","CNAG_02503"
"226","CNAG_02506"
"227","CNAG_02508"
"228","CNAG_02533"
"229","CNAG_02539"
"230","CNAG_02540"
"231","CNAG_02541"
"232","CNAG_02547"
"233","CNAG_02587"
"234","CNAG_02600"
"235","CNAG_02670"
"236","CNAG_02683"
"237","CNAG_02686"
"238","CNAG_02700"
"239","CNAG_02704"
"240","CNAG_02716"
"241","CNAG_02722"
"242","CNAG_02729"
"243","CNAG_02745"
"244","CNAG_02762"
"245","CNAG_02772"
"246","CNAG_02776"
"247","CNAG_02777"
"248","CNAG_02780"
"249","CNAG_02786"
"250","CNAG_02787"
"251","CNAG_02793"
"252","CNAG_02794"
"253","CNAG_02795"
"254","CNAG_02796"
"255","CNAG_02801"
"256","CNAG_02812"
"257","CNAG_02825"
"258","CNAG_02826"
"259","CNAG_02833"
"260","CNAG_02858"
"261","CNAG_02891"
"262","CNAG_02893"
"263","CNAG_02897"
"264","CNAG_02903"
"265","CNAG_02937"
"266","CNAG_02942"
"267","CNAG_02964"
"268","CNAG_02986"
"269","CNAG_02993"
"270","CNAG_02995"
"271","CNAG_03004"
"272","CNAG_03014"
"273","CNAG_03020"
"274","CNAG_03025"
"275","CNAG_03032"
"276","CNAG_03033"
"277","CNAG_03079"
"278","CNAG_03085"
"279","CNAG_03086"
"280","CNAG_03087"
"281","CNAG_03092"
"282","CNAG_03097"
"283","CNAG_03108"
"284","CNAG_03130"
"285","CNAG_03137"
"286","CNAG_03139"
"287","CNAG_03150"
"288","CNAG_03158"
"289","CNAG_03170"
"290","CNAG_03175"
"291","CNAG_03185"
"292","CNAG_03192"
"293","CNAG_03199"
"294","CNAG_03203"
"295","CNAG_03210"
"296","CNAG_03227"
"297","CNAG_03230"
"298","CNAG_03248"
"299","CNAG_03250"
"300","CNAG_03294"
"301","CNAG_03296"
"302","CNAG_03304"
"303","CNAG_03328"
"304","CNAG_03331"
"305","CNAG_03344"
"306","CNAG_03346"
"307","CNAG_03352"
"308","CNAG_03358"
"309","CNAG_03360"
"310","CNAG_03373"
"311","CNAG_03376"
"312","CNAG_03385"
"313","CNAG_03401"
"314","CNAG_03403"
"315","CNAG_03415"
"316","CNAG_03434"
"317","CNAG_03436"
"318","CNAG_03447"
"319","CNAG_03448"
"320","CNAG_03475"
"321","CNAG_03476"
"322","CNAG_03483"
"323","CNAG_03492"
"324","CNAG_03507"
"325","CNAG_03522"
"326","CNAG_03525"
"327","CNAG_03531"
"328","CNAG_03551"
"329","CNAG_03552"
"330","CNAG_03575"
"331","CNAG_03582"
"332","CNAG_03588"
"333","CNAG_03609"
"334","CNAG_03612"
"335","CNAG_03665"
"336","CNAG_03676"
"337","CNAG_03677"
"338","CNAG_03681"
"339","CNAG_03683"
"340","CNAG_03689"
"341","CNAG_03693"
"342","CNAG_03701"
"343","CNAG_03726"
"344","CNAG_03743"
"345","CNAG_03746"
"346","CNAG_03754"
"347","CNAG_03769"
"348","CNAG_03777"
"349","CNAG_03782"
"350","CNAG_03812"
"351","CNAG_03815"
"352","CNAG_03816"
"353","CNAG_03836"
"354","CNAG_03842"
"355","CNAG_03856"
"356","CNAG_03859"
"357","CNAG_03876"
"358","CNAG_03914"
"359","CNAG_03916"
"360","CNAG_03917"
"361","CNAG_03941"
"362","CNAG_03945"
"363","CNAG_03950"
"364","CNAG_03976"
"365","CNAG_03992"
"366","CNAG_04005"
"367","CNAG_04008"
"368","CNAG_04025"
"369","CNAG_04027"
"370","CNAG_04048"
"371","CNAG_04056"
"372","CNAG_04066"
"373","CNAG_04078"
"374","CNAG_04080"
"375","CNAG_04101"
"376","CNAG_04103"
"377","CNAG_04104"
"378","CNAG_04108"
"379","CNAG_04110"
"380","CNAG_04113"
"381","CNAG_04117"
"382","CNAG_04141"
"383","CNAG_04142"
"384","CNAG_04156"
"385","CNAG_04158"
"386","CNAG_04178"
"387","CNAG_04194"
"388","CNAG_04221"
"389","CNAG_04239"
"390","CNAG_04260"
"391","CNAG_04264"
"392","CNAG_04302"
"393","CNAG_04310"
"394","CNAG_04311"
"395","CNAG_04316"
"396","CNAG_04325"
"397","CNAG_04329"
"398","CNAG_04347"
"399","CNAG_04398"
"400","CNAG_04399"
"401","CNAG_04409"
"402","CNAG_04461"
"403","CNAG_04475"
"404","CNAG_04488"
"405","CNAG_04494"
"406","CNAG_04495"
"407","CNAG_04498"
"408","CNAG_04501"
"409","CNAG_04503"
"410","CNAG_04511"
"411","CNAG_04518"
"412","CNAG_04520"
"413","CNAG_04521"
"414","CNAG_04529"
"415","CNAG_04557"
"416","CNAG_04567"
"417","CNAG_04574"
"418","CNAG_04582"
"419","CNAG_04594"
"420","CNAG_04604"
"421","CNAG_04612"
"422","CNAG_04620"
"423","CNAG_04637"
"424","CNAG_04639"
"425","CNAG_04653"
"426","CNAG_04654"
"427","CNAG_04657"
"428","CNAG_04658"
"429","CNAG_04659"
"430","CNAG_04666"
"431","CNAG_04667"
"432","CNAG_04676"
"433","CNAG_04688"
"434","CNAG_04693"
"435","CNAG_04718"
"436","CNAG_04720"
"437","CNAG_04747"
"438","CNAG_04757"
"439","CNAG_04761"
"440","CNAG_04776"
"441","CNAG_04782"
"442","CNAG_04798"
"443","CNAG_04800"
"444","CNAG_04816"
"445","CNAG_04818"
"446","CNAG_04823"
"447","CNAG_04835"
"448","CNAG_04838"
"449","CNAG_04841"
"450","CNAG_04871"
"451","CNAG_04872"
"452","CNAG_04907"
"453","CNAG_04951"
"454","CNAG_04974"
"455","CNAG_04978"
"456","CNAG_04979"
"457","CNAG_04990"
"458","CNAG_05004"
"459","CNAG_05007"
"460","CNAG_05008"
"461","CNAG_05018"
"462","CNAG_05023"
"463","CNAG_05033"
"464","CNAG_05035"
"465","CNAG_05045"
"466","CNAG_05057"
"467","CNAG_05069"
"468","CNAG_05075"
"469","CNAG_05076"
"470","CNAG_05090"
"471","CNAG_05100"
"472","CNAG_05115"
"473","CNAG_05117"
"474","CNAG_05122"
"475","CNAG_05135"
"476","CNAG_05157"
"477","CNAG_05179"
"478","CNAG_05180"
"479","CNAG_05183"
"480","CNAG_05186"
"481","CNAG_05200"
"482","CNAG_05236"
"483","CNAG_05241"
"484","CNAG_05244"
"485","CNAG_05268"
"486","CNAG_05280"
"487","CNAG_05287"
"488","CNAG_05290"
"489","CNAG_05294"
"490","CNAG_05307"
"491","CNAG_05309"
"492","CNAG_05315"
"493","CNAG_05329"
"494","CNAG_05349"
"495","CNAG_05353"
"496","CNAG_05364"
"497","CNAG_05369"
"498","CNAG_05386"
"499","CNAG_05398"
"500","CNAG_05445"
"501","CNAG_05459"
"502","CNAG_05462"
"503","CNAG_05478"
"504","CNAG_05482"
"505","CNAG_05483"
"506","CNAG_05496"
"507","CNAG_05516"
"508","CNAG_05523"
"509","CNAG_05550"
"510","CNAG_05569"
"511","CNAG_05581"
"512","CNAG_05592"
"513","CNAG_05623"
"514","CNAG_05624"
"515","CNAG_05628"
"516","CNAG_05633"
"517","CNAG_05639"
"518","CNAG_05640"
"519","CNAG_05712"
"520","CNAG_05717"
"521","CNAG_05719"
"522","CNAG_05720"
"523","CNAG_05737"
"524","CNAG_05738"
"525","CNAG_05739"
"526","CNAG_05753"
"527","CNAG_05770"
"528","CNAG_05781"
"529","CNAG_05784"
"530","CNAG_05788"
"531","CNAG_05791"
"532","CNAG_05806"
"533","CNAG_05807"
"534","CNAG_05820"
"535","CNAG_05821"
"536","CNAG_05830"
"537","CNAG_05877"
"538","CNAG_05888"
"539","CNAG_05895"
"540","CNAG_05899"
"541","CNAG_05909"
"542","CNAG_05917"
"543","CNAG_05926"
"544","CNAG_05940"
"545","CNAG_05997"
"546","CNAG_06001"
"547","CNAG_06026"
"548","CNAG_06068"
"549","CNAG_06081"
"550","CNAG_06093"
"551","CNAG_06098"
"552","CNAG_06099"
"553","CNAG_06109"
"554","CNAG_06115"
"555","CNAG_06123"
"556","CNAG_06128"
"557","CNAG_06135"
"558","CNAG_06156"
"559","CNAG_06186"
"560","CNAG_06190"
"561","CNAG_06191"
"562","CNAG_06197"
"563","CNAG_06207"
"564","CNAG_06208"
"565","CNAG_06215"
"566","CNAG_06244"
"567","CNAG_06282"
"568","CNAG_06291"
"569","CNAG_06295"
"570","CNAG_06298"
"571","CNAG_06300"
"572","CNAG_06323"
"573","CNAG_06334"
"574","CNAG_06344"
"575","CNAG_06347"
"576","CNAG_06364"
"577","CNAG_06370"
"578","CNAG_06373"
"579","CNAG_06415"
"580","CNAG_06425"
"581","CNAG_06450"
"582","CNAG_06469"
"583","CNAG_06470"
"584","CNAG_06475"
"585","CNAG_06484"
"586","CNAG_06485"
"587","CNAG_06502"
"588","CNAG_06505"
"589","CNAG_06539"
"590","CNAG_06541"
"591","CNAG_06545"
"592","CNAG_06552"
"593","CNAG_06558"
"594","CNAG_06567"
"595","CNAG_06568"
"596","CNAG_06569"
"597","CNAG_06578"
"598","CNAG_06584"
"599","CNAG_06589"
"600","CNAG_06617"
"601","CNAG_06620"
"602","CNAG_06639"
"603","CNAG_06640"
"604","CNAG_06659"
"605","CNAG_06661"
"606","CNAG_06671"
"607","CNAG_06679"
"608","CNAG_06680"
"609","CNAG_06694"
"610","CNAG_06699"
"611","CNAG_06709"
"612","CNAG_06713"
"613","CNAG_06726"
"614","CNAG_06751"
"615","CNAG_06755"
"616","CNAG_06764"
"617","CNAG_06765"
"618","CNAG_06767"
"619","CNAG_06769"
"620","CNAG_06828"
"621","CNAG_06835"
"622","CNAG_06846"
"623","CNAG_06849"
"624","CNAG_06862"
"625","CNAG_06866"
"626","CNAG_06873"
"627","CNAG_06880"
"628","CNAG_06924"
"629","CNAG_06931"
"630","CNAG_06942"
"631","CNAG_06993"
"632","CNAG_06998"
"633","CNAG_07310"
"634","CNAG_07322"
"635","CNAG_07324"
"636","CNAG_07337"
"637","CNAG_07340"
"638","CNAG_07352"
"639","CNAG_07356"
"640","CNAG_07405"
"641","CNAG_07417"
"642","CNAG_07420"
"643","CNAG_07421"
"644","CNAG_07429"
"645","CNAG_07435"
"646","CNAG_07449"
"647","CNAG_07478"
"648","CNAG_07488"
"649","CNAG_07489"
"650","CNAG_07491"
"651","CNAG_07510"
"652","CNAG_07547"
"653","CNAG_07549"
"654","CNAG_07582"
"655","CNAG_07594"
"656","CNAG_07601"
"657","CNAG_07612"
"658","CNAG_07631"
"659","CNAG_07648"
"660","CNAG_07659"
"661","CNAG_07694"
"662","CNAG_07699"
"663","CNAG_07724"
"664","CNAG_07740"
"665","CNAG_07755"
"666","CNAG_07786"
"667","CNAG_07797"
"668","CNAG_07801"
"669","CNAG_07810"
"670","CNAG_07830"
"671","CNAG_07866"
"672","CNAG_07873"
"673","CNAG_07912"
"674","CNAG_07953"
"675","CNAG_07968"
"676","CNAG_07975"
"677","CNAG_07984"
"678","CNAG_08009"
"679","CNAG_08013"
"680","CNAG_08015"
"681","CNAG_08019"
"682","CNAG_08022"
"683","CNAG_08026"
