"","x"
"1","CNAG_00009"
"2","CNAG_00014"
"3","CNAG_00031"
"4","CNAG_00054"
"5","CNAG_00074"
"6","CNAG_00075"
"7","CNAG_00076"
"8","CNAG_00087"
"9","CNAG_00089"
"10","CNAG_00099"
"11","CNAG_00121"
"12","CNAG_00122"
"13","CNAG_00126"
"14","CNAG_00130"
"15","CNAG_00145"
"16","CNAG_00165"
"17","CNAG_00172"
"18","CNAG_00192"
"19","CNAG_00232"
"20","CNAG_00236"
"21","CNAG_00247"
"22","CNAG_00257"
"23","CNAG_00261"
"24","CNAG_00264"
"25","CNAG_00283"
"26","CNAG_00299"
"27","CNAG_00302"
"28","CNAG_00303"
"29","CNAG_00309"
"30","CNAG_00311"
"31","CNAG_00319"
"32","CNAG_00335"
"33","CNAG_00374"
"34","CNAG_00407"
"35","CNAG_00409"
"36","CNAG_00425"
"37","CNAG_00426"
"38","CNAG_00429"
"39","CNAG_00449"
"40","CNAG_00465"
"41","CNAG_00490"
"42","CNAG_00499"
"43","CNAG_00503"
"44","CNAG_00513"
"45","CNAG_00539"
"46","CNAG_00544"
"47","CNAG_00545"
"48","CNAG_00547"
"49","CNAG_00567"
"50","CNAG_00581"
"51","CNAG_00587"
"52","CNAG_00589"
"53","CNAG_00591"
"54","CNAG_00597"
"55","CNAG_00601"
"56","CNAG_00603"
"57","CNAG_00623"
"58","CNAG_00635"
"59","CNAG_00643"
"60","CNAG_00650"
"61","CNAG_00651"
"62","CNAG_00706"
"63","CNAG_00711"
"64","CNAG_00720"
"65","CNAG_00735"
"66","CNAG_00754"
"67","CNAG_00757"
"68","CNAG_00764"
"69","CNAG_00799"
"70","CNAG_00821"
"71","CNAG_00825"
"72","CNAG_00845"
"73","CNAG_00846"
"74","CNAG_00848"
"75","CNAG_00870"
"76","CNAG_00874"
"77","CNAG_00876"
"78","CNAG_00888"
"79","CNAG_00890"
"80","CNAG_00914"
"81","CNAG_00936"
"82","CNAG_00972"
"83","CNAG_00979"
"84","CNAG_01040"
"85","CNAG_01043"
"86","CNAG_01080"
"87","CNAG_01082"
"88","CNAG_01083"
"89","CNAG_01090"
"90","CNAG_01093"
"91","CNAG_01098"
"92","CNAG_01131"
"93","CNAG_01132"
"94","CNAG_01137"
"95","CNAG_01143"
"96","CNAG_01144"
"97","CNAG_01148"
"98","CNAG_01165"
"99","CNAG_01171"
"100","CNAG_01179"
"101","CNAG_01212"
"102","CNAG_01233"
"103","CNAG_01244"
"104","CNAG_01252"
"105","CNAG_01258"
"106","CNAG_01261"
"107","CNAG_01276"
"108","CNAG_01307"
"109","CNAG_01308"
"110","CNAG_01316"
"111","CNAG_01322"
"112","CNAG_01332"
"113","CNAG_01334"
"114","CNAG_01358"
"115","CNAG_01398"
"116","CNAG_01402"
"117","CNAG_01412"
"118","CNAG_01419"
"119","CNAG_01437"
"120","CNAG_01441"
"121","CNAG_01490"
"122","CNAG_01551"
"123","CNAG_01555"
"124","CNAG_01561"
"125","CNAG_01563"
"126","CNAG_01578"
"127","CNAG_01594"
"128","CNAG_01612"
"129","CNAG_01616"
"130","CNAG_01628"
"131","CNAG_01631"
"132","CNAG_01657"
"133","CNAG_01664"
"134","CNAG_01674"
"135","CNAG_01689"
"136","CNAG_01698"
"137","CNAG_01709"
"138","CNAG_01712"
"139","CNAG_01729"
"140","CNAG_01732"
"141","CNAG_01742"
"142","CNAG_01746"
"143","CNAG_01756"
"144","CNAG_01761"
"145","CNAG_01776"
"146","CNAG_01777"
"147","CNAG_01791"
"148","CNAG_01792"
"149","CNAG_01812"
"150","CNAG_01814"
"151","CNAG_01822"
"152","CNAG_01840"
"153","CNAG_01865"
"154","CNAG_01884"
"155","CNAG_01909"
"156","CNAG_01975"
"157","CNAG_01981"
"158","CNAG_02013"
"159","CNAG_02031"
"160","CNAG_02040"
"161","CNAG_02044"
"162","CNAG_02045"
"163","CNAG_02048"
"164","CNAG_02053"
"165","CNAG_02065"
"166","CNAG_02071"
"167","CNAG_02081"
"168","CNAG_02083"
"169","CNAG_02123"
"170","CNAG_02129"
"171","CNAG_02131"
"172","CNAG_02147"
"173","CNAG_02148"
"174","CNAG_02177"
"175","CNAG_02185"
"176","CNAG_02194"
"177","CNAG_02208"
"178","CNAG_02209"
"179","CNAG_02215"
"180","CNAG_02217"
"181","CNAG_02218"
"182","CNAG_02221"
"183","CNAG_02230"
"184","CNAG_02234"
"185","CNAG_02236"
"186","CNAG_02239"
"187","CNAG_02291"
"188","CNAG_02295"
"189","CNAG_02302"
"190","CNAG_02334"
"191","CNAG_02338"
"192","CNAG_02372"
"193","CNAG_02381"
"194","CNAG_02382"
"195","CNAG_02438"
"196","CNAG_02439"
"197","CNAG_02455"
"198","CNAG_02475"
"199","CNAG_02497"
"200","CNAG_02502"
"201","CNAG_02551"
"202","CNAG_02561"
"203","CNAG_02562"
"204","CNAG_02563"
"205","CNAG_02573"
"206","CNAG_02659"
"207","CNAG_02662"
"208","CNAG_02667"
"209","CNAG_02672"
"210","CNAG_02675"
"211","CNAG_02685"
"212","CNAG_02703"
"213","CNAG_02740"
"214","CNAG_02758"
"215","CNAG_02764"
"216","CNAG_02804"
"217","CNAG_02806"
