"","x"
"1","CNAG_00002"
"2","CNAG_00005"
"3","CNAG_00006"
"4","CNAG_00007"
"5","CNAG_00012"
"6","CNAG_00013"
"7","CNAG_00015"
"8","CNAG_00018"
"9","CNAG_00019"
"10","CNAG_00022"
"11","CNAG_00023"
"12","CNAG_00026"
"13","CNAG_00034"
"14","CNAG_00036"
"15","CNAG_00038"
"16","CNAG_00044"
"17","CNAG_00052"
"18","CNAG_00055"
"19","CNAG_00057"
"20","CNAG_00059"
"21","CNAG_00062"
"22","CNAG_00070"
"23","CNAG_00075"
"24","CNAG_00076"
"25","CNAG_00077"
"26","CNAG_00084"
"27","CNAG_00086"
"28","CNAG_00091"
"29","CNAG_00093"
"30","CNAG_00095"
"31","CNAG_00096"
"32","CNAG_00108"
"33","CNAG_00109"
"34","CNAG_00116"
"35","CNAG_00120"
"36","CNAG_00121"
"37","CNAG_00124"
"38","CNAG_00129"
"39","CNAG_00135"
"40","CNAG_00140"
"41","CNAG_00159"
"42","CNAG_00180"
"43","CNAG_00190"
"44","CNAG_00194"
"45","CNAG_00195"
"46","CNAG_00229"
"47","CNAG_00231"
"48","CNAG_00248"
"49","CNAG_00250"
"50","CNAG_00259"
"51","CNAG_00260"
"52","CNAG_00265"
"53","CNAG_00269"
"54","CNAG_00301"
"55","CNAG_00311"
"56","CNAG_00315"
"57","CNAG_00318"
"58","CNAG_00334"
"59","CNAG_00345"
"60","CNAG_00346"
"61","CNAG_00349"
"62","CNAG_00351"
"63","CNAG_00352"
"64","CNAG_00358"
"65","CNAG_00360"
"66","CNAG_00361"
"67","CNAG_00393"
"68","CNAG_00394"
"69","CNAG_00399"
"70","CNAG_00400"
"71","CNAG_00406"
"72","CNAG_00411"
"73","CNAG_00418"
"74","CNAG_00427"
"75","CNAG_00430"
"76","CNAG_00434"
"77","CNAG_00435"
"78","CNAG_00441"
"79","CNAG_00447"
"80","CNAG_00449"
"81","CNAG_00450"
"82","CNAG_00451"
"83","CNAG_00452"
"84","CNAG_00458"
"85","CNAG_00468"
"86","CNAG_00471"
"87","CNAG_00480"
"88","CNAG_00495"
"89","CNAG_00497"
"90","CNAG_00510"
"91","CNAG_00512"
"92","CNAG_00514"
"93","CNAG_00522"
"94","CNAG_00527"
"95","CNAG_00532"
