"","x"
"1",1276
"2",6022
"3",1359
"4",653
"5",3181
"6",2645
"7",6794
"8",6153
"9",6019
"10",6150
"11",6021
"12",1667
"13",6018
"14",6020
"15",6284
"16",6023
"17",3104
"18",6165
"19",1437
"20",814
"21",1222
"22",6281
"23",6016
"24",2073
"25",1765
"26",6787
"27",1368
"28",6774
"29",2391
"30",6009
"31",5436
"32",349
"33",265
"34",6017
"35",3820
"36",2532
"37",1833
"38",1329
"39",891
"40",5583
"41",5697
"42",3775
"43",6024
"44",3629
"45",1379
"46",5547
"47",5313
"48",4693
"49",3302
"50",6025
"51",6280
"52",2171
"53",4012
"54",4410
"55",324
"56",6421
"57",1426
"58",4541
"59",5609
"60",3150
"61",4731
"62",6753
"63",2657
"64",1332
"65",2246
"66",5722
"67",3561
"68",2843
"69",4257
"70",2192
"71",328
"72",1572
"73",5884
"74",6008
"75",2655
"76",5542
"77",4649
"78",1407
"79",390
"80",458
"81",354
"82",134
"83",1046
"84",5292
"85",501
"86",4963
"87",6548
"88",1414
"89",2794
"90",3797
"91",4392
"92",1366
"93",4841
"94",3894
"95",1777
"96",3733
"97",459
"98",2207
"99",3381
"100",974
"101",1408
"102",5951
"103",119
"104",4626
"105",1208
"106",5209
"107",4881
"108",3232
"109",3630
"110",3062
"111",1928
"112",5472
"113",5539
"114",4164
"115",6282
"116",5733
"117",5109
"118",121
"119",1594
"120",1370
"121",1965
"122",338
"123",5428
"124",5389
"125",1277
"126",3391
"127",3529
"128",2024
"129",4313
"130",6725
"131",66
"132",3063
"133",2278
"134",6444
"135",5649
"136",940
"137",1848
"138",599
"139",5450
"140",885
"141",2477
"142",5391
"143",1347
"144",6640
"145",6141
"146",422
"147",6170
"148",3275
"149",3006
"150",6589
"151",2087
"152",1380
"153",6413
"154",787
"155",4020
"156",5885
"157",6130
"158",6464
"159",4304
"160",5072
"161",6716
"162",4593
"163",5018
"164",4217
"165",1859
"166",2473
"167",2953
"168",5563
"169",6249
"170",5852
"171",5886
"172",3205
"173",3108
"174",2996
"175",4104
"176",6027
"177",246
"178",4957
"179",6312
"180",3747
"181",1860
"182",6452
"183",4050
"184",6145
"185",1831
"186",3107
"187",4689
"188",3518
"189",2212
"190",1330
"191",4929
"192",5437
"193",2163
"194",5538
"195",2178
"196",5772
"197",5244
"198",2326
"199",1118
"200",3858
"201",762
"202",2407
"203",3115
"204",6082
"205",1424
"206",36
"207",3016
"208",370
"209",1345
"210",3692
"211",6283
"212",3447
"213",4246
"214",378
"215",1418
"216",4692
"217",844
"218",1280
"219",5848
"220",4403
"221",6561
"222",5564
"223",1466
"224",4339
"225",1328
"226",4475
"227",1470
"228",3416
"229",3970
"230",662
"231",6645
"232",3814
"233",456
"234",6166
"235",992
"236",1863
"237",3852
"238",769
"239",5009
"240",1549
"241",1170
"242",4090
"243",5738
"244",4682
"245",73
"246",1583
"247",3838
"248",270
"249",1672
"250",313
