gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_04459	1268.6296805473069	-0.067123297989677	0.00152551014407924	-44.0005582723876	0	0
CNAG_02118	4286.441107303994	-0.0653999057138962	0.0012201792087294175	-53.59860686529617	0	0
CNAG_01919	8793.502830764834	-0.06276903037981788	0.0013553089381673192	-46.31344825682006	0	0
CNAG_01827	19.780569509379717	-0.06258282171043722	0.0064862535671423496	-9.648531477009362	4.986466658364487e-22	1.7373034711891927e-21
CNAG_07308	773.8467320976885	-0.05966977155889184	0.001867039323491286	-31.959568718302002	3.9781022006497536e-224	8.156314996847343e-222
CNAG_03782	2839.1276771723824	-0.059599714368944304	0.001659377372425324	-35.91691399397242	1.6634062164300616e-282	7.503070973577197e-280
CNAG_02899	2310.7073890046177	-0.058968916738934125	0.0015602906693253174	-37.793545714423054	0	0
CNAG_06267	2259.68585069869	-0.058438336002474195	0.0017356866476966337	-33.668713232325416	1.6598663915317354e-248	4.882893915262487e-246
CNAG_01534	5839.913050537994	-0.05639180900386831	0.0016596452940555297	-33.978229689109405	4.6720897825644087e-253	1.436879975855945e-250
CNAG_02543	363.05323059345045	-0.055670737268818396	0.0020099491362992653	-27.697585109700743	7.465813385254688e-169	7.428484318328415e-167
CNAG_04970	3137.9907038534693	-0.05492166696417651	0.001523567027774061	-36.0480805655248	1.4780108103433482e-284	7.692477802140842e-282
CNAG_02225	462.97461164808453	-0.05413920030504141	0.0023653199011464303	-22.888743412170616	6.014943450261474e-116	2.1998436424037368e-114
CNAG_00834	459.42496800992507	-0.053656673137052247	0.0016346937225752325	-32.82368580490027	2.70483058559112e-236	7.038801439272892e-234
CNAG_07775	374.3582311177415	-0.051832782787626784	0.001796202014314986	-28.856878221124894	4.1538044637477e-183	5.018685893163739e-181
CNAG_00091	3419.737444206968	-0.04969251014893229	0.001415545240892669	-35.10485480322429	5.683794900889932e-270	1.922827814971064e-267
CNAG_06172	78.66294228947791	-0.04896721456935386	0.002486717750267446	-19.691504821601665	2.5500060555238375e-86	5.292435880881682e-85
CNAG_00638	428.48296433456073	-0.04880326157070003	0.0015027378953103706	-32.4762300351921	2.3097796870277427e-231	5.788136800899891e-229
CNAG_06169	2730.3290601062613	-0.048478399526614153	0.0018029033676390557	-26.88907259078325	2.9477074220655587e-159	2.5569472330378933e-157
CNAG_01052	396.80354436030774	-0.04776347192688586	0.0017888560335157352	-26.700567866835954	4.635867812756003e-157	3.825156295256966e-155
CNAG_03759	33.331907062602305	-0.04762758604667109	0.0040316318742009685	-11.813475915657708	3.3252427659235156e-32	1.6494569321289227e-31
CNAG_02407	470.62932083372186	-0.04752549398532884	0.0017564694103676746	-27.057399180883273	3.125710453489393e-161	2.8198075904412313e-159
CNAG_04351	124.427557594413	-0.04694512935881923	0.00194231426549502	-24.169687775451084	4.636585588475083e-129	2.2092350768748177e-127
CNAG_00098	225.2739610591252	-0.04693119028916018	0.0017891514930922507	-26.23097623111133	1.1783457519611736e-151	9.379632185610942e-150
CNAG_01656	6.638945863482826	-0.04656520960702298	0.006601915828332459	-7.053287381700021	1.7473943190088867e-12	4.1688540064929924e-12
CNAG_06459	387.8490788621486	-0.046180690950591165	0.0012963099241621741	-35.624729927481255	5.802836435346005e-278	2.4538744575969418e-275
CNAG_03630	10.986816969405039	-0.04604751197119278	0.005391974206280255	-8.54000969024654	1.3421058048452072e-17	4.010904538684926e-17
CNAG_06372	714.0900505894248	-0.04594448639070077	0.002106159430329622	-21.814344027845166	1.695847280475019e-105	5.077036592784947e-104
CNAG_05178	482.6489440050829	-0.045806806617290606	0.0014770689324817199	-31.01196268499643	3.718566956028334e-211	6.799952439050732e-209
CNAG_01542	489.7800423169689	-0.04539774133999843	0.001826944505539642	-24.848998534079097	2.6511321373268132e-136	1.4947966700961015e-134
CNAG_00869	444.13604208194363	-0.045323414217373556	0.0018611020897411426	-24.352997327340333	5.388582615448553e-131	2.7006777760092525e-129
CNAG_05449	7121.807797019459	-0.04511490334762976	0.001738230982382174	-25.95449270257607	1.6179063712490385e-148	1.1770703771904294e-146
CNAG_00490	1458.0192398955098	-0.04499649919486728	0.0010992490436360271	-40.93385339324988	0	0
CNAG_07316	162.70743212986045	-0.044883058907806736	0.0018354584658607088	-24.453323102988083	4.6390240414567355e-132	2.4144335895766365e-130
CNAG_00052	8027.376850990512	-0.044789807995724726	0.001983492877075532	-22.581279980073816	6.620352073452196e-113	2.332984485884248e-111
CNAG_02659	138.12288131323248	-0.0447668484491105	0.0020666105058792642	-21.66196693656307	4.6878526747857314e-104	1.3612880342317707e-102
CNAG_03666	1676.7507546012987	-0.04425379551897187	0.0011952878467848132	-37.0235467866669	4.787200998206862e-300	2.6991834961556358e-297
CNAG_02526	179.9164377213368	-0.044179374270551734	0.0026255452011523703	-16.826742975577453	1.5541974175059142e-63	1.8578974782411687e-62
CNAG_02978	1083.5270323336574	-0.043813251952497724	0.0013612453749158456	-32.18615303299475	2.757437798774902e-227	5.830257545784684e-225
CNAG_03495	671.8600378911948	-0.043719513229440184	0.0017277929458384038	-25.303676192650205	2.910098310899373e-141	1.840161230985529e-139
CNAG_03688	3333.5931307535916	-0.04367836316874694	0.0012846148516305609	-34.00113513657889	2.143381763244698e-253	6.905771909577917e-251
CNAG_04386	1346.0896684722752	-0.04313121249214072	0.0015299727681477545	-28.190836719503885	7.573922496939711e-175	8.265348324886143e-173
CNAG_05067	126.20223820095694	-0.04310646412283466	0.0018402960085098826	-23.423657891720726	2.453632273093257e-121	1.0375797474843111e-119
CNAG_04552	128.84978411276273	-0.042966901255730654	0.0020629659586313327	-20.827731585176952	2.4268609492668847e-96	6.149865611513011e-95
CNAG_00497	334.03691171755446	-0.04287248838658507	0.0017238129265329351	-24.87073146203487	1.543168398347846e-136	8.848370663747056e-135
CNAG_04076	1240.8595539465796	-0.04267344066410279	0.0017766414347375758	-24.01916325361735	1.7538894783647137e-127	8.184011179734933e-126
CNAG_04096	99.63428390978243	-0.04265619331119019	0.001967278253335843	-21.682846968322664	2.978723047415388e-104	8.76262614730979e-103
CNAG_00637	776.7452709347804	-0.042578060975521075	0.0016371276799908826	-26.00778271353777	4.04361000202057e-149	2.973811442790345e-147
CNAG_00798	158.30926532330585	-0.04246493805208023	0.0016521025340548235	-25.703572978522573	1.0661747792905984e-145	7.514310996541864e-144
CNAG_03837	1194.459784697309	-0.0424626089028742	0.0011046938021684295	-38.438351712957335	0	0
CNAG_00735	130.05387050171416	-0.04234418662740447	0.002119578463523803	-19.977645251691783	8.619465001658231e-89	1.8996514723524296e-87
CNAG_06453	9761.959751141483	-0.042170983951398754	0.0014528433173351242	-29.02651886010036	3.0454815712499434e-185	3.887873266240965e-183
CNAG_02288	623.518127008504	-0.04176005528545185	0.0031966691754679844	-13.063614967081564	5.3143046373263134e-39	3.2539896087013423e-38
CNAG_01690	1184.9563723415486	-0.04163284621209431	0.0014387478360029324	-28.936861047003827	4.106598908829795e-184	5.051863312207708e-182
CNAG_05184	21.870659078104932	-0.041490936339216127	0.003471480299981144	-11.951943480549636	6.342445479447085e-33	3.1976889801742903e-32
CNAG_02298	453.38036251767625	-0.04125319861697093	0.0016192596716786609	-25.476580031295654	3.584136179708708e-143	2.3317562876835688e-141
CNAG_05326	180.2726796933161	-0.04118382423199504	0.0014515975021127739	-28.37137992594554	4.561042734328945e-177	5.14333585674494e-175
CNAG_01139	152.5789284014038	-0.04107359256364964	0.0016520369575720962	-24.862393286899064	1.8993537512073283e-136	1.0799182756864524e-134
CNAG_02768	137.81024315683578	-0.041036429145057514	0.0018609918120986964	-22.050838095187263	9.377109867194265e-108	2.9647441757680556e-106
CNAG_02023	458.9732302561896	-0.04077274905981441	0.0013233963284446373	-30.809174986705493	1.974693155735481e-208	3.425839459411862e-206
CNAG_03058	15684.455337094261	-0.04072618066207886	0.001470726717889045	-27.69119522118543	8.913157728195453e-169	8.740061621589919e-167
CNAG_00172	109.97124730672164	-0.04056149180066464	0.0019387195427374242	-20.92179446615203	3.391111549443395e-97	8.691007857399247e-96
CNAG_02045	125.33941446509354	-0.040545138321745215	0.0020973700175764575	-19.331418863608878	2.9226881323778665e-83	5.7990932268823e-82
CNAG_05732	6075.331440922646	-0.040416319377384394	0.0014498469950801395	-27.876265229732333	5.176450591308214e-171	5.388286877044827e-169
CNAG_03654	174.62231229302753	-0.040367531551190404	0.0014019108356578469	-28.79464979115304	2.5027126666945382e-182	2.9707638426061835e-180
CNAG_02417	135.52512839943935	-0.04027703007179555	0.0018633654178394304	-21.615207455388276	1.2922054909439708e-103	3.720452064564641e-102
CNAG_02049	78.51378347555307	-0.04025175902144366	0.0023667685997616323	-17.00705300277247	7.280923285811653e-65	9.055648336728244e-64
CNAG_05608	1528.2500544301981	-0.040066298916012606	0.0014907049072168512	-26.877418006771347	4.034059134444564e-159	3.454992924512902e-157
CNAG_02568	488.85172233623354	-0.04003470477374981	0.0013629315178035394	-29.373966520539913	1.1812488435420934e-189	1.5984659350811607e-187
CNAG_02169	59.05475010352986	-0.039761998205998454	0.0025032204694178874	-15.88433727343438	8.13532159752779e-57	8.39079053793796e-56
CNAG_07661	98.560098368808	-0.039737545581224255	0.0017610547655522463	-22.564627948275657	9.648176462717271e-113	3.36492587354356e-111
CNAG_04468	291.2542268248362	-0.03973485068213935	0.0016780405016595717	-23.679315632037383	5.890779302823646e-124	2.657134184193653e-122
CNAG_02516	268.79810768161076	-0.0397045091242418	0.0014453248982148799	-27.47099228227565	3.9007710134315077e-166	3.7172699544898e-164
CNAG_04163	1418.2226107510278	-0.03963652095765801	0.00142859682443891	-27.74507144325026	1.9981896264217854e-169	2.017873285428328e-167
CNAG_05595	3354.142740914944	-0.039591137875110406	0.0017025220892106143	-23.254404818598918	1.2838041459939422e-119	5.1397744685177595e-118
CNAG_03517	1793.3213163136008	-0.039536909069646735	0.0016288502943297165	-24.27289309967952	3.790699830930698e-130	1.8585416707302246e-128
CNAG_07482	1008.9654266321425	-0.039534991640285275	0.00128503577328353	-30.765673969733356	7.546676585112478e-208	1.2765203443717758e-205
CNAG_03995	2202.3195555668244	-0.03930970388687559	0.0015088524748633773	-26.05271525331526	1.2533394526436839e-149	9.636471291576325e-148
CNAG_02044	15609.21020870057	-0.03929988768316528	0.0015669210814066598	-25.08096173413207	8.024692408253092e-139	4.891447642724362e-137
CNAG_02226	300.9762393051403	-0.03923585719508853	0.0021227550741776276	-18.483459383692118	2.8059947752253646e-76	4.653274668915396e-75
CNAG_02584	1616.3505504076302	-0.039197395683619914	0.0015472019917962723	-25.334375143941276	1.3360407774403778e-141	8.609192285868188e-140
CNAG_07841	11.552371763193923	-0.03903161490051932	0.004263919997242681	-9.153927589110399	5.49003730997677e-20	1.784130280466034e-19
CNAG_01027	154.90370311363054	-0.03901394971775967	0.001639216064570165	-23.800370531379524	3.310395849241571e-125	1.5032307594609711e-123
CNAG_00139	1709.6398814483268	-0.03886886219155359	0.0016965272056390897	-22.910839308887773	3.622970514256292e-116	1.3395092076206598e-114
CNAG_03054	172.24277465550492	-0.038844539293145394	0.0015970411322227414	-24.32281705799403	1.1246341538205103e-130	5.554215098357353e-129
