gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_06169	1342.7484427526447	-0.21616249604556548	0.0056735928188246425	-38.09975494334934	0	0
CNAG_00091	1713.6268637449452	-0.21151164139684953	0.003951193395989432	-53.53107787929074	0	0
CNAG_06453	4251.859501569446	-0.20885375120089775	0.005091199226487244	-41.02250607564611	0	0
CNAG_06074	969.0905914565529	-0.20809599566643708	0.005531852158050879	-37.61777967322949	0	0
CNAG_01102	1785.1776594096973	-0.20775450563122527	0.003950953279689967	-52.58338707754294	0	0
CNAG_01534	2036.6027533228432	-0.20341556404146097	0.006131848407689458	-33.173612672220315	2.5863970389682496e-241	1.4972365081138423e-239
CNAG_06064	40.66781283897099	-0.20077159636045377	0.015560173160184928	-12.902915301365944	4.3338589569600766e-38	1.5638373316723815e-37
CNAG_00834	184.74031591686975	-0.198106411172859	0.006857336559790766	-28.889702210985497	1.608261769278382e-183	4.735981288401079e-182
CNAG_04903	918.6741071593536	-0.1971722861252736	0.005393308524438626	-36.55868846216186	1.2976294307811898e-292	1.440794120439508e-290
CNAG_01052	219.41885049561498	-0.19667851522633115	0.006636614381846727	-29.63536886583468	5.235612025300603e-193	1.704846165738509e-191
CNAG_00315	334.0178288966435	-0.1948909803985146	0.005734046768190868	-33.98838347110379	3.307686835687344e-253	2.262925549304079e-251
CNAG_01919	4370.362832489987	-0.19473554377008834	0.005246023080283775	-37.12060370110961	1.3071059442156693e-301	1.553162905293461e-299
CNAG_02899	1231.20212361371	-0.19393907330475754	0.005957723917121817	-32.55254456276479	1.9272121011637492e-232	1.0118610512544243e-230
CNAG_01585	833.8645106860641	-0.19151048589035324	0.006960082393100948	-27.515548678013417	1.1440296611192375e-166	2.7574778984913155e-165
CNAG_00984	1379.4811791257289	-0.18861093561301093	0.0038061616257134907	-49.55410572656765	0	0
CNAG_05939	606.8239156217629	-0.18760253660677406	0.005591510453027142	-33.551316443521884	8.613636527803004e-247	5.45235142082334e-245
CNAG_05251	472.63897100570006	-0.18609377161381657	0.007032602225265638	-26.461580742509202	2.6846981629527658e-154	5.577748667999718e-153
CNAG_02877	152.8838695667504	-0.18540164542511067	0.007425122321814344	-24.96950722015949	1.3112332155433608e-137	2.22581016763789e-136
CNAG_04105	51707.992907438085	-0.18443381824700555	0.005521091867450999	-33.405315954678315	1.1477404088266976e-244	7.00328449457948e-243
CNAG_04833	126.12208909604523	-0.1840942424125188	0.007350799715558743	-25.044110781968918	2.023810835382306e-138	3.470195136213762e-137
CNAG_05097	62.11999772588793	-0.18368418337270837	0.010799665861216064	-17.008320973369926	7.125061702343984e-65	4.1673612184780484e-64
CNAG_03058	5063.460490200846	-0.18314835492351367	0.00448928560014385	-40.796770630419466	0	0
CNAG_02029	222.01322216743716	-0.1828938264518965	0.006331761655996792	-28.885140722041918	1.8350672557816322e-183	5.3804807460645e-182
CNAG_03408	746.6750878215167	-0.1826083015828278	0.00636242301754837	-28.70106264219951	3.700498864837237e-181	1.0399783739229296e-179
CNAG_00995	1581.7765729630632	-0.18237982105369635	0.005356161267113356	-34.050472336130376	3.993965389224803e-254	2.8474871138125886e-252
CNAG_04789	165.04466131862995	-0.18159492882754555	0.00783507470438762	-23.17717899050189	7.736896372404836e-119	1.0335700025699795e-117
CNAG_04206	178.87810319149582	-0.18136615828765526	0.0074622559633302785	-24.304467600534384	1.7583082019127502e-130	2.700458379037428e-129
CNAG_06905	438.4262644620215	-0.18096204579785788	0.0077465719674350035	-23.36027426822924	1.0836682177700826e-120	1.4797751691445098e-119
CNAG_03728	179.96024480670258	-0.18056340523858322	0.007468863925327777	-24.175484657883768	4.029384327891645e-129	6.078178185481094e-128
CNAG_01031	285.9147122802419	-0.18008246512583784	0.008711069242701715	-20.672831326270774	6.084035657820195e-95	5.689825056662388e-94
CNAG_04106	164.128596812994	-0.17887828225858218	0.006903479530031827	-25.91132217897045	4.964586094821965e-148	9.498627576335923e-147
CNAG_01417	419.00689789384404	-0.17873603386850198	0.005701238991706111	-31.350384386362084	9.612330890056481e-216	4.283178757786352e-214
CNAG_02768	55.071473761850044	-0.1774568488409956	0.01104319986216173	-16.069332354386827	4.185701996546802e-58	2.1824295321486906e-57
CNAG_06238	303.6654324428084	-0.1763929312282672	0.005770777862247377	-30.56657792742911	3.405306579862404e-205	1.3104625832618218e-203
CNAG_03566	3557.378029440349	-0.17622238035218032	0.005668383810258054	-31.088646473315958	3.4294637543384345e-212	1.4163267078130619e-210
CNAG_01893	631.6569213412525	-0.1748074574062192	0.006572827291041086	-26.595474012299967	7.657720137597032e-156	1.615755093207e-154
CNAG_06109	1259.4131260060874	-0.17476699761839848	0.005232771165873257	-33.39855538843021	1.4388053997091175e-244	8.700918725205226e-243
