gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_06346	1830.007681431405	0.03758310651497787	0.0016341264651419944	22.998897158006773	4.7812467215740405e-117	2.3793733685009637e-115
CNAG_06917	10560.600713961865	0.034237887427169926	6.701582959002567e-4	51.08925404135523	0	0
CNAG_00165	2192.969591396189	0.03180234716366622	0.0012878411225207137	24.694309420263686	1.231146954934064e-134	9.468639307947439e-133
CNAG_06388	13964.784199199355	0.027158130268718557	0.0010505439758673987	25.851493028928182	2.3408456908273815e-147	2.475444318049956e-145
CNAG_06389	532.4640264257129	0.02693949806640465	0.0020191260215392547	13.342157834144334	1.3159449167048346e-40	1.0356180460765489e-39
CNAG_01980	139.94273160474637	0.02689457836589149	0.00242655162522476	11.08345608076662	1.5093170359848531e-28	7.839645203028002e-28
CNAG_04756	569.4243969511564	0.025661409212310252	0.0013661822576822877	18.783298544547442	1.0344926723918791e-78	2.3977556187493964e-77
CNAG_05813	63.59307657449161	0.02534391212001789	0.0028073506071510023	9.027697522162285	1.7532165782877687e-19	6.274865045928937e-19
CNAG_06298	21542.489261053044	0.025231945072600407	9.776974636626044e-4	25.80751818469251	7.301342205190366e-147	7.487194552231576e-145
CNAG_04215	1469.6728609008985	0.02496512521158975	8.959329025464791e-4	27.864949641465603	7.098595102125718e-171	1.372665475748196e-168
CNAG_06207	41042.46838048499	0.024890923248759533	0.0011416017307744784	21.803508682378386	2.1489610676255433e-105	8.035452213088219e-104
CNAG_03716	176.256854073233	0.022812578389739428	0.0014186805011164121	16.080138108465835	3.515942692191522e-58	4.665862772696514e-57
CNAG_02235	101.07819236730005	0.022779542987590176	0.0018950128828063106	12.02078529083988	2.763326858600884e-33	1.6818521743714734e-32
CNAG_00539	2629.1312430154867	0.02265452556490538	0.0010669827143058156	21.232326692044428	4.802509776361419e-100	1.585531032508004e-98
CNAG_00162	7148.527828673544	0.022546575110520852	8.212433749366048e-4	27.45419421162614	6.191038668880588e-166	9.74440690953112e-164
CNAG_06297	6960.223116891406	0.02208089574931241	9.98898397113375e-4	22.105246953165576	2.8139132755388625e-108	1.1202685322851188e-106
CNAG_05762	10912.444483114772	0.02175927649839314	6.204266092136581e-4	35.07147529660488	1.835302715284097e-269	2.4842657554085536e-266
CNAG_06242	526.6041517512058	0.021207188097765478	8.815455446295454e-4	24.05682636247392	7.081699486476369e-128	4.437865011525191e-126
CNAG_04640	5840.451884428952	0.020770078519323627	7.047740806203881e-4	29.47054820892455	6.867609240403022e-191	2.3239989669523825e-188
CNAG_00895	1180.7514690270766	0.020634527442651745	0.002016018865652328	10.23528489450667	1.3778903499862814e-24	6.1071132211572706e-24
CNAG_05556	2720.196517793102	0.019563486225367074	7.024318755854868e-4	27.851079806224103	1.0451855965230215e-170	1.9649489214632802e-168
CNAG_04874	1277.3918873834969	0.019540179892601376	5.536462491537421e-4	35.293619206251066	7.3570373126342114e-273	1.2448107132977085e-269
CNAG_05161	146.54989565401772	0.01950742371641773	0.0014743075986618224	13.231583242278571	5.7659832039245955e-40	4.444666779517274e-39
CNAG_03438	2130.52778175965	0.019410052669852015	8.267844560123526e-4	23.47655731636302	7.080961341798125e-122	3.8962558017308705e-120
