"","Gene","Product"
"1","CNAG_03223","hypothetical protein"
"2","CNAG_00407","glyoxal oxidase"
"3","CNAG_00776","immunoreactive mannoprotein MP88"
"4","CNAG_00895","solute carrier family 39 (zinc transporter), member 1/2/3"
"5","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 2"
"6","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 3"
"7","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 1"
"8","CNAG_00979","solute carrier family 31 (copper transporter), member 1"
"9","CNAG_01255","hypothetical protein"
"10","CNAG_02071","hypothetical protein"
"11","CNAG_02323","hypothetical protein"
"12","CNAG_02455","choline transporter"
"13","CNAG_02510","hypothetical protein, variant 1"
"14","CNAG_02510","hypothetical protein, variant 2"
"15","CNAG_02510","hypothetical protein"
"16","CNAG_04626","hypothetical protein"
"17","CNAG_04681","hypothetical protein"
"18","CNAG_04681","hypothetical protein, variant"
"19","CNAG_04752","hypothetical protein"
"20","CNAG_04829","hypothetical protein"
"21","CNAG_05312","hypothetical protein"
"22","CNAG_05411","endoglucanase"
"23","CNAG_05962","hypothetical protein, variant 2"
"24","CNAG_05962","hypothetical protein, variant 1"
"25","CNAG_05962","hypothetical protein"
"26","CNAG_06298","hypothetical protein"
"27","CNAG_06336","glucan 1,3-beta-glucosidase"
"28","CNAG_06388","hypothetical protein"
"29","CNAG_06517","cytoplasmic protein"
"30","CNAG_06902","hypothetical protein"
"31","CNAG_07627","hypothetical protein"
"32","CNAG_07770","ferric-chelate reductase"
"33","CNAG_07784","hypothetical protein"
