"","Gene","Product"
"1","CNAG_07984","hypothetical protein"
"2","CNAG_01936","sugar transporter"
"3","CNAG_00588","hypothetical protein"
"4","CNAG_01965","hypothetical protein"
"5","CNAG_02489","alcohol dehydrogenase, propanol-preferring"
"6","CNAG_03077","hypothetical protein"
"7","CNAG_01560","hypothetical protein"
"8","CNAG_06347","hypothetical protein"
"9","CNAG_03087","maltose permease"
"10","CNAG_00269","sorbitol dehydrogenase"
"11","CNAG_01539","myo-inositol-1-phosphate synthase"
"12","CNAG_00765","hypothetical protein"
"13","CNAG_00651","ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein"
"14","CNAG_01056","hypothetical protein"
"15","CNAG_04025","transaldolase"
"16","CNAG_07913","hypothetical protein"
"17","CNAG_07862","fumarate reductase"
"18","CNAG_02984","sarcosine oxidase"
"19","CNAG_01562","hypothetical protein, variant"
"20","CNAG_01562","hypothetical protein"
"21","CNAG_01538","hypothetical protein"
"22","CNAG_05658","L-iditol 2-dehydrogenase"
"23","CNAG_04142","tartrate transporter"
"24","CNAG_02925","d-arabinitol 2-dehydrogenase"
"25","CNAG_06890","membrane transporter"
"26","CNAG_04622","endoplasmic reticulum protein"
"27","CNAG_01541","hypothetical protein"
"28","CNAG_04657","short-chain dehydrogenase"
"29","CNAG_05662","sugar transporter"
"30","CNAG_01524","hypothetical protein"
"31","CNAG_05914","MFS transporter, SP family, general alpha glucoside:H symporter"
"32","CNAG_06541","hypothetical protein, variant"
"33","CNAG_06541","hypothetical protein"
"34","CNAG_00499","solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29"
"35","CNAG_04291","glycosyl-hydrolase"
"36","CNAG_05002","hypothetical protein"
"37","CNAG_06698","phosphatase"
"38","CNAG_03346","hypothetical protein"
"39","CNAG_06253","sugar transporter"
"40","CNAG_07589","xylitol dehydrogenase"
"41","CNAG_04758","amt family ammonium transporter"
"42","CNAG_05310","nipsnap family protein"
"43","CNAG_04807","hypothetical protein"
"44","CNAG_06431","acyl-CoA oxidase"
"45","CNAG_04837","hypothetical protein"
"46","CNAG_00399","transformer-2-beta isoform 3"
"47","CNAG_05075","solute carrier family 20 (sodium-dependent phosphate transporter)"
"48","CNAG_02562","acyl-CoA dehydrogenase"
"49","CNAG_01675","tagatose-bisphosphate aldolase"
"50","CNAG_01675","tagatose-bisphosphate aldolase, variant"
"51","CNAG_03010","enoyl-CoA hydratase/isomerase"
"52","CNAG_05906","hypothetical protein"
"53","CNAG_05833","allantoate transporter"
"54","CNAG_07491","glutaredoxin"
"55","CNAG_05913","alpha-glucosidase"
"56","CNAG_06540","dihydroxy-acid dehydratase, variant"
"57","CNAG_06540","dihydroxy-acid dehydratase"
"58","CNAG_02775","hypothetical protein"
"59","CNAG_04471","FAD dependent oxidoreductase"
"60","CNAG_03666","acyl-CoA dehydrogenase"
"61","CNAG_07826","hypothetical protein"
"62","CNAG_00933","hypothetical protein"
"63","CNAG_05653","malate synthase A"
"64","CNAG_02147","cytochrome c peroxidase"
"65","CNAG_02473","endoplasmic reticulum protein"
"66","CNAG_01533","rho GTPase activator"
"67","CNAG_04582","hypothetical protein"
"68","CNAG_01119","POT family proton-dependent oligopeptide transporter"
"69","CNAG_04345","specific RNA polymerase II transcription factor"
"70","CNAG_01275","hypothetical protein"
"71","CNAG_01794","2-hydroxyacid dehydrogenase"
"72","CNAG_01569","hypothetical protein"
