"","Gene","Product"
"1","CNAG_03609","hypothetical protein"
"2","CNAG_04103","hypothetical protein"
"3","CNAG_02729","hypothetical protein"
"4","CNAG_01524","hypothetical protein"
"5","CNAG_06659","hexosaminidase"
"6","CNAG_01571","hypothetical protein"
"7","CNAG_00321","dRaptor"
"8","CNAG_00588","hypothetical protein"
"9","CNAG_04104","mucin-desulfating sulfatase"
"10","CNAG_01541","hypothetical protein"
"11","CNAG_06190","N-acetylglucosamine-6-phosphate deacetylase"
"12","CNAG_01621","hypothetical protein"
"13","CNAG_01275","hypothetical protein"
"14","CNAG_06098","glucosamine-6-phosphate deaminase"
"15","CNAG_01607","thioredoxin"
"16","CNAG_03199","FAD dependent oxidoreductase"
"17","CNAG_03199","FAD dependent oxidoreductase"
"18","CNAG_06485","hexose transporter protein"
"19","CNAG_04475","hypothetical protein, variant 2"
"20","CNAG_00540","pantothenate transporter"
"21","CNAG_03346","hypothetical protein"
"22","CNAG_04978","phytanoyl-CoA dioxygenase"
"23","CNAG_01525","hypothetical protein"
"24","CNAG_06347","hypothetical protein"
"25","CNAG_07594","hypothetical protein"
"26","CNAG_00442","cyclin"
"27","CNAG_03087","maltose permease"
"28","CNAG_07755","hypothetical protein"
"29","CNAG_07755","hypothetical protein, variant 2"
"30","CNAG_07755","hypothetical protein, variant 1"
"31","CNAG_00161","auxin-induced protein"
"32","CNAG_00765","hypothetical protein"
"33","CNAG_06470","hypothetical protein"
"34","CNAG_05315","taurine catabolism dioxygenase TauD"
"35","CNAG_01119","POT family proton-dependent oligopeptide transporter"
"36","CNAG_03085","hypothetical protein"
"37","CNAG_01382","aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit A"
"38","CNAG_01619","hypothetical protein"
"39","CNAG_01562","hypothetical protein, variant"
"40","CNAG_01562","hypothetical protein"
"41","CNAG_01601","lipase"
"42","CNAG_01552","blocked early in transport 1"
"43","CNAG_04325","extradiol ring-cleavage dioxygenase"
"44","CNAG_03525","alpha,alpha-trehalase"
"45","CNAG_03475","hypothetical protein"
"46","CNAG_04025","transaldolase"
"47","CNAG_06191","hypothetical protein"
"48","CNAG_07324","hypothetical protein"
"49","CNAG_01533","rho GTPase activator"
"50","CNAG_04657","short-chain dehydrogenase"
"51","CNAG_06589","endoribonuclease L-PSP"
"52","CNAG_02225","glucan 1,3-beta-glucosidase"
