Gat201_4h_down,Gene,Product
1,CNAG_01980,hypothetical protein
2,CNAG_06389,hypothetical protein
3,CNAG_03894,hypothetical protein
4,CNAG_04874,hypothetical protein
5,CNAG_06785,kynurenine 3-monooxygenase
6,CNAG_00456,hypothetical protein
7,CNAG_06242,high-affinity iron permease CaFTR1
8,CNAG_05312,hypothetical protein
9,CNAG_00735,aldehyde dehydrogenase family 7 member A1
10,CNAG_01551,hypothetical protein
11,CNAG_06346,hypothetical protein
12,CNAG_07869,hypothetical protein
13,CNAG_07759,hypothetical protein
14,CNAG_02872,hypothetical protein
15,CNAG_05161,"hypothetical protein, variant"
16,CNAG_05161,hypothetical protein
17,CNAG_02225,"glucan 1,3-beta-glucosidase"
18,CNAG_03644,hypothetical protein
19,CNAG_02060,hypothetical protein
20,CNAG_04018,hypothetical protein
21,CNAG_03516,hypothetical protein
22,CNAG_06917,thiol-specific antioxidant protein 3
23,CNAG_01816,hypothetical protein
24,CNAG_01816,"hypothetical protein, variant"
25,CNAG_00165,methylthioadenosine phosphorylase
26,CNAG_04869,carboxylesterase
27,CNAG_05870,hypothetical protein
28,CNAG_05870,"hypothetical protein, variant"
29,CNAG_00302,hypothetical protein
30,CNAG_05229,stomatin family protein
31,CNAG_05916,hypothetical protein
32,CNAG_05147,hypothetical protein
33,CNAG_00597,"amino acid transporter, variant"
34,CNAG_00597,amino acid transporter
35,CNAG_02544,DNA repair protein Swi5/Sae3
36,CNAG_07809,hypothetical protein
37,CNAG_04735,extracellular elastinolytic metalloproteinase
38,CNAG_05264,"alpha-amylase AmyA, variant"
39,CNAG_05264,alpha-amylase AmyA
40,CNAG_05159,"hypothetical protein, variant"
41,CNAG_05159,hypothetical protein
42,CNAG_03848,glutathione transferase
43,CNAG_03848,"glutathione transferase, variant"
44,CNAG_05330,"MFS transporter, SP family, general alpha glucoside:H symporter"
45,CNAG_06241,acidic laccase
46,CNAG_06200,hypothetical protein
47,CNAG_06200,"hypothetical protein, variant"
48,CNAG_00463,hypothetical protein
49,CNAG_00674,hypothetical protein
50,CNAG_06517,cytoplasmic protein
51,CNAG_05160,hypothetical protein
52,CNAG_01671,acetyl/propionyl CoA carboxylase
53,CNAG_00883,transcription factor
54,CNAG_02118,hypothetical protein
55,CNAG_02323,hypothetical protein
56,CNAG_02684,hypothetical protein
57,CNAG_05313,"hypothetical protein, variant 4"
58,CNAG_05313,"hypothetical protein, variant 3"
59,CNAG_05313,"hypothetical protein, variant 1"
60,CNAG_05313,"hypothetical protein, variant 2"
61,CNAG_05313,hypothetical protein
62,CNAG_05040,hypothetical protein
63,CNAG_04877,hypothetical protein
64,CNAG_05867,L-fucose transporter
65,CNAG_06186,hypothetical protein
66,CNAG_06186,"hypothetical protein, variant 1"
67,CNAG_06186,"hypothetical protein, variant 2"
68,CNAG_00598,nicotinamide mononucleotide permease
69,CNAG_01983,cAMP-independent regulatory protein
70,CNAG_01681,cytosine permease
71,CNAG_06294,hypothetical protein
72,CNAG_03326,chitin synthase
73,CNAG_00637,cystathionine beta-synthase
74,CNAG_04357,hypothetical protein
75,CNAG_05066,hypothetical protein
76,CNAG_03735,hypothetical protein
77,CNAG_04096,racemase
78,CNAG_02339,hypothetical protein
79,CNAG_05396,LRP16 family protein
80,CNAG_01506,hypothetical protein
81,CNAG_01672,Ras family protein
82,CNAG_03658,hypothetical protein
83,CNAG_03037,hypothetical protein
84,CNAG_03037,"hypothetical protein, variant"
85,CNAG_05466,hypothetical protein
86,CNAG_04756,hypothetical protein
87,CNAG_03007,hypothetical protein
88,CNAG_00688,hypothetical protein
89,CNAG_00654,sulfiredoxin
90,CNAG_06281,hypothetical protein
91,CNAG_06027,aryl-alcohol dehydrogenase
92,CNAG_05263,hypothetical protein
93,CNAG_08010,hypothetical protein
94,CNAG_05863,hypothetical protein
95,CNAG_06784,hypothetical protein
96,CNAG_06784,"hypothetical protein, variant"
97,CNAG_02381,hypothetical protein
98,CNAG_03719,hypothetical protein
99,CNAG_03078,type I phosphodiesterase/nucleotide pyrophosphatase
100,CNAG_00498,cell division cycle protein 14
101,CNAG_01760,hypothetical protein
102,CNAG_04736,hypothetical protein
103,CNAG_05158,"hypothetical protein, variant"
104,CNAG_05158,hypothetical protein
105,CNAG_03113,trehalose synthase
106,CNAG_05632,hypothetical protein
107,CNAG_05760,endoplasmic reticulum protein
108,CNAG_00275,hypothetical protein
109,CNAG_06762,hypothetical protein
110,CNAG_01333,Haspin protein kinase
111,CNAG_03829,L-carnitine dehydratase/bile acid-inducible protein F
112,CNAG_01283,hypothetical protein
113,CNAG_04969,UDP-glucose 6-dehydrogenase
114,CNAG_03670,IRE protein kinase
115,CNAG_00540,pantothenate transporter
116,CNAG_02344,uracil phosphoribosyltransferase
117,CNAG_00936,"lipid particle protein, variant"
118,CNAG_00936,lipid particle protein
119,CNAG_02675,CAMK/CAMKL/GIN4 protein kinase
120,CNAG_04546,multidrug transporter
121,CNAG_06554,FAD dependent oxidoreductase
122,CNAG_06203,hypothetical protein
123,CNAG_06203,"hypothetical protein, variant"
124,CNAG_00110,hypothetical protein
125,CNAG_05835,"hypothetical protein, variant"
126,CNAG_05835,hypothetical protein
127,CNAG_08023,hypothetical protein
128,CNAG_04454,hypothetical protein
129,CNAG_05974,hypothetical protein
130,CNAG_05731,glyoxal oxidase
131,CNAG_04307,urate oxidase
132,CNAG_03438,hexose transporter
133,CNAG_00919,carboxypeptidase D
134,CNAG_00247,alpha-aminoadipic semialdehyde synthase
135,CNAG_06016,hypothetical protein
136,CNAG_04857,hypothetical protein
137,CNAG_00979,"solute carrier family 31 (copper transporter), member 1, variant 2"
138,CNAG_00979,"solute carrier family 31 (copper transporter), member 1, variant 3"
139,CNAG_00979,"solute carrier family 31 (copper transporter), member 1, variant 1"
140,CNAG_00979,"solute carrier family 31 (copper transporter), member 1"
141,CNAG_02297,hypothetical protein
142,CNAG_05190,hypothetical protein
143,CNAG_00251,hypothetical protein
144,CNAG_05539,hypothetical protein
145,CNAG_00332,hypothetical protein
146,CNAG_00126,2-deoxy-D-gluconate 3-dehydrogenase
147,CNAG_01389,hypothetical protein
148,CNAG_02729,hypothetical protein
149,CNAG_07330,hypothetical protein
150,CNAG_05265,hypothetical protein
151,CNAG_00321,dRaptor
152,CNAG_00264,nuclease I
153,CNAG_00264,"nuclease I, variant"
154,CNAG_04625,cerevisin
155,CNAG_01138,"cytochrome c peroxidase, mitochondrial"
156,CNAG_06658,rhomboid family membrane protein
157,CNAG_05346,sarcosine oxidase
158,CNAG_02170,hypothetical protein
159,CNAG_00908,hypothetical protein
160,CNAG_03117,hypothetical protein
161,CNAG_07442,phosphatidylglycerol/phosphatidylinositol transfer protein
162,CNAG_05742,hypothetical protein
163,CNAG_03320,mannose-1-phosphate guanylyltransferase
164,CNAG_03461,"hypothetical protein, variant"
165,CNAG_03461,hypothetical protein
166,CNAG_03384,hypothetical protein
167,CNAG_05345,amino acid transporter
168,CNAG_01796,"hypothetical protein, variant 3"
169,CNAG_01796,"hypothetical protein, variant 2"
170,CNAG_01796,"hypothetical protein, variant 1"
171,CNAG_01796,hypothetical protein
172,CNAG_02822,hypothetical protein
