"","x"
"1","CNAG_05263"
"2","CNAG_06242"
"3","CNAG_06762"
"4","CNAG_07466"
"5","CNAG_00126"
"6","CNAG_00165"
"7","CNAG_00264"
"8","CNAG_00275"
"9","CNAG_00302"
"10","CNAG_00303"
"11","CNAG_00331"
"12","CNAG_00332"
"13","CNAG_00374"
"14","CNAG_00456"
"15","CNAG_00539"
"16","CNAG_00540"
"17","CNAG_00581"
"18","CNAG_00597"
"19","CNAG_00598"
"20","CNAG_00654"
"21","CNAG_00674"
"22","CNAG_00688"
"23","CNAG_00735"
"24","CNAG_00794"
"25","CNAG_00879"
"26","CNAG_00883"
"27","CNAG_00919"
"28","CNAG_00979"
"29","CNAG_01138"
"30","CNAG_01283"
"31","CNAG_01318"
"32","CNAG_01551"
"33","CNAG_01681"
"34","CNAG_01742"
"35","CNAG_01865"
"36","CNAG_01982"
"37","CNAG_01983"
"38","CNAG_02118"
"39","CNAG_02225"
"40","CNAG_02297"
"41","CNAG_02323"
"42","CNAG_02455"
"43","CNAG_02658"
"44","CNAG_02684"
"45","CNAG_02797"
"46","CNAG_02822"
"47","CNAG_02983"
"48","CNAG_03113"
"49","CNAG_03117"
"50","CNAG_03172"
"51","CNAG_03320"
"52","CNAG_03384"
"53","CNAG_03413"
"54","CNAG_03438"
"55","CNAG_03644"
"56","CNAG_03719"
"57","CNAG_03727"
"58","CNAG_03735"
"59","CNAG_03829"
"60","CNAG_03841"
"61","CNAG_03848"
"62","CNAG_03894"
"63","CNAG_04042"
"64","CNAG_04213"
"65","CNAG_04283"
"66","CNAG_04416"
"67","CNAG_04546"
"68","CNAG_04623"
"69","CNAG_04625"
"70","CNAG_04735"
"71","CNAG_04736"
"72","CNAG_04756"
"73","CNAG_04768"
"74","CNAG_04869"
"75","CNAG_04874"
"76","CNAG_04877"
"77","CNAG_04949"
"78","CNAG_04969"
"79","CNAG_05147"
"80","CNAG_05154"
"81","CNAG_05159"
"82","CNAG_05160"
"83","CNAG_05161"
"84","CNAG_05190"
"85","CNAG_05229"
"86","CNAG_05264"
"87","CNAG_05265"
"88","CNAG_05277"
"89","CNAG_05312"
"90","CNAG_05313"
"91","CNAG_05330"
"92","CNAG_05539"
"93","CNAG_05632"
"94","CNAG_05663"
"95","CNAG_05742"
"96","CNAG_05812"
"97","CNAG_05813"
"98","CNAG_05835"
"99","CNAG_05867"
"100","CNAG_05870"
"101","CNAG_05916"
"102","CNAG_05962"
"103","CNAG_06016"
"104","CNAG_06017"
"105","CNAG_06186"
"106","CNAG_06200"
"107","CNAG_06203"
"108","CNAG_06241"
"109","CNAG_06276"
"110","CNAG_06310"
"111","CNAG_06346"
"112","CNAG_06389"
"113","CNAG_06493"
"114","CNAG_06517"
"115","CNAG_06554"
"116","CNAG_06657"
"117","CNAG_06658"
"118","CNAG_06758"
"119","CNAG_06784"
"120","CNAG_06785"
"121","CNAG_06835"
"122","CNAG_06917"
"123","CNAG_07330"
"124","CNAG_07442"
"125","CNAG_07695"
"126","CNAG_07779"
"127","CNAG_07799"
"128","CNAG_07869"
