gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_01980	34.823072882353635	-5.869630882053169	0.5239463596025867	-11.20273244479699	3.953480297688081e-29	9.918842791310763e-27
CNAG_01551	2342.2416888213083	-3.8575410557518346	0.33130651669204736	-11.643420401951998	2.478716705317502e-31	6.458010369931061e-29
CNAG_06389	98.16297193028716	-3.798316825103574	0.24751053120986233	-15.34608166584641	3.762354915417745e-53	2.8317991330044224e-50
CNAG_06242	897.6552778039634	-3.5710272360898085	0.1803302411650224	-19.802708702762274	2.8210891023610616e-87	4.777514394848458e-84
CNAG_04874	598.610410520747	-3.143674426860247	0.13219615700103757	-23.78037681409735	5.3311301304196e-125	3.611307550346237e-121
CNAG_05916	328.7398626858363	-2.9444771135129484	0.1333353932185924	-22.0832371843365	4.580725704025625e-108	1.551491795953479e-104
CNAG_00456	1065.9648032764312	-2.9264930395728586	0.18029237415606514	-16.231929127737928	2.998845049874422e-59	2.9020251954070476e-56
CNAG_06785	546.7350226196266	-2.8615053370035426	0.17978449432118726	-15.91630773169697	4.883585068528915e-57	4.135175656776859e-54
CNAG_06917	1511.9922894453914	-2.7848906916263463	0.20236404336015187	-13.761786162129669	4.327026469461872e-43	2.0936626645810513e-40
CNAG_06802	21.988796991267883	-2.615329310111008	0.4403135993726842	-5.939696874766243	2.8554956984102877e-9	1.0628092231335873e-7
CNAG_05835	1320.1027257936792	-2.6050428814583633	0.15605435754673352	-16.693176162531906	1.469411906517688e-62	1.6589660424584697e-59
CNAG_00302	82.98349224560184	-2.5774537568963147	0.37618766904352496	-6.851510479994237	7.30742441939743e-12	3.867226016952984e-10
CNAG_00674	123.01114904434097	-2.373152378633962	0.21252975027796728	-11.166212615081514	5.967131383606917e-29	1.443619571162616e-26
CNAG_03516	1339.2290165968996	-2.340785220717044	0.19160963138955756	-12.216427763790445	2.540026986908781e-34	9.055864636484253e-32
CNAG_03113	324.33109986363127	-2.293788766222002	0.1525621993513166	-15.03510552400939	4.323588245900188e-51	2.440665564810656e-48
CNAG_03894	32.379236808815925	-2.2713849250759024	0.3091590244484391	-7.3469792095773645	2.0273638736455843e-13	1.3079393219119227e-11
CNAG_04877	136.01190378465344	-2.253125122476297	0.6621423046258735	-3.4027808021560673	6.670377199905251e-4	0.006596370095205572
CNAG_05312	269.6069959057024	-2.215369188671109	0.19981231251132756	-11.087250634494897	1.446658391546058e-28	3.3791944635631023e-26
CNAG_06241	1869.349918279791	-2.180532262508822	0.18010534292823233	-12.106982652800657	9.699703617116956e-34	3.128847252492869e-31
CNAG_00735	30.01030286682113	-2.1727515940119386	0.3994988897587956	-5.4386924462387745	5.367301405635731e-8	1.5604334644539245e-6
CNAG_04126	2.4759725779472723	-2.1533600001620536	0.7600274318584547	-2.8332661557972414	0.004607500531590478	0.03044995961072575
CNAG_05870	879.7424517800808	-2.1508365572522883	0.12688975629722357	-16.950434928838696	1.9103534380633663e-64	2.5881468378882485e-61
