"","Gene","Product"
"1","CNAG_00002","hypothetical protein"
"2","CNAG_00003","drug transporter"
"3","CNAG_00004","hypothetical protein"
"4","CNAG_00005","TPR repeat-containing protein"
"5","CNAG_00006","prohibitin-2"
"6","CNAG_00007","methionine-tRNA ligase"
"7","CNAG_00008","hypothetical protein"
"8","CNAG_00009","calcium-binding protein"
"9","CNAG_00010","cation transporter"
"10","CNAG_00011","hypothetical protein"
"11","CNAG_00012","hypothetical protein"
"12","CNAG_00013","hypothetical protein, variant 1"
"13","CNAG_00013","hypothetical protein"
"14","CNAG_00013","hypothetical protein, variant 2"
"15","CNAG_00014","hypothetical protein"
"16","CNAG_00015","hypothetical protein"
"17","CNAG_00016","U6 snRNA-associated Sm-like protein LSm5"
"18","CNAG_00017","hypothetical protein"
"19","CNAG_00018","hypothetical protein"
"20","CNAG_00019","mitochondrial import inner membrane translocase subunit TIM9"
"21","CNAG_00020","hypothetical protein"
"22","CNAG_00021","S-adenosylmethionine decarboxylase proenzyme"
"23","CNAG_00022","cytochrome c heme-lyase"
"24","CNAG_00023","hypothetical protein"
"25","CNAG_00024","hypothetical protein, variant 1"
"26","CNAG_00024","hypothetical protein"
"27","CNAG_00024","hypothetical protein, variant 2"
"28","CNAG_00025","calcium/proton exchanger, variant"
"29","CNAG_00025","calcium/proton exchanger"
"30","CNAG_00026","kynurenine aminotransferase"
"31","CNAG_00026","kynurenine aminotransferase, variant"
"32","CNAG_00027","transcriptional activator"
"33","CNAG_00028","high-affinity nicotinic acid transporter, variant"
"34","CNAG_00028","high-affinity nicotinic acid transporter"
"35","CNAG_00029","D-3-phosphoglycerate dehydrogenase"
"36","CNAG_00030","D-3-phosphoglycerate dehydrogenase, variant"
"37","CNAG_00030","D-3-phosphoglycerate dehydrogenase"
"38","CNAG_00031","hypothetical protein"
"39","CNAG_00031","hypothetical protein, variant"
"40","CNAG_00032","2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"
"41","CNAG_00034","large subunit ribosomal protein L9e"
"42","CNAG_00035","hypothetical protein"
"43","CNAG_00036","Sec14 cytosolic factor"
"44","CNAG_00038","alcohol dehydrogenase"
"45","CNAG_00039","hypothetical protein"
"46","CNAG_00040","cytochrome P450, family 51 (sterol 14-demethylase)"
"47","CNAG_00043","hypothetical protein, variant"
"48","CNAG_00043","hypothetical protein"
"49","CNAG_00044","ribosome assembly protein 1"
"50","CNAG_00045","hypothetical protein"
"51","CNAG_00046","26S proteasome regulatory subunit N8"
"52","CNAG_00047","pyruvate dehydrogenase kinase"
"53","CNAG_00048","sugar transporter"
"54","CNAG_00049","hypothetical protein"
"55","CNAG_00050","hypothetical protein"
"56","CNAG_00051","hypothetical protein, variant"
"57","CNAG_00051","hypothetical protein"
"58","CNAG_00052","hypothetical protein"
"59","CNAG_00053","hypothetical protein"
"60","CNAG_00054","hypothetical protein"
"61","CNAG_00055","hypothetical protein"
"62","CNAG_00056","hypothetical protein"
"63","CNAG_00057","fructose-1,6-bisphosphatase I"
"64","CNAG_00058","T-complex protein 1 subunit epsilon"
"65","CNAG_00059","hypothetical protein"
"66","CNAG_00060","chaperone regulator"
"67","CNAG_00060","chaperone regulator, variant"
"68","CNAG_00061","citrate synthase, mitochondrial"
"69","CNAG_00062","26S proteasome regulatory subunit N3"
"70","CNAG_00063","histone H3"
"71","CNAG_00064","COPII-coated vesicle protein"
"72","CNAG_00065","ran-binding protein 1"
"73","CNAG_00066","membrane protein"
"74","CNAG_00067","protein translocase SEC61 complex gamma subunit"
"75","CNAG_00068","specific RNA polymerase II transcription factor"
"76","CNAG_00069","hypothetical protein"
"77","CNAG_00070","hypothetical protein"
"78","CNAG_00072","protein disulfide-isomerase"
"79","CNAG_00073","nuclear mRNA splicing protein"
"80","CNAG_00074","protein PNS1"
"81","CNAG_00075","hypothetical protein"
"82","CNAG_00076","A/G-specific adenine glycosylase"
"83","CNAG_00077","solute carrier family 26 (sodium-independent sulfate anion transporter), member 11"
"84","CNAG_00078","vacuolar protein"
"85","CNAG_00079","hypothetical protein"
"86","CNAG_00080","hypothetical protein"
"87","CNAG_00081","pre-mRNA-processing factor 6"
"88","CNAG_00082","cytosolic Fe-S cluster assembly factor CFD1"
"89","CNAG_00083","hypothetical protein"
"90","CNAG_00084","glutamine-tRNA ligase"
"91","CNAG_00085","histone chaperone ASF1"
"92","CNAG_00086","N2,N2-dimethylguanosine tRNA methyltransferase"
"93","CNAG_00087","hypothetical protein"
"94","CNAG_00088","prohibitin PHB1"
"95","CNAG_00089","exosome complex component RRP4"
"96","CNAG_00090","hypothetical protein"
"97","CNAG_00090","hypothetical protein, variant"
"98","CNAG_00091","hypothetical protein"
"99","CNAG_00092","mitochondrial protein"
"100","CNAG_00093","hypothetical protein"
"101","CNAG_00094","NAD-dependent epimerase/dehydratase"
"102","CNAG_00095","hypothetical protein"
"103","CNAG_00096","hypothetical protein"
"104","CNAG_00097","MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13"
"105","CNAG_00098","palmitoyl-protein thioesterase"
"106","CNAG_00099","minichromosome maintenance protein 3"
"107","CNAG_00100","stress-induced-phosphoprotein 1"
"108","CNAG_00101","hypothetical protein"
"109","CNAG_00104","elongation factor 3"
"110","CNAG_00106","two-component system sensor protein"
"111","CNAG_00107","hypothetical protein"
"112","CNAG_00108","RuvB-like helicase 1"
"113","CNAG_00109","large subunit ribosomal protein L34, variant"
"114","CNAG_00109","large subunit ribosomal protein L34"
"115","CNAG_00110","hypothetical protein"
"116","CNAG_00111","splicing factor 3A subunit 1"
"117","CNAG_00115","chlorophyll synthesis pathway protein BchC"
"118","CNAG_00116","small subunit ribosomal protein S3"
"119","CNAG_00117","delta14-sterol reductase"
"120","CNAG_00118","hypothetical protein"
"121","CNAG_00119","hypothetical protein"
"122","CNAG_00120","hypothetical protein"
"123","CNAG_00121","glycerol-3-phosphate dehydrogenase (NAD())"
"124","CNAG_00122","alpha-amylase"
"125","CNAG_00123","hypothetical protein"
"126","CNAG_00124","hypothetical protein"
"127","CNAG_00125","hypothetical protein"
"128","CNAG_00126","2-deoxy-D-gluconate 3-dehydrogenase"
"129","CNAG_00127","hypothetical protein"
"130","CNAG_00128","hypothetical protein"
"131","CNAG_00129","hypothetical protein"
"132","CNAG_00130","CAMK/CAMK1/CAMK1-RCK protein kinase"
"133","CNAG_00131","alcohol dehydrogenase"
"134","CNAG_00132","hypothetical protein, variant"
"135","CNAG_00132","hypothetical protein"
"136","CNAG_00133","hypothetical protein"
"137","CNAG_00134","hypothetical protein"
"138","CNAG_00135","cyclophilin"
"139","CNAG_00136","ubiquitin-activating enzyme E1"
"140","CNAG_00137","hypothetical protein"
"141","CNAG_00138","ubiquinone biosynthesis methyltransferase"
"142","CNAG_00139","hypothetical protein"
"143","CNAG_00140","U1 small nuclear ribonucleoprotein 70kDa"
"144","CNAG_00141","monooxygenase"
"145","CNAG_00142","hypothetical protein"
"146","CNAG_00143","phosphoribosylaminoimidazolesuccinocarboxamide synthase"
"147","CNAG_00144","hypothetical protein, variant"
"148","CNAG_00144","hypothetical protein"
"149","CNAG_00145","actin-2"
"150","CNAG_00146","5'/3'-nucleotidase SurE"
"151","CNAG_00147","pre-mRNA-processing-splicing factor 8"
"152","CNAG_00148","hypothetical protein"
"153","CNAG_00149","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4"
"154","CNAG_00150","peptidase"
"155","CNAG_00151","transcription elongation regulator 1"
"156","CNAG_00152","hypothetical protein"
"157","CNAG_00153","hypothetical protein"
"158","CNAG_00153","hypothetical protein, variant"
"159","CNAG_00154","oxidoreductase"
"160","CNAG_00155","hypothetical protein"
"161","CNAG_00156","hypothetical protein"
"162","CNAG_00156","hypothetical protein, variant"
"163","CNAG_00157","hypothetical protein"
"164","CNAG_00158","glycosyltransferase"
"165","CNAG_00159","hypothetical protein"
"166","CNAG_00160","hypothetical protein"
"167","CNAG_00161","auxin-induced protein"
"168","CNAG_00162","alternative oxidase, mitochondrial"
"169","CNAG_00163","general transcription factor 3C polypeptide 4"
"170","CNAG_00163","general transcription factor 3C polypeptide 4, variant"
