"","Gene","Product"
"1","CNAG_00849","hypothetical protein"
"2","CNAG_00393","1,4-alpha-glucan-branching enzyme"
"3","CNAG_00399","transformer-2-beta isoform 3"
"4","CNAG_00400","secondary thiamine-phosphate synthase enzyme"
"5","CNAG_00400","secondary thiamine-phosphate synthase enzyme, variant"
"6","CNAG_00701","hypothetical protein"
"7","CNAG_00765","hypothetical protein"
"8","CNAG_01119","POT family proton-dependent oligopeptide transporter"
"9","CNAG_01275","hypothetical protein"
"10","CNAG_01552","blocked early in transport 1"
"11","CNAG_01562","hypothetical protein, variant"
"12","CNAG_01562","hypothetical protein"
"13","CNAG_01683","monosaccharide transporter"
"14","CNAG_01965","hypothetical protein"
"15","CNAG_01995","hypothetical protein"
"16","CNAG_02011","PQQ enzyme repeat protein"
"17","CNAG_02553","short-chain dehydrogenase"
"18","CNAG_03136","hypothetical protein"
"19","CNAG_03295","hypothetical protein"
"20","CNAG_03572","opsin 1"
"21","CNAG_04077","hypothetical protein"
"22","CNAG_04101","hypothetical protein"
"23","CNAG_04141","vacuolar protein"
"24","CNAG_04837","hypothetical protein"
"25","CNAG_05077","glycosyl hydrolase"
"26","CNAG_05449","hypothetical protein"
"27","CNAG_05662","sugar transporter"
"28","CNAG_05833","allantoate transporter"
"29","CNAG_05836","alpha 1,6-mannosyltransferase"
"30","CNAG_06347","hypothetical protein"
"31","CNAG_06541","hypothetical protein, variant"
"32","CNAG_06541","hypothetical protein"
"33","CNAG_06698","phosphatase"
"34","CNAG_06963","sugar transporter"
"35","CNAG_07491","glutaredoxin"
"36","CNAG_07690","hypothetical protein"
"37","CNAG_07874","sugar transporter"
"38","CNAG_07984","hypothetical protein"
