"","Gene","Product"
"1","CNAG_00126","2-deoxy-D-gluconate 3-dehydrogenase"
"2","CNAG_00374","hypothetical protein"
"3","CNAG_00456","hypothetical protein"
"4","CNAG_00581","saccharopepsin"
"5","CNAG_00597","amino acid transporter, variant"
"6","CNAG_00597","amino acid transporter"
"7","CNAG_00598","nicotinamide mononucleotide permease"
"8","CNAG_00654","sulfiredoxin"
"9","CNAG_00674","hypothetical protein"
"10","CNAG_00883","transcription factor"
"11","CNAG_00919","carboxypeptidase D"
"12","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 2"
"13","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 3"
"14","CNAG_00979","solute carrier family 31 (copper transporter), member 1, variant 1"
"15","CNAG_00979","solute carrier family 31 (copper transporter), member 1"
"16","CNAG_01138","cytochrome c peroxidase, mitochondrial"
"17","CNAG_01318","sodium/hydrogen exchanger 3"
"18","CNAG_01551","hypothetical protein"
"19","CNAG_01681","cytosine permease"
"20","CNAG_01865","hypothetical protein"
"21","CNAG_01983","cAMP-independent regulatory protein"
"22","CNAG_02797","hypothetical protein"
"23","CNAG_03172","hypothetical protein"
"24","CNAG_03438","hexose transporter"
"25","CNAG_03644","hypothetical protein"
"26","CNAG_03727","hypothetical protein"
"27","CNAG_03841","hypothetical protein"
"28","CNAG_03848","glutathione transferase"
"29","CNAG_03848","glutathione transferase, variant"
"30","CNAG_03894","hypothetical protein"
"31","CNAG_04623","hypothetical protein"
"32","CNAG_04756","hypothetical protein"
"33","CNAG_04768","hypothetical protein"
"34","CNAG_04869","carboxylesterase"
"35","CNAG_04874","hypothetical protein"
"36","CNAG_04949","hypothetical protein"
"37","CNAG_04969","UDP-glucose 6-dehydrogenase"
"38","CNAG_05147","hypothetical protein"
"39","CNAG_05159","hypothetical protein, variant"
"40","CNAG_05159","hypothetical protein"
"41","CNAG_05229","stomatin family protein"
"42","CNAG_05263","hypothetical protein"
"43","CNAG_05264","alpha-amylase AmyA, variant"
"44","CNAG_05264","alpha-amylase AmyA"
"45","CNAG_05312","hypothetical protein"
"46","CNAG_05313","hypothetical protein, variant 4"
"47","CNAG_05313","hypothetical protein, variant 3"
"48","CNAG_05313","hypothetical protein, variant 1"
"49","CNAG_05313","hypothetical protein, variant 2"
"50","CNAG_05313","hypothetical protein"
"51","CNAG_05663","cell wall integrity protein scw1"
"52","CNAG_05742","hypothetical protein"
"53","CNAG_05812","potassium:hydrogen antiporter, variant"
"54","CNAG_05812","potassium:hydrogen antiporter"
"55","CNAG_05835","hypothetical protein, variant"
"56","CNAG_05835","hypothetical protein"
"57","CNAG_05867","L-fucose transporter"
"58","CNAG_05916","hypothetical protein"
"59","CNAG_06186","hypothetical protein"
"60","CNAG_06186","hypothetical protein, variant 1"
"61","CNAG_06186","hypothetical protein, variant 2"
"62","CNAG_06200","hypothetical protein"
"63","CNAG_06200","hypothetical protein, variant"
"64","CNAG_06241","acidic laccase"
"65","CNAG_06242","high-affinity iron permease CaFTR1"
"66","CNAG_06346","hypothetical protein"
"67","CNAG_06493","hypothetical protein"
"68","CNAG_06517","cytoplasmic protein"
"69","CNAG_06554","FAD dependent oxidoreductase"
"70","CNAG_06657","hypothetical protein"
"71","CNAG_06658","rhomboid family membrane protein"
"72","CNAG_06762","hypothetical protein"
"73","CNAG_06784","hypothetical protein"
"74","CNAG_06784","hypothetical protein, variant"
"75","CNAG_06785","kynurenine 3-monooxygenase"
"76","CNAG_06917","thiol-specific antioxidant protein 3"
"77","CNAG_07442","phosphatidylglycerol/phosphatidylinositol transfer protein"
"78","CNAG_07869","hypothetical protein"
