"","Gene","Product"
"1","CNAG_06802","hypothetical protein"
"2","CNAG_00472","hypothetical protein"
"3","CNAG_05962","hypothetical protein, variant 2"
"4","CNAG_05962","hypothetical protein, variant 1"
"5","CNAG_05962","hypothetical protein"
"6","CNAG_06662","hypothetical protein"
"7","CNAG_05144","carbonic anhydrase"
"8","CNAG_04681","hypothetical protein"
"9","CNAG_04681","hypothetical protein, variant"
"10","CNAG_07791","hypothetical protein"
"11","CNAG_02194","AGC/NDR protein kinase"
"12","CNAG_01333","Haspin protein kinase"
"13","CNAG_04829","hypothetical protein"
"14","CNAG_07826","hypothetical protein"
"15","CNAG_07756","cell division control protein"
"16","CNAG_06335","centromeric protein E"
"17","CNAG_07475","hypothetical protein"
"18","CNAG_05258","glucose-methanol-choline oxidoreductase"
"19","CNAG_05312","hypothetical protein"
"20","CNAG_07586","hypothetical protein"
"21","CNAG_03125","hypothetical protein"
"22","CNAG_06517","cytoplasmic protein"
"23","CNAG_03977","hypothetical protein"
"24","CNAG_05699","hypothetical protein"
"25","CNAG_06298","hypothetical protein"
"26","CNAG_00895","solute carrier family 39 (zinc transporter), member 1/2/3"
"27","CNAG_03007","hypothetical protein"
"28","CNAG_05565","hypothetical protein"
"29","CNAG_02455","choline transporter"
"30","CNAG_00647","hypothetical protein"
"31","CNAG_06902","hypothetical protein"
"32","CNAG_02071","hypothetical protein"
"33","CNAG_00407","glyoxal oxidase"
"34","CNAG_04171","hypothetical protein"
"35","CNAG_05752","kinesin family member C1"
"36","CNAG_01255","hypothetical protein"
"37","CNAG_06388","hypothetical protein"
"38","CNAG_05411","endoglucanase"
"39","CNAG_02323","hypothetical protein"
"40","CNAG_03223","hypothetical protein"
"41","CNAG_06336","glucan 1,3-beta-glucosidase"
"42","CNAG_00890","hypothetical protein"
"43","CNAG_05853","hypothetical protein"
"44","CNAG_03539","hypothetical protein"
"45","CNAG_07770","ferric-chelate reductase"
"46","CNAG_04943","CBS domain-containing protein"
"47","CNAG_04943","CBS domain-containing protein, variant"
"48","CNAG_04496","rab GTPase activator"
"49","CNAG_05731","glyoxal oxidase"
"50","CNAG_02830","delta24(24(1))-sterol reductase"
"51","CNAG_01051","dynactin 1"
"52","CNAG_03500","osmosensor"
"53","CNAG_06163","hypothetical protein"
"54","CNAG_02775","hypothetical protein"
"55","CNAG_04752","hypothetical protein"
"56","CNAG_01526","cleavage and polyadenylation specificity factor subunit 4"
"57","CNAG_00776","immunoreactive mannoprotein MP88"
"58","CNAG_00110","hypothetical protein"
"59","CNAG_03453","kinesin family member 11"
"60","CNAG_04380","peptidase, variant"
"61","CNAG_04380","peptidase"
"62","CNAG_02692","nitroreductase"
"63","CNAG_07627","hypothetical protein"
"64","CNAG_02510","hypothetical protein, variant 1"
"65","CNAG_02510","hypothetical protein, variant 2"
"66","CNAG_02510","hypothetical protein"
"67","CNAG_02156","hypothetical protein"
"68","CNAG_00063","histone H3"
"69","CNAG_07784","hypothetical protein"
"70","CNAG_02024","hypothetical protein"
"71","CNAG_03184","BUB protein kinase"
"72","CNAG_05581","chitin synthase"
"73","CNAG_04857","hypothetical protein"
"74","CNAG_01907","PLK/PLK1 protein kinase"
"75","CNAG_05089","hypothetical protein, variant"
"76","CNAG_05089","hypothetical protein"
"77","CNAG_00261","hypothetical protein"
"78","CNAG_02008","nuclear protein"
"79","CNAG_00360","nuclear protein SNF4, variant"
"80","CNAG_00360","nuclear protein SNF4"
"81","CNAG_04626","hypothetical protein"
"82","CNAG_01959","condensin complex subunit 1"
